Name in English,Name in Urdu
Inaya,عنایا
Isha,عشا
Iqra,اقراﺀ
Iram,يرام
Ifra,افراح
Insiya,إنسية
Izzah,عزہ
Inayah,عنایہ
Imaan,ایمان
Ilham,الہام
Iran,ایران
Irha,ارحا
Ishrat,عشرت
Irsa,ارسا
Ifa,عفا
Ifrah,افراح
Israa,إسراء
Ishana,عشنا
Ikram,إكرام
Inshirah,إنشراح
Iraj,ارج
Imani,ایمانی
Isma,إسم
Ibtisam,ابتسام
Ismat,عصمت
Iffat,عفت
Ishal,عشال
Izma,عظمة
Iffah,ایفہ
Ibrah,عبره
Irem,يريم
Intisar,انتصار
Imrana,عمرانہ
Ishraq,إشراق
Ilhaam,الہام
Inan,عنان
Iqamat,إقامة
Inas,انس
Irfana,عرفانہ
Inam,ينام
Ibtihal,ابتہال
Ilm,علم
Irma,ارما
Inaam,انعام
Inara,انارا
Inaaya,عنایہ
Itrat,عطرة
Izzat,عزت
Ibadah,عبده
Imtiaz,امتیاز
Ifsah,افصاہ
Irhaa,ارهاء
Imtisal,إمتثال
Isbah,اصبح
Insaf,إنصاف
Ibtehaj,ابتہاج
Ibtesam,ابتسام
Izaz,عزز
Ibtida,ابتدا
Isar,يسار
Irshad,ارشاد
Imtinan,إمتنان
Injila,انجلا
Islah,إصلاح
Ibda,عبدا
Iradat,إرادة
Ibriz,إبريز
Imsha,امشا
Ibnah,ابنہ
Ismah,إسمح
Isaf,يساف
In'am,انعام
Izdihar,ایزدیہار
Imrozia,امروزیہ
Intisaar,انتصار
Ibala,عبالہ
Ihab,يهاب
Istabraq,إستبرق
I'anat,اعانت
Iqala,اقالہ
Iesha,لیشاہ
Illiyeen,الیین
Iamar,لمر
Ilma,علما
Iyana,ایانا
Ishfaq,إشفاق
Izdihaar,ازدیہار
Indela,عندلہ
Itab,عتاب
Irfa,عرفہ
Idhar,عذر
Irza,ارضہ
Ibtissem,إبتسم
Ijlal,إجلال
Iziza,عزیزہ
Ieisha,لیشاہ
Imtihal,متهال
Ithar,يثار
Iftinan,فتنا
Iran-dokht,ایران-دوخت
Itaf,عطف
Iqlas,يقلص
Isad,اسد
Itret,عترت
Ibtihaaj,ابتہاج
Ieesha,لیشا
Isaad,اساد
Imama,امامہ
Ikraam,اکرام
Iklil,إكليل
Iltimas,إلتماس
Itidal,عتدال
Imtithal,امتیھال
Ihaa,إيحاء
Idalika,ادالکہ
Ieasha,عائشہ
Issam,عصام
Intisara,انتاسریٰ
Izahet,ازاحت
Ibaadat,عبادت
Ieashah,عائشہ
Ieta,عیطا
Ianat,اعانت
Ieeshia,عائشہ
Imthithal,مذظل
Ibhar,ابہار
Ieshia,لیشاہ
Ieeshiah,عائشہ
Im-tit-haal,امتیتھال
Intizara,انتظارہ
Ikleel,إكليل
Ieashiah,عائشہ
Ieashia,عائشہ
Ijliyah,جليه
Ibtihl,ابتهل
Ieeshah,عائشہ
Ismi,اسمی
Ighla,اغلا
Ieshah,عائشہ
Intehaa,انتہا
Iren,آئرین
Ilsaa,السا
Ibraar,ابرار
Isood,اسود
Izaad,ایزاد
Inaya Batool,عنایہ بتول
Ifat Raheem,عفت رحیم
Intisarat,إنتصارات
Iflaah,افلاح
Irum,ارم
Izzati,عزتی
Innama,انامہ
Imen,آمین
Iqraa,اقراء
Imdaad,امداد
Inamiaa,انعامیہ
Ilm Afshaan,علم افشاں
Iqdam,اقدم
Iblaah,عبلہ
Izfereen,اذفیرین
Irm,ارم
Imaanat,امانت
Imaala,امالہ
Ibtisama,ابتسما
Irum,ارم
Ilmaaz,الماظ
Iqaala,اقالہ
Iqaamti,اقامتی
Iqaamat,اقامت
Ireefah,عریفہ
Ibret,عبرت
Iqraar,اقرار
Insherah,انشراح
Ieeza,عیزہ
Itmah,عتمہ
Iswah,اثوہ
Izzmaa,ازمہ
Imaadah,عمادہ
Ihzam,احزم
Izmaa,اذما
Ihkam,احکم
Itraat,عترت
Ismee,اسمی
Iltaaf,الطاف
Idalaa,ادالہ
Injah,انجاح
Iqtadaar,اقتدار
Insherah,انشراح
Ijaaz,اعجاز
Ijaab,ایجاب
Indeela,انڈیلا
Inbisaat,انبساط
Imlaa,املاء
Infah,عنفہ
Isnaa,اثنا
Irinaa,ارینا
Iba,آئی بی اے
Ibtsaam,ابتسام
Imtisaal,امتثال
Ishher,اشہر
Ifterasham,افتریشم
Intikhaab,انتخاب
Injilaa,انجلا
Issraar,اسرار
Iyaalat,ایالت
Iara,آئیرا
Isshfaaq,اشفاق
Inza,انزا
Isyaaf,اسیاف
Ishtiaaq,اشتیاق
Intizaar,انتظار
Ilsa,ایلسا
Inbaazi,انبازی
Insa,انسا
Izra,عذرا
Inayra,انائرہ
Izwa,ایزوا
Ifza,افزا
Ilaf,ایلاف
Iaza,ایزا
Ibna,ابنا
Imra,عمران
Inha,انھا
Ibadaat,عبادت
Iyra,آئرہ
Ifat,افت
Irfat,عرفات
Irin,ایرن
Izba,ایزبا
Ismahan,اسماہان
Ilyana,الیانا
Inna,انا
Iswa,اسوا
Ishfa,اصفہ
Ines,انیس
Ifrit,افرت
Inisha,انیشا
Ifrat,افرات
Izbah,ازبہ
Ilayda,الیڈا
Inez,عمارہ
Israt,عشرت
Izana,ازانا
Imza,امزہ
Ileana,الیانا
Ilza,الزا
Ilfa,ایلفا
Inaara,انارا
Iftisha,افتیشہ
Imrah,عمرہ
Inarah,انارہ
Ikra,اکرا
Imarah,عمارہ
Ishara,عشرہ
Ilaha,الٰہ
Iqlima,اقلیمہ
Irat,ارات
Isfa,اصفہ
Ilani,ایلانی
Ifsha,افشا
Iranna,ایرانہ
Iffa,اففا
Inshia,انشائیہ
Ishrah,عشرہ
Inshu,انشو
Izwah,ازواہ
Inay,ڈاہ
Insiah,انشاہ
Ikara,اکارا
Iftesam,افتسم
Inseya,انسیہ
Immi,امّی۔
Itqan,اتقان
Irasha,اراشا
Izhna,ایزنہ
Imania,ایمانیہ
Ismotara,اسموتارہ
Iflah,افلح
Irtifa,ارطیفہ
Isme,میں ہوں
Inziya,انزیہ
Inaarah,انارہ
Itia,ایٹیا
Ireen,آئرین
Inshra,انشرا
Idah,ادہ
Imasha,اماشہ
Innaya,انایا
Ifshana,افشانہ
Iliza,الیزا۔
Inasa,انسا
Isah,عیشاء
Issah,عیشاء
Iyanna,آیانا
Insirah,اندرا
Irfath,عرفات
Iyanya,ایانیہ
Iyka,آئیکا
Iftia,افطیہ
Ismiya,اسمیہ
Iftesham,افتحشام
Imah,امامہ
Im,میں ہوں
Iftisa,افطیسہ
Izzath,عزت
Imala,امالہ
Iliyana,ایلیانا
Ishama,اسامہ
Ishah,عشاء
Iwana,ایوانا
Izmet,ازمیت
Iyanah,آیانہ
Ilaina,ایلینا
Izzi,ایزی
Isnah,اسناہ
Imane,ایمانی۔
Irdina,اردینا
Iqrah,اقراء
Iyrin,ایرن
Iraida,ایریڈا
Ireena,ارینا
Innara,انارا
Istilah,استدلال
Ismata,عصمتا۔
Injeela,انجیل
Inyra,انیرا۔
Innaira,اندرا
Inayaah,عنایہ
Ikrah,اکراہ
Irmeen,ارمین
Iranshi,ایرانی
Ifah,افاہ
Izaana,اذانہ
Iena,آئینا
Inama,انامہ
Imziya,امزیہ
Inbar,انبار
Izzana,عزانہ
Inabah,انابہ
Ifath,افت
Ikha,اکھا
Issath,استھ
Ilmaa,علما
Inshrah,انشراح
Ishrin,عشرین
Iqrama,اقرا
Ifraa,افرا
Iyzah,آئیزہ
Ifreen,افرین
Imoni,امونی
Izzaah,عزاہ
Ishiqa,اشیقہ
Ibtissam,ابتسام
Izelah,ایزلہ
Irine,آئرین
Iysha,عائشہ
Ilmiya,علمیہ
Irtaba,ارتبہ
Ishia,عشیہ
Izzaa,عزا
Ijada,اجتہاد
Ifaza,افزا
Izmat,عزت
Isir,اسیر
Ishraa,عشرہ
Inshiya,انشائیہ
Ieda,آئیڈا
Irtisa,ارٹیسا
Ifasha,افشا
Ihsane,احسان
Isharat,عشرت
Isas,عیسیٰ
Ibthesam,ابتسام
Iqraah,اقراء
Ibrisami,ابریزامی
Ihsana,احسان
Ibtasam,ابتسام
Izellah,ایزلہ
Iyman,ایمن
Ishqa,عشق
Ishaml,اسماعیل
Iwaana,ایوانا۔
Irufa,عرفہ
Inshera,انشیرہ
Ibrisam,ابریزام
Iima,آئیما
Inaayah,عنایہ
Iyamina,یامینہ
Irtza,ارطزا
Iyesha,عائشہ
Immama,امامہ
Indamira,اندامیرا
Inshifa,انشفا
Imaana,ایمان
Izdiharea,ایزدیہریا
Isnihara,اسنیہارا
Ifadha,افادہ
Ihshana,احسان
Iniyat,انیت
Ifthika,افتیقہ
Isbha,اسبھا
Iliyun,الیون
Izdihare,ایزدیہارے
Ifaasha,عفاشہ
Iliyeen,الیین
Inayaat,عنایت
Impra,امپرا
Imany,ایمانی
Iqurah,اقرا
Iftasham,افتشام
Ishmatah,عشمت
Imaarah,عمارہ
Ibtigha,ابتضاء
Illani,الانی
Imseera,امسیرا
Innayat,عنایت
Irfaque,عرفاق
Indyra,اندرا
Iltika,الٹیکا۔
Iqreema,اقریمہ
Intessar,انٹیسر
Iqreema,اقریمہ
Itemaad,آئٹماد
Iffadath,افادت
Ibtisaama,ابتسامہ
Istabaraq,استبراق
Irteeza,ارتیزا
Isrra,اسرا
Imonee,امونی
Ismatte,عصمت
Ifthsham,افتشام
Illima,الیما
Imanee,ایمانی
Imanie,ایمانی
Itedaal,ایٹاڈال
Iffani,ہیبہ
Imshiya,امشیا۔
Imayn,ایمن
Ihisha,احیشہ
Isria,اسریا
Imayne,امینے
Ifteysam,افتیصام
Isoud,اسود
Innayath,عنایت
Inayazohra,عنایہ زوہرہ
Ilqis,علقیس
Isrea,اسریا
Imeldah,امیلدہ
Imtinaan,امتنان
