Name in English,Name in Urdu
Jannat,جنت
Jawaria,جویریہ
Jasmine,جیسمین
Jahan,جہاں
Jannah,جنّہ
Jihan,جہاں
Jabeen,جبیں
Jamila,جمیلہ
Jara,جرا
Jazba,جازبہ
Jasmin,جسمین
Jazlyn,جزلم
Jenna,جننا
Jaira,جئرا
Jemima,ضمیمہ
Jameela,جمیلہ
Jahanara,جهنرا
Juwairiyah,جويريه
Jasia,جاثیہ
Joyce,جوائس
Johara,جوهرة
Jamia,جميع
Jaisha,جائشہ
Jana,جانا
Juman,جومان
Jehan,جہاں
Janan,جنان
Jian,جيان
Jina,جينا
Janna,جنا
Jalwa,جالوا
Jean,جین
Jumana,جومانا
Jani,جنی
Jada,جدا
Jarina,جرینا
Johana,جوھانا
Jemimah,جمیمہ
Jinan,جينان
Jena,جینا
Jariya,جاریہ
Jawahar,جواہر
Janaan,جانان
Jasmeen,جسمین
Jaan,جان
Jilan,جيلان
Jaida,جیدا
Juwariyah,جوريه
Judi,جُدی
Jessie,جیسی
Jazan,جزن
Jamana,جمانہ
Jahaan,جہاں
Juri,جوري
Jaide,جیدے
Jaiyana,جايين
Jahida,جاهدا
Juhainah,جهينه
Joiya,جویاء
Jasmina,جسمینا
Jamal,جمال
Jabira,جبیرہ
Jahan aara,جہان آرا
Juggan,جگن
Jamilah,جمیلہ
Jessenia,جزين
Jai,جائی
Jazmine,جسمین
Jale,جلے
Johi,جوهي
Jamaima,جمیمہ
Jawahir,جواہر
Jalila,جلیلہ
Jeeda,جیداﺀ
Jazmin,جسمین
Jamala,جمالہ
Jala',جلا
Jennet,جنت
Jabala,جبالہ
Jess,جیس
Jumaina,جومانا
Jaseena,جزين
Jumanah,جُمانہ
Jasrah,جزره
Jadee,جدی
Jaeda,جائدا
Jorawar,جوراوڑ
Jala,جالا
Juwan,جووان
Junna,جنة
Jassia,جصية
Jalilah,جلیلہ
Jessamy,جسمین
Jewana,جوانہ
Jaani,جانی
Jadida,جديدة
Jazbia,جذبیہ
Jaadi,جادی
Jadwa,جدوى
Jubaila,جبیلہ
Jahan khatoon,جہان خاتون
Jaami,جامی
Jessamine,جسمین
Jumainah,جومانه
Jovira,جویرہ
Jessamyn,جسمین
Jumaana,جمانا
Juwariah,جوريه
Jalda,جلدہ
Jaleela,جلیلہ
Jaaishah,جائشہ
Jasmyne,جسمین
Junah,جوناه
Jamille,جمیلے
Jabmen,جبمین
Jwairiya,جويرية
Jazzmine,جسمین
Joodi,جوودي
Juhanah,جهينه
Judamah,جدامه
Jariyah,جريح
Juandalynn,جوندالین
Jaamdah,جامدہ
Joona,جونا
Jazzmyn,جسمین
Jawedan,جودان
Jalees,جلیس
Jaalishah,جالیشہ
Jaajim,جاجم
Jibla,جيبلا
Joozher,جوزر
Jabarah,جباره
Juzla,جذلہ
Jaamlah,جاملہ
Jasra,جاسرہ
Jawda,جودة
Jameerah,جميرة
Jarita,جریتا
Jalnar,جلنار
Jamilla,جمیلہ
Jaydra,جیدرا
Jawharah,جوہرہ
Jaleesah,جليسه
Judaala,جدالا
Jamileh,جمیلہ
Javaneh,جوینا
Jamillah,جميله
Javi,جاوی
Jumaymah,جميمة
Javairea,جفرا
Jalaa,جلاء
Jalsaan,جالسان
Jamillia,جمیلہ
Jila,جلا
Jauhera,جوہرہ
Jessimine,جسمین
jahanban,جہاں باں
Jawna,جاونا
Jahmyyllah,جهميلله
Janana,جانانہ
Jenab,جینب
Jalla,جلاء
Jawaahar,جواہر
Jazibiyya,جاذبية
Jassamayn,جسمین
Jizah,جیزہ
Jeeza,جیزہ
Jaria,جاریہ
Jozi,جوزی
Jahdamah,جهدمة
Junnut,جنوط
Jalpari,جل پری
Janat,جنت
Judat,جودت
Jamah,جماہ
Jebeen,جبین
Jidaar,جیدار
Jalisha,جالیشہ
Jehaan Aara,جہاں آراء
Jathbiyya,جاذبية
Johiya,جوہیا
Jelsaan,جلسان
Johar Ara,جوہر آراء
Johee,جوہی
Jamiat,جمیعت
Juairah,جویرہ
Johrah,جوہرہ
Joyah,جویا
Jamaira,جمیرہ
Jazaa,جازہ
Jannat Batool,جنت بتول
Jahan Ara,جہاں آراء
Jaanitaa,جانیتا
Junni,جنی
Jaanees,جانیس
Jaziah,جازیہ
Jaari,جاری
Jildah,جلدہ
Juaanah,جوانہ
Johia,جوہیا
Jamiyah,جامعہ
Jaazib,جاذب
Jisma,جسمہ
Javairia,جویریا
Jann,جان
Jawaan Bakht,جواں بخت
Jinaa,جینا
Jaareha,جارحہ
Jaben Araa,جبین آراء
Jamiyat,جمیعت
Jaanfidaa,جانفدا
Jawaria,جویریہ
Joliya,جولیا
Jaanbar,جاں بر
Janeerah,جنیرہ
Jaleh,جالیہ
Jawairia,جویریہ
Jaariyah,جاریہ
Jamima,جمیمہ
Jabrut,جبروت
Jamrah,جمرہ
Jamer,جمر
Jabeera,جبیرہ
Jaansah,جانسہ
Jaananah,جانانہ
Jozee,جوزی
Jisma,جسمہ
Jolida,جولیدہ
Jumeirah,جمیرہ
Jalsan,جلسان
Joyaa,جویاء
Jawaad,جواد
Jazlaah,جزلہ
Juwairiah,جویریہ
Jaasiah,جاثیہ
Jawaira,جویرہ
Jawaira,جویرہ
Jam'aal,جمال
Jharnaa,جھرنا
Jalala,جلالہ
Jaazam,جازم
Jaazmah,جازمہ
Jabaarah,جبارہ
Jugnee,جگنی
Jaasindah,جاسندہ
Jameemaa,جمیما
Jafikha,جافخہ
Julees,جلیس
Joleeda,جولیدہ
Jalwah,جلوہ
Jumlaah,جملہ
Janiyaa,جنیا
Jabaan,جبان
Juwaira Ara,جویرہ آراء
Jushan,جوشن
Jaddaal,جدال
Jannbah,جنبہ
Jalaalat,جلالت
Jawaria Asif,جویریہ آصف
Jaarjeenah,جارجینہ
Jammaalah,جمالہ
Joolia,جولیا
Jalilaah,جلیلہ
Jassrah,جسرہ
Jumdah,جمدہ
Jassoor,جسور
Jabalaa,جبالہ
Jawidaan,جاوداں
Jaaziyah,جازیہ
Jazbiaah,جزبیہ
Jazbiaah,جزبیہ
Jarass,جرس
Jasimah,جسیمہ
Jaasah,جاثہ
Jasseem,جسیم
Jammeel,جمیل
Junaira,جنیرہ
Jouhar Ara,جوہر آراء
Jaasrah,جاسرہ
Jallees,جلیس
Jamaana,جمانہ
Jaatnah,جاتنہ
