Name in English,Name in Urdu
Imran,عمران
Irfan,عرفان
Izhaan,اذہان
Islam,اسلام
Ibrahim,ابراہیم
Ismail,اسماعیل
Irtaza,ارتضیٰ
Izaan,عزان
Insha,انشاء
Inayat,عنایت
Irshad,ارشاد
Iqbal,اقبال
Ishrat,عشرت
Iftikhar,افتخار
Imtiyaz,امتیاز
Imad,عماد
Ilyas,الیاس
Ilyyas,الیاس
Illyas,الیاس
Illyyas,الیاس
Imtiaz,امتیاز
Ibadat,عبادت
Ishaq,اسحاق
Iffat,عفت
Idris,ادریس
Intekhab,انتخاب
Ishtiaq,اشتیاق
Israr,اسرار
Ibn,ابن
Ikram,اکرام
Ijaz,اعجاز
Ilahi,إلهي
Ikhlas,اخلاص
Issa,عیسٰی
Isa,عیسیٰ
Iman,امان
Izhar,اظہار
Ikhlaq,اخلاق
Iqrar,اقرار
Inzamam,انضمام
Ihsan,احسان
Imaad,عماد
Izhaar,اظہار
Irfaan,عرفان
Inshal,انشال
Intezar,انتظار
Ibraheem,ابراہیم
Idrees,ادریس
Ilam,علم
Imam,امام
Iyad,عیاد
Iqtidar,اقتدار
Ilias,الیاس
Israfil,إسرافيل
Ishfaq,اِشفاق
Ishmael,اشمیل
Ifraz,إفراز
Imraan,عمران
Ilan,الأن
Inamul Haq,انعام الحق
Ifran,إفران
Iffan,افّان
Ihtisham,احتیشام
Ishaaq,اسحاق
Imdad,امداد
I'bad,عباد
Issam,عصام
Insha Allah,انشاءاللہ
Iskandar,اسکندر
Ibtihaj,ابتہاج
Ibadullah,عبد اللہ
Ibsan,ابصان
Inayatullah,عنايتلله
Izz,عز
Isaam,اسم
Innam,انعام
Ihab,لہب
Isfand Yar,اسفندیار
Ikraam,اکرام
Ilhan,الہان
Ihsaan,احسن
Ihsanul Haq,احسان الحق
Ikbal,اقبال
Idrak,ادراک
Ibad,عباد
Irshaad,ارشاد
Ittefaq,اتفاق
Insaf,إنصاف
Imtiaaz,امتیاز
Ijlal,إجلال
Ikram Ul Haq,اکرام الحق
Iesa,لیسا
Ikrimah,اِکریمہ
Ihtiram,إحترام
Isad,اسد
Ikhlaas,اخلاص
Isaar,إسار
Islah,اصلاح
Istifa,اصطفى
Izzat,عززت
Ijazul Haq,اعجازالحق
Intaj,إنتاج
Ibsham,ابشام
Ibaad,عباد
Ibkar,ابکار
Ijtiba,اجتبٰی
Imad Al Din,امد الدین
Ilyaas,الیاس
Ismaeel,اسمعیٰل
Inayat,عنایات
Ifzal,اِفضال
Ilahi Bakhsh,الہی بخش
Iqbaal,اقبال
Ikramullah,إكراملله
Imaduddin,معدودين
Imed,عمد
Itban,عتبان
Ibdar,ابدار
Iqtedar,اقتدار
Idd,عدد
Ibr,يبر
Izzuddin,يزدن
Intisam,انتسام
Imaam,امام
Isaad,اسعاد
Ihtsham,احتشام
Ibn 'abbas,ابنِ عباس
Iqrit,عقرت
Ikhlaaq,اخلاق
Izum,عزم
In'aam,انعام
Iblees,ابلیس
Iyali,إيلي
Iltifat,إلتفت
Inayatur Rahman,عنایت الرحمٰن
Insar,عنصر
Ibraaheem,ابراہیم
Is-haaq,اسحاق
Ibtikar,ابتیکار
Isma'il,اسمعیل
Iftikhar Ud Din,افتخار الدین
Isamm,عصام
Ilash,علاش
Imrin,عمرن
Iftikhaar,افتخار
Ihtishaam,احتیشام
Imamu,امامُو
Ideeq,ادیق
Imaadudin,امام الدین
Ibrat,عبرت
Isaamm,عصام
Islaam,اسلام
Idiq,عدیق
Iltimas,إلتماس
Idms,عدمس
Issar,عصر
Izz Al Din,از الدین
Izzudin,عزیز الدین
Ishfaaq,اشفاق
Isbahani,اصبهاني
Ismaael,اسماعیل
Ilaahi,إلاهي
Iklil,إكليل
Iksir,إكسير
Itsaf,اتصاف
Ithaar,إيثار
Ibadet,عبادت
Israar,اسرار
Iyaas,إياس
Imadudin,امام الدین
Izazuddawlah,عزازدولة
Idalat,عدالت
Iftikharus Sadat,افتخروس سعادت
Imadudeen,امام الدین
