Name in English,Name in Urdu
Omnia,اُمینا
Oma,اُما
Ozge,اوزے
Omera,أمرا
Olya,الیہ
Ozra,اوزرا
Ozza,أذا
Omid,امید
Orail,اوریل
Orzala,أرذل
Oadira,اودیرہ
Oldooz,ولدوز
Olcay,اولی
Oamra,اومارا
Orkideh,ورکدہ
Oaisara,اویسارا
Orwiya,أروي
Ourra-tul-'ain,اوررا-تل-عین
Omeed,امید
Ommata,امتہ
Oranous,ورانوس
Oudsiyya,قدوسیہ
Oaj,اوج
Ozgul,اوزگل
Oreel,اوریل
Orial,اوریل
Odho,اوڈھو
Omar-baki,عمر باکی
Oonaa,اونا
Orni,اورنی
Ohi,اوہ
Obdulia,اوبدولیا۔
Omaima,عمیمہ
Ozaifa,اوزیفہ
Ola,اولا
Oadirah,اوڈیرہ
Obaidiyah,عبیدیہ
Omaiza,عمائزا
Onaifa,اونایفہ
Oroni,اورونی
Omema,اومیما
Osmani,عثمانی
Oza,اوزا
Oyun,کھیل ہی کھیل میں
Onaysa,اونیسا
Osima,اسامہ
Omira,عمیرہ
Orzah,اورزہ
Orit,اورٹ
Ofra,آفرا
Olida,اولیڈا
Oonayzah,اونیزہ
Ozara,اوزارا۔
Oula,اولا
Ooma,اوما
Oshaira,اوشیرہ
Onessa,انیسہ
Oraida,اوریڈا
Owaiza,اوویزہ
Oyaina,اویانا
Onsiyah,اونسیہ
Omarah,عمرہ
Omaria,عمریہ
Oisha,عائشہ
Omeera,عمیرہ
Ouarda,اواردا
Omyma,اومیما
Owaria,اویریا
Orub,اوروب
Ohda,اوہدا
Ojaala,اوجالا
Owaiba,اویبہ
Oneekah,ایکہ
Owaidat,اویادت
Omniati,اومنیٹی
Ouhood,اوہود
Omaimiya,عمیمیہ
Ourrat,اوررات
Olizamia,اولیزامیا
Of,کی
Owaiqiba,اواقیبہ
Oreekha,اوریکھا۔
