Name in English,Name in Urdu
Shayan,شایان
Saad,سعد
Sufian,سفیان
Sahil,ساحل
Salman,سلمان
Sameer,ثمیر
Shoaib,شعیب
Saif,سیف
Sarim,صارم
Sohail,سہیل
Shahzaib,شاہ زیب
Sarfaraz,سرفراز
Sajid,ساجد
Safwan,صفوان
Shahid,شاہد
Saqib,ثاقب
Shahzain,شازین
Samar,ثمر
Shahbaz,شہباز
Sayan,صیان
Subhan,سبحان
Shahin,شاہین
Shifa,شفاء
Shaheer,شہیر
Shahzad,شہزاد
Sami,سمیع
Shahrukh,شاہرخ
Samir,سمیر
Sajal,سجل
Saim,صائم
Saddam,صدام
Shariq,شارق
Samad,صمد
Sajjad,سجاد
Shamim,شمیم
Shadab,شاداب
Shahmeer,شہمیر
Shakil,شکیل
Sadiq,صادق
Sohaib,صہیب
Sabir,صابر
Shahriar,شہریار
Sinan,سینان
Suhail,سہیل
Shahroz,شہروز
Shah nawaz,شاہ نواز
Saqlain,ثقلین
Salahuddin,صالح الدین
Syed,سید
Suleman,سلیمان
Sarwar,سرور
Shan,شان
Sahir,سہیر
Sheraz,شیراز
Shaheen,شاہین
Shihab,شیہاب
Sharif,شریف
Saleem,سلیم
Saud,سعود
Sultan,سلطان
Saeed,سعید
Siraj,سراج
Soban,ثوبان
Sam,سیم
Shakeel,شکیل
Salim,سلیم
Sunny,سنی
Subhanallah,سبحان اللہ
Shehryar,شہریار
Siddiq,صدیق
Sibtain,سبطین
Shahjahan,شاہ جہاں
Saria,ساریہ
Shahram,شہرام
Shah,شاہ
Shafiq,شفیق
Shahzada,شہزادہ
Shafi,شفیع
Shahan,شاہان
Sohrab,سہراب
Sana,ثنا
Shams,شمس
Sikandar,سکندر
Safan,صفان
Shahadat,شہادت
Sheikh,شیخ
Sayed,سید
Shafi',شفیع
Shadan,شاداں
Subha,سبحہ
Sharin,شارین
Sufi,صوفی
Salar,سالار
Sofian,صُفیان
Shameer,شامیر
Shaad,شاد
Salaar,سالار
Salah,صلاح
Sani,ثانی
Shaukat,شوکت
Siyam,صیام
Said,سید
Shakir,شاکر
Saleh,صالح
Shaban,شابان
Sulaiman,سلیمان
Saman,ثمن
Saifi,سیفی
Sartaj,سرتاج
Shad,شاد
Saabir,صابر
Safi,صفی
Salem,سلیم
Shahryar,شہریار
Sina,سینا
Sadik,صادق
Shamshad,شمشاد
Shahab,شہاب
Shaikh,شیخ
Shahwaiz,شاہویز
Sa'ad,سعد
Samer,ثامر
Shafaat,شفاعت
Sherjeel,شرجیل
Saadi,سعدی
Sanan,صنان
Shani,شانی
Sair,ثائر
Saboor,صبور
Sahib,صاحب
Safeer,سفیر
Sadid,سدید
Salik,سالک
Shami,شامی
Saher,ساحر
Sakhawat,سخاوت
Shab,شاب
Sarmad,سرمد
Shameem,شمیم
Sadat,سعادت
Sumbal,سنبل
Shafe,شافع
Safa,صفا
Shamir,شہامیر
Sharafat,شرافت
Sattar,ستار
Shafqat,شفقت
Sadaqat,صداقت
Safdar,صفدر
Safir,سفیر
Saahir,صاہر
Sarfraz,سرفراز
Sana Ullah,ثناﺀ اﷲ
Shabbeer,شبیر
Sahl,ساحل
Shibli,شبلی
Sharaf,شرف
Shamsher,شمشیر
Saghir,ساغر
Salamat,سلامت
Sa'aadat,سعادت
Sadim,سدیم
Shamsuddeen,شمس الدین
Shadi,شادی
Subhi,صُبحی
Sabiq,سابق
Saib,صائب
Sadees,سدیس
Shanawar,شناور
Shamal,شمل
Sarosh,سروش
Sayeed,سیعد
Saber,صابر
Suleiman,سلیمان
Sabar,ثبار
Shamar,شامار
Salil,سالیل
Sadar,صدر
Sakhi,سخی
Shafeeq,شفیق
Shujaat,شجاعت
Sabri,صابری
Salam,سالم
Shaya,شیا
Sarwat,ثروت
Subhaan,سبحان
Sawab,صواب
Shuja,شجاع
Saed,ساعد
Saabiq,صابق
Shareef,شریف
Shaquille,شکیویل
Sakhaawat,سخاوت
Sifaat,صفات
Salif,صالف
Shafique,شفیق
Sabah,صباح
Soheil,سہیل
Sajeel,سجیل
Sa'adat,سعادت
Sulayman,سلیمان
Sherin,شیرن
Samal,ثمال
Saajid,سجاد
Sirhan,سرہان
Sardar,سردار
Sudais,سدیس
Sanjar,سنجر
Sariyah,ساریہ
Sabih,صبیح
Shaida,شایدا
Sameed,سمعید
Samama,ثمامہ
Shaku,شاکو
Saqi,ساقی
Shuja',شجاع
Saalim,سلیم
Sabat,ثابت
Sifat,صفوت
Shakoor,شکور
Sameen,ثمین
Shabaan,شعبان
Sakib,ساکب
Saiem,سائم
Sibt,سبط
Shariat,شریعت
Siavash,ساواش
Sadir,صادر
Shakeeb,شکیب
Sajjaad,سجاد
Sakir,شاکر
Shail,شعیل
