Name in English,Name in Urdu
Danish,دانش
Daniyal,دانیال
Dawood,داؤد
Dayyan,دیان
Daud,داؤد
Deen,دین
Demir,ڈیمر
Du'a,دعا
Diyan,دیان
Darwish,دارويش
Dilbar,ديلبار
Dilawar,دلاور
Dilshad,دلشاد
Dani,دانی
Deniz,ڈینیز
Didar,ديدار
Daiyan,داعيا
Dawer,داور
Dildar,دلدار
Dalma,دالما
Daa,داع
Daris,دریس
Daman,دامان
Darim,داریم
Diar,ديار
Darek,درک
Darien,ڈیرین
Duldul,دلدُل
Dul,ڈول
Dawar,دور
Daamin,ضامن
Darvesh,دارفيش
Dabeer,دبیر
Dana,دانا
Din,دین
Dakhil,داخيل
Dad,داد
Dalil,دلیل
Dilnawaz,دلنواز
Dameer,دمیر
Dawud,داؤد
Diya,دیا
Dastageer,دستگیر
Durr,دُر
Danush,دانش
Daulat,دولت
Dayim,داييم
Dayan,دیان
Data,داتا
Daiam,دائم
Durani,درانی
Dahi,داہی
Daai,داعي
Darwaish,درویش
Dabir,دابير
Daafi,دافي
Dinar,دینار
Dihyah,ضحيه
Durab,دراب
Dastgir,دستگیر
Dost Muhammad,دوست محمّد
Dula,دولح
Dagar,داغر
Dat,دت
Darwesh,دارويش
Den,ڈین
Dastgeer,دستگیر
Dalw,دالو
Dilruba,دلربا
Dol,ڈول
Diwan Muhammad,دیوان محمّد
Dahm,دہم
Dara,دارا
Dafiq,دافيق
Daleel,دلیل
Darab,درب
Daqiq,دقیق
Daib,دايب
Damesha,دمیشا
Dedar,دیدار
Davood,داؤد
Duryab,دریاب
Dabbah,دبه
Duman,ڈومن
Datar,دتر
Daulah,داولہ
Davar,دور
Daad,داد
Daanish,دانش
Daim,دائم
Dogan,دوگن
Da'i,داعی
Daboor,دبور
Dahman,دہمان
Dhamin,دہمین
Devidas,دیوی داس
Dhamir,دہمیر
Dhul-Fiqaar,ذو الفقار
Duaan,دُعان
Daeva,دوا
Dayanatdar,دیانتدار
Dawoud,داؤد
Daryab,دارياب
Daluh,دالوح
Dhameer,دھمیر
Dastan,دستان
Daies,دائس
Deenar,دينار
Darrak,دراک
Dilgir,دلگیر
Djamel,دجيمل
Danak,دانک
Dihyat,دھیات
Daaib,داعب
Daki,ڈکی
Dida,دیدہ
Duwar,دُوار
Droon,درون
Druj,درُج
Deedar,دیدار
Daagh,داغ
Dalaj,دالاج
Dekel,دکل
Dabur,دبور
Daieb,داعب
Drezar,درزار
Dino,ڈنو
Dhaamin,دہامین
Diyar,دیار
Dilaawar,دلاور
Daias,دائص
Daitya,دیتیا
Danyal,دانیال
Darood,درود
Dilbaz,دلباز
Diya-al-din,دیال دین
Dareen,دارین
Dahak,دھک
Daudi,داودي
Dubb,دُب
Dalhaam,دلھام
Dihishwar,دھشور
Darshish,درشش
Dil,دل
Dajjal,دجال
Daylam,ديلم
Dafinah,دفینہ
Dhiaa',دہیاع
Dughdhova,دغدھووا
Dhaigham,دیھغام
Dobuk,دوبوک
Darrabah,دررابۂ
Durabah,دورابہ
Dikhlat,دخلات
Dalham,دلہم
Dilafroz,ديليفرز
Daiilallah,داعی الی اﷲ
Duhmus,دہومس
Diya-aldin,دیا الدین
Darain,دارین
Dowana,دون
Darayus,دریس
Dasatir,دستر
Douha,دوحة
Dorasarun,دوراسروں
Dalear,دلیر
Deedawar,دیدور
Dahyuka,دہیکا
Dahhak,ضحك
Dakheel,دخيل
Diyaaudeen,دیوالدین
Daghfal,دغفل
Doda,ڈودہ
Dadhush,ددہش
Daqqaq,دیقاق
Damir,دمیر
Dilband,دل بند
Drvaspa,دروسپا
Dastavar,دستاور
Dhushshimalain,دهوششيمالاين
Dahbal,ذهبل
Doshag,دوشگ
Dawwar,دوار
Diyaaudin,دیا الدین
Dukhan,دخان
Damil,دامل
Dost,دوست
Dhola,ڈھولا
Deedag,دیدگ
Dahhaak,دهاك
Dark,درک
Daenodisa,دائنودیسا
Dewan,دیوان
Daepameher,دیپہمر
Dahibed,دہیبد
Drujaskan,درجسکن
Dahyapat,دہیپت
Daepadar,دائپدار
Didag,ڈیڈگ
Dashnag,دشناگ
Dial,دائل
Daryabar,دریا بار
Dakhyu,دخیو
Dafar,دفار
Dil Murad,دل مراد
Draz,دراز
Dukhtar,دختر
Dahmokereta,دہموکریتا
Damurah,دمره
Dulamah,دولمه
Daipadar,دائپدار
Danghupaitim,دنگھپیتیم
Deem,دیم
Darayatratha,درایترتھا
Datwar,داتور
Daid,داعد
Dushdahak,دشداہک
Dushchithra,دُشچترا
Duraedarshtar,درایدرشتر
Dur-e-Yateem,دریتیم
Danghusruta,دنگھسرتا
Dianat,دیانت
Datobar,داتوبار
Daoithra,دؤیتھرا
Dmaurah,دمره
Dajan,داجن
Diaal,دیال
Dil Awez,دل آویز
Dar,در
Daran,داراں
Dulara,دلارا
Dondar,دوندار
Deed,دید
Dilaik,دیلیک
Deaan,دعان
Drafi,درافی
Darman,درمن
Dudman,دُودمان
Dianad,دیاند
Dasar,دثار
Dahil,داھل
Dranna,درانا۔
Dahim,دہیم
Deeham,دیہم
Dara Shikwa,دارالشکوہ
Dimri,دیمری
Damin,دامن
Daiem,دائم
Danish Ali,دانش علی
Duraj,دراج
Dabair Falak,دبیرفلک
Dorao,دوراو
Damer,دامر
Dhampal,دھمپال
Danishwar,دانشور
Dosar,دوسر
Do-ab,دعاب
Danish Ahmed,دانش احمد
Dil Bahar,دل بہار
Danishmand,دانشمند
Darban,داربن
Duheela,دہیلا
Daheem,دہیم
Drasat,دراست
Dodman,دودمان
Dakai,دکائی
Dil Pazeer,دل پذیر
Dilbahar,دلبہار
Duamah,دعامہ
Dharamchari,دھرم چاری
Dil Band,دل بند
Dais,دائس
Dad Ras,داد رس
Dilpazir,دلپذیر
Dharamgoro,دھرم گورو
Dulam,دلم
Dar Kash,دارکش
Dil Baz,دل باز
Delaa'waar,دلاور
Dad Farma,داد فرما
Daniyal Ahmed,دانیال احمد
Dam-an,دعمان
Dilham,دلہام
Danish Hussain,دانش حسین
Dabair-Ul-Mak,دابیر المک
Del'shaad,دلشاد
Dawam,دوام
Dilas,دلاص
Dar Afshan,درافشاں
Dabeel,دبیل
Dad Bakhsh,داد بخش
Dabeeb,دبیب
Dawood Ahmed,داؤداحمد
Dad Kastar,داد کستر
Drakhsh,درخش
Dawood Ali,داؤدعلی
Daee-Allah,داعی اللہ
Dwam,دوام
Daniyal Ali,دانیال علی
Doshab,دوشاب
Diyanat,دیانت
