Name in English,Name in Urdu
Gul Afshan,گل افشاں
Ghazala,غزالہ
Gulnaz,گلناز
Gul,گل
Gulistan,گلستان
Grace,جرس
Gulab,گلاب
Ghana,غنا
Gulnar,گلنار
Ghazal,غزل
Ghania,غانیہ
Ghada,غدہ
Goli,گولی
Gulbadan,گلبدن
Ghazia,غازیہ
Ghalia,غالیہ
Gabriella,جبريل
Giti,گیتی
Ghina,غنا
Gisou,گیسو
Gamze,گیمز
Geti,گیتی
Guadalupe,گادلپے
Gulrukh,گلرخ
Ghuncha,غنچہ
Ghaniya,غنية
Ganja,گنجہ
Ghizlan,غزلان
Gelareh,گلاره
Gul E Rana,گل رانا
Gulshan Ara,گلشن آرا
Ghashia,غاشیہ
Gulrez,جلرز
Gabina,جبنة
Garda,گردہ
Gunjal,گنجال
Ghumaysa,غوميس
Gul Abr,گل ابر
Gul sanobar,گل صنوبر
Ghadia,غادیہ
Gul Rahna,گل رعنا
Gulala,گلالہ
Gita,گیتا
Guita,گیتا
Ghaada,غدا
Gulzar,گلزار
Gohar bar,گوہر بار
Gulalai,جلالي
Golnaz,گلناز
Gulaab,گلاب
Getiara,گیتی آرا
Grana,جرانة
Ghora,غورا
Gul Jan,گل جان
Gul nain,گل نین
Gul Andam,گل اندام
Ghaliya,غالیہ
Guljan,گلجان
Galila,غلیلا
Ghunwah,غنوه
Ghazaleh,غزالہ
Gul Azra,گل عذرا
Guiti,گیتی
Gaiti,گیتی
Ghamama,غمامہ
Ghadah,غدہ
Ghabra,گھبرا
Ghaniyah,غانیه
Ghashmira,غشمیرہ
Gamila,جميلة
Guleen,گلیں
Gulya,گلیا
Gul nasreen,گل نسرین
Ghadir,غدر
Ghafira,غافرہ
Ghais,غیس
Gulizar,گلزار
Golshan,گلشن
Ghadira,غدیرہ
Gul Shagufta,گل شگفتہ
Ghamza,غامزا
Galai,غالي
Geti afren,گیتی آفرین
Ghadat,غدت
Gulzaar,گلزار
Ghiz,غیز
Ghaliyah,غالیہ
Gokce,گوکسی
Guhika,جهك
Guberga,گبرگہ
Gul Khanda,گل خندہ
Gaaz,گاز
Gul roo,گل رو
Ghamzeh,غمزہ
Gul Mehtab,گل مہتاب
Gul Andaz,گل انداز
Gamal,جامال
Ghazara,غضارہ
Gulali,جلالي
Gauher,گوہر
Golnar,گلنار
Ghanwa,غنوا
Ghaleem,غلیم
