Name in English,Name in Urdu
Junaid,جنید
Javed,جاوید
Jawad,جواد
Jibran,جبران
Jasim,جاسم
Jaza,جزاء
Jafar,جعفر
Jahangir,جہانگیر
Jamal,جمال
Jalal,جلال
Jabir,جابر
Jazakallah,جزاک اللہ
Jahanzeb,جہانزیب
Jaish,جائش
Jahid,جاہد
Jabbar,جبار
Jalil,جلیل
Jericho,جیریکو
Jamil,جمیل
Jasper,جسپر
Jameel,جمیل
Javid,جاوید
Juma,جوما
Jaabir,جابر
Jibril,جبرائیل
Jaleel,جلیل
Jaan,جان
Jalaluddin,جلال الدین
Jazel,جاذل
Jibreel,جبریل
Josh,جوش
Jihad,جہاد
Jasir,جاسير
Jubair,جُوبیر
Javier,جوایر
Jami,جامی
Jaafar,جعفر
Jabran,جبران
Jafri,جعفری
Jari,جری
Jugnu,جُگنُو
Jazib,جاذب
Jan E Alam,جان عالم
Jabar,جابر
Julaybib,جليبيب
Jamel,جمل
Jauhar,جوہر
Jamsheed,جمشید
Jarrar,جرار
Jahir,جاہیر
Jabari,جباری
Jamshaid,جمشید
Jan Muhammad,جان محمد
"Jabar, Jabir",جابر
Jalen,جلین
Jed,جید
Jalis,جالس
Jaban,جابان
Jinah,جناح
Jamar,جامار
Jurayj,جورايج
Javeed,جاوید
Jaah,جاہ
Javad,جاوید
Jafari,جعفاری
Jasar,جاسر
jahsh,جحش
Jazim,جازم
Jarrah,جراہ
Jal,جل
Jabeer,جبیر
Jaalib,جلیب
Jad Allah,جد الله
Juzer,جوزير
Jalees,جلیس
Jahiz,جاهيز
Jamshid,جمشید
Jeelan,جيلان
Jamaludin,جمال الدین
Jhanda,جھندا
Jamaal,جمال
Jahleel,جہلیل
Jiyan,جیان
Jayal,چیال
Jabr,جبر
Jadil,جادل
Jummah,جماح
Jazam,جازام
Jalaal,جلیل
Jamiel,جمایل
Jaaved,جاوید
Jasam,جسام
Jaad,جاد
Jamile,جمیلی
Jalib,جلیب
Jaal,جاعل
Jame,جامع
Jawhar,جوہار
Junayd,جُنید
Jazi,جازی
Jedidiah,جیدیدہ
Juhaym,جوهايم
Jaam,جام
Jasiyah,جصية
Jasim Ud Din,جاصم الدین
Jakeem,جاکیم
Jubair Jubayr,زبیر
Jafeer,جفیر
Jadwal,جدول
Josha,جوشا
Jalalat,جلالت
Jassar,جسار
Jabraan,جبران
Jumlish,جملش
Jarad,جراد
Jumah,جوماه
Jabrial,جبرئیل
Jagam,جاجم
Jehfil,جحفل
Jahmal,جہامل
Juzar,جوزار
Ja'far-saadiq,جعفر صادق
Juyal,جويال
Jammal,جمّل
Jaareh,جراح
Jamell,جامل
Jaleb,جاليب
Jaheer,جهير
Jahandar,جہاندار
Juwain,جوين
Jinnah,جناح
Jabrot,جبروت
Jahanshah,جہانشاہ
Jarjees,جرجیس
Janab,جناب
Jemal,جیمل
Jaleed,جلید
Jadallah,جادالله
Johan,جوہن
Jareh,جارح
Janat Gul,جنت گل
Jamash,جماش
Jehanzaib,جہاںزیب
Janiya,جنیا
Jamal Al Din,جمال الدین
Jabiri,جابیری
Jamael,جمایل
Jazak Allah,جزاک اللہ
Jaffar.-ja'far,جعفر
Jundub,جوندوب
Jaspar,جسپر
Jawdan,جودان
Jehangeer,جہانگیر
Jaraad,جراد
Jariyah,جريح
Jasur,جاسور
Jelal,جیلال
Jawal,جاول
Jehandar,جہاندار
Jawdat,جودة
Jasoor,جسور
Jamahl,جامہل
Jabilo,جَبیلو
Jazeel,جزیل
Jasham,جشم
Jahm,جاهم
Jahuz,جحوظ
Junada,جنادة
Jarood,جارود
Joinda,جوئندہ
Jalali,جلالی
jalinoos,جالینوس
Jabal,جبل
Jeo,جیو
Jaul,جاول
Jarullah,جرلله
Jammaz,جماز
Joshan,جوشن
Jergees,جرجیس
Jalal Al Din,جلال الدین
Jahfar,جحفار
Jazool,جذول
Jazey,جازع
Jareem,جریم
Jaseem,جسیم
Jummal,جمال
Jazab,جاذب
Jerwan,جروان
Jemaal,جمال
Janasheen,جانشین
Jahdari,جحدر
Jahaafil,جحافل
Jamill,جمیل
Johri,جوہری
Jassa,جثہ
Jurhad,جرحد
Jayala,جیالہ
Jahanafirin,جاهانافيرين
Jad,جاد
Jelaluddin,جیلال الدین
Jumaat,جماعت
Jamall,جمل
Jasi,جاثی
Janib,جانب
Jamaaluddin,جمال الدین
Junaid Ahmed,جنید احمد
Jazlan,جذلان
Jawdah,جوده
Jelaluddeen,جلیل الدین
Jaleelah,جليله
Jelaludeen,جلیل الدین
Jamani,جمانی
Jusamah,جسمه
Jahdami,جهدم
Jagu,جاگو
Jiyad,جیاد
Jamaaludeen,جمال الدین
Jaffer,جعفر
Jadid,جدید
Jiddat,جدت
Junaid Jamshed,جنید جمشید
Junaid Ali,جنید علی
Jandal,جندل
Junaid Hassan,جنید حسن
Jalid,جلید
Joher,جوہر
Jarvan,جروان
Jandarah,جندرة
Juthamah,جثامة
Jalalaldin,جالالالدين
Jhia,جہیہ
Jiala,جیالہ
Junaid Hussain,جنید حسین
Jolan,جولان
Jarry,جری
Jalab,جالب
Jehz,جحظ
Jibraiel,جبرائیل
Jahaz,جاحظ
Jamalaldin,جماللدن
Javed Ali,جاوید علی
Jaffar. Jafar,جعفر
Jah,جاہ
Jazeer,جذیر
Jawaz,جواز
Jigr,جگر
Jabroot,جبروت
Jabriel,جبریل
Jaer,جائر
Junaid Ahmed,جنید احمد
Jawaher,جواہر
Jaliah,جلیہ
Jaaz,جاز
Junaid Ali,جنیدعلی
Joedat,جودت
Jaheed,جہید
Jeffrey,جیفری
Jafar Ali,جعفرعلی
Jadeer,جدیر
Jodet,جودت
Jeelani,جیلانی
Jazal,جاذل
Jayyad,جید
Jaazim,جازم
Jarees,جریس
Jaziyah,جازیہ
Jafar Hussain,جعفرحسین
Junaid Zia,جنید ضیاء
Javed Hussain,جاوید حسین
Jawan Bakht,جواں بخت
Javaid,جاوید
Jalut,جالوت
Jamad,جامد
Jahanian,جہانیاں
Jajam,جاجم
Jimin,جمن
Jarar,جرار
Jawan Bukht,جواں بخت
Jurat,جرات
Javed Ahmed,جاوید احمد
Jatoi,جتوئی
Jameh,جامع
Jameel Ahmed,جمیلاحمد
Jamal Ahmed,جمالاحمد
Jumal,جمل
Jarwan,جروان
Jamil Ahmed,جمیل احمد
Jareed,جرید
Jasas,جساس
Jahangir Ahmed,جہانگیراحمد
Jabaal,جبال
Jamal Hussain,جمالحسین
Jalmad,جلمد
Jahangir Hussain,جہانگیرحسین
Joindah,جوئیندہ
Jawad Ahmed,جواد احمد
Jahangir Ali,جہانگیرعلی
Jahair,جہیر
Jamal Ali,جمالعلی
Jabbal,جبال
Jawad Hussain,جواد حسین
Jamus,جموس
Jawad Ali,جواد علی
Jaddar,جدار
Jaudan,جاوداں
Jaasleeq,جاثلیق
Jurrat,جرات
Jibran Ali,جبران علی
Jajman,ججمان
Jahangeer,جہانگیر
Janbar,جاں بر
Jazee,جازی
Jahool,جہول
Jibran Ahmed,جبران احمد
Jafar Ahmed,جعفراحمد
Jahfal,جحفل
Jishan,جشن
Jarnam,جرنم
Jalawat,جلاوت
Jamay,جامع
Jaladin,جلاء دین
Jaswar,جسور
Jaiesh,جائش
Jibran Hussain,جبران حسین
Jana,جاناں
Juml,جمل
Jamil Hussain,جمیل حسین
Jalwaz,جلوز
Jabeerah,جبیرہ
Jilani,جیلانی
Jabees,جبیس
Jisan,جسان
Jazeh,جازع
Jazay,جازع
Jaldil,جلدل
Jawwad Raza,جواد رضا
Jahindah,جہیندہ
Jamil Ali,جمیل علی
Jafferi,جعفری
Jammuh,جموع
Jahoband,جہبند
Jaladat,جلادت
Jazol,جذول
Jalmed,جلمد
Jaqallah,جقالہ
Jamlesh,جملش
Janbah,جنبہ
Jameel Hussain,جمیلحسین
Jusaas,جصاص
Jazakat,جزاکت
Jabbr,جبار
Jamakh,جمخ
Jaheesh,جحیش
Jusaam,جسام
Jaswer,جسور
Jawedaan,جاوداں
Janbakhash,جان بخش
Jarif,جریف
Jahwaz,جحوظ
Jameel Ali,جمیلعلی
Jaloraz,جلوریز
Jarjabeen,جرجبیں
Jbaan,جبان
Juber,جبیر
Jarin,جارین
Jarir,جریر
Jafri,جعفری
Jayed,سمید
Jafrin,جعفرین
Jaahid,جاہد
Jaadallah,اللہ بخش
Junu,جونو
Jubran,جبران
Jaafer,جعفر
Jawan,جوان
Joon,جون
Jaheim,جاہیم
Jahin,جہین
Jaswik,جسوک
Jareer,جریر
Jaber,جابر
Jibon,جبون
Jafir,جعفر
Jelani,جیلانی
Jahara,جہرہ
Jaim,جیم
Jazil,جزل
Jeeshan,جیشان
Joud,فیضان
Jeswin,جیسون
Juned,جونڈ
Jidan,جدان
Jaar,جار
Jesan,جیسن
Jafi,جفی
Jasil,جسل
Jahar,جہر
Joven,جوان
Junain,جنین
Jiyaul,جیاول
Jizan,جیزان
Jabed,جبید
Jamiu,جمیو
Jaun,جون
Jansher,جانشیر
Jubed,جوبید
Juhana,جوہانہ
Jasin,جسین
Jafran,جعفراں
Jayhan,جیہان
Jaseel,جسیل
Jamsheer,جمشیر
Juhani,جوہانی
Jaasim,جاسم
Jamirul,جمیرول
Jaidul,جیدول
Junayed,جنید
Jainuddin,جین الدین
Jabid,جبید
Jerish,جیرش
Jibin,جبین
Jellal,جیلل
Jameer,ہمایوں
Javith,جاویت
Jarib,جریب
