Name in English,Name in Urdu
Veronica,ویرونیکا
Varisha,فرشة
Vasia,واصیہ
Vida,ویدہ
Vega,ویگا
Veeda,ویدہ
Vanda,وندا
Vadha,ودھاﺀ
Viqar un nisa,وقار النساﺀ
Vardah,فرضه
Vafia,ففي
Vernice,ویرینس
Vasfia,وصفیہ
Varqah,ورقہ
Vikar ul nisa,وقرالنساﺀ
Vashti,وشتی
Vaseela,وصیلہ
Veeya,وییا
Vashtee,وشتی
Vahi,واہی
Vahida,وحیدہ
Vaasifa,واصفہ
Vaffa,وفا
Vaheeda,وحیدہ
Vagiha,وگیہ
Valiqa,ولیقہ
Vareesha,وریشہ
Vishita,وشیتا
Vineesha,ونیشا
Vaida,ویدہ
Vineeha,ونیہا
Vahitha,وحیتھا
Vakila,وکیلا
Vasima,وسیما۔
Vihaana,ویہانا
Vaseema,وسیمہ
Vazeera,وزیرہ
Vrishtha,ورشتھا
Vezna,ویزنا
Vione,وائن
Vajeeha,وجیہہ
Vajiha,وجیہہ
Vruja,ورجا
Vahidan,واحدان
Veronika,ویرونیکا
Vazeela,وازیلہ
Vahidha,وحیدہ
Vahidah,واحدہ
Vajeera,وجیرا
Vinithra,ونیتھرا
Viswanya,وسونیا
Vahidhaa,وحیدہ
Verddah,وردہ
