Name in English,Name in Urdu
Eshaal,عشال
Eliza,العزة
Eshal,إسهال
Eman,ایمان
Elif,ایلف
Elma,علما
Esra,ایسرا
Emma,إما
Erum,ارم
Erina,يرينا
Elisha,العشا
Elham,الہام
Eira,ایرہ
Ezzah,عزاه
Emily,إيميلي
Eva,ایوا
Eylül,--
Eiman,ایمان
Eiliyah,إليه
Emira,امیرہ
Elijah,العجه
Eisha,ایشاﺀ
Elnaz,الناز
Emel,ایمل
Eila,دیبا
Esther,عیستر
Emami,امامی
Elnara,ایلنارا
Esmeray,ایسمیرے
Emine,ایمن
Eleonora,عیلونورا
Elmira,المیرا
Esana,ایسنا
Ece,--
Elaheh,علاہ
Emna,امنة
Ermina,رمينا
Ereshva,یرشوا
Etti,عتتی
Essy,عیسے
Esta,عیستا
Ehteram,احترام
Elvan,ایلوان
Eimaan,إيمان
Essie,عیسے
Emiri,امیری
Erezisha,یرزیشا
Ester,عیستر
Ehzazunnisa,اعزالنساﺀ
Eraq,ایراق
Ewaz,ایواز
Etty,عتتے
Ehteram,احترام
Ellmeera,المیرا
Elmyra,المیرا
Ellmera,المیرا
Erenavacha,رنوچا
Elmeera,المیرا
Ereti,ارتی
Elmera,المیرا
Eredhwa,یردھوا
Elmyrah,المیریہ
Ettie,عیتتی
Elmeria,المیریہ
Eeshah,عیشہ
Ellmeria,المیریہ
Elmerya,المیریہ
Elmeeria,المیریہ
Ettey,عتتے
Esah,عیسیٰ
Eirah,ایرہ
Enfleda,اینفلیڈا
Eilnaz,ایلناز
Ehtshaam,احتشام
Esaa,ایسا
Esfir,ایسفیر
Eshrat,عشرت
Ejab,ایجاب
Esaaque,ایثاق
Evaa,ایوا
Eskandar,اسکندر
Eitlaf,ایتلاف
Ekraam,اکرام
Enaya,عنایہ
Eyana,ایانہ
Erha,ارہا
Ezlin,ایزلن
Esme,ایسمے
Erza,ایرزا
Ezlyn,ایزلین
Elin,ایلن
Eliya,ایلیا
Eza,ایزا
Efa,ایفا
Elyana,ایلیانہ
Ezwa,ایزوا
Eana,ایانا
Ebrah,ابرہ
Enara,اینارا
Eanna,اینا
Eashal,ایشال
Erah,ایرا
Emaya,ایمایا
Eliyah,ایلیا
Esma,اسماء
Elaiya,الائیا
Elaha,الٰہ
Ekra,اکرا
Esmahan,اسماہان
Eaira,آئرہ
Eyza,عائزہ
Eaiza,عائزہ
Ebado,ایبادو
Elayna,ایلینا
Elahi,الٰہی
Ezha,ایہہ
Ensha,انشا
Effah,اففہ
Eazaid,ایزید
Elnaaz,الناز
Esraa,اسرا
Ersa,ارسا
Emana,ایمانہ
Eliyeen,الیہین
Enayah,عنایہ
Elmi,ایلمی
Ellaria,ایلریا
Eishal,ایشال
Enny,اینی
Ecrin,ایکرین
Emona,ایمونا
Elakkiya,ایلاکیہ
Eleena,ایلینا
Eshra,عشرہ
Esrat,عصرت
Emrin,ایمرین
Elizha,الیزا
Ezrin,ایزرین
Enam,انعام
Eliyana,ایلیانہ
Elizah,ایلیزہ
Elani,ایلانی
Emina,ایمینا
Elanoor,ایلانور
Eiram,ایرم
Emat,ایمات
Elah,ایلہ
Eshat,ایشات
Ein,آئن
Elmiya,المیہ
Elida,ایلیڈا
Emefa,ایمیفا
Ezwah,ایزوہ
Eshe,ایشے
Eema,ایما
Eshael,ایشایل
Eleesha,الیشا
Ehfat,افت
Eeraj,ایراج
Ezina,ایزینہ
Ekrah,اکراہ
Enida,اینیڈا
Eshia,ایشیا
Etham,ایتھم
Elayza,ایلیزا
Eiren,آئرن
Eisra,اسرا
Ellaha,الٰہ
Elinah,ایلینا
Engy,اینجی
Emrit,ایمریٹ
Emrana,عمرانہ
Eelaf,ایلاف
Elasia,الاسیا
Esmy,ایسمی
Elysha,الیشا
Eness,اینیس
Eelaaf,ایلاف
Ennaya,اینایا
Elija,ایلیا
Elhaida,الہیدہ
Ejah,ایجاہ
Elinoar,ایلینوار
Ettra,ایٹرا
Ejlal,اجلال
Emane,ایمانی
Enaaya,عنایہ
Efath,افات
Erelah,ایریلہ
Eliyun,ایلیون
Emlin,ایملن
Eishaa,ایشا
Epha,ایفا
Eirin,ایرن
Ernisa,ارنیسا
Eysha,عائشہ
Eniyah,اینیہ
Eladari,ایلاداری
Eshina,ایشینا
Evey,ایوی
Ezzha,عزہ
Esmiya,اسمیہ
Emann,ایمن
Edirin,ایڈرین
Erfana,عرفانہ
Etimad,اعتمد
Esabah,اصابہ
Elzia,ایلزیا
Ertifa,ارٹیفا
Eyasmin,یاسمین
Eyasmin,یاسمین
Enayetullah,عنایت اللہ
Einat,عینات
Emeli,ایملی
Ezumi,ایزومی
Eihaa,ایہا
Eladaria,ایلادریا
Emanie,ایمنی
Elzeena,الزینا
Eevi,ایوی
Emros,ایمروس
Ellyana,ایلیانا
Eiliyana,ایلیانا
Esaaf,ایساف
Ezdehar,ایزدہر
Eezan,ایزان
Eqra,اقرا
Ehsana,احسانہ
Ethibal,ایتھیبل
Emhama,ایمہامہ
Eiesha,عائشہ
Ednah,ایڈنا
Enshirah,انشیرہ
Eetra,ایترا
Ermeena,ارمینہ
Effath,ایفاتھ
Efshana,افشانہ
Eenath,ایناتھ
Ebtissam,ابتسام
