Name in English,Name in Urdu
Chandni,چاندنی
Camilla,کمیلہ
Caitlyn,ساتلين
Cyra,کیرا
Chanda,چندا
Chanchal,چنچل
Chand,چاند
Chashni,چاشنی
Caliana,کلیانہ
Chadia,شاديا
Ceylan,سیلان
Champa,چمپا
Ceyda,سیڈا
Chandra,چندرا
Carmen,کرمین
Cala,کالا
Cailey,کیلی
Chana,چنا
Chandi,چاندی
Chessy,چیسی
Chand bibi,چاند بی بی
Chaand,چاند
Cemal,کمل
Chafia,شافيا
Cailie,کیلی
Calah,کلہ
Caria,کیریہ
Chaman ara,چمن آرا
Cantar,سنتر
Chiragh bibi,چراغ بی بی
Chahr Zad,چہر زاد
Cariman,کاریمہ
Chandani,مشال
Chahrazad,شهرزاد
Chamkili,چمکیلی
Chalipa,چلیپا
Chasmi,چشمی
Caylie,کیلی
Chereen,چیریں
Chahra Khaz,چہرہ خیز
Chasheen,چاشین
Chaghama,چاغامہ
Chafika,شفيقة
Carma,کارمہ
Chehrazad,چہرازاد
Cantara,کنترا
Carna,کرنا
Chani,چانی
Chashida,چشیدہ
Chamis,شمس
Chouj,چوج
Chehrazadi,چہرہ زادی
Chashma,چشمہ
Chehra,چہرہ
Chaan,چان
Chaak,چاک
Chaand Bibi,چاند بیبی
Chaandi,چاندی
Cheesy,چیسی
Chaashin,چاشین
Chaandani,چاندنی
Chaandd,چاند
Chamki,چمکی
Chesi,چیسی
Chamkeeli,چمکیلی
Chamber,چمبر
Chehra Khaiz,چہرہ خیز
Chashmah,چشمہ
Chaman Aara,چمن آراء
Cheena Begum,چینا بیگم
Chand Bi Bi,چاند بی بی
Chamnia,چمنیا
Chhaon,چھاؤں
Chiragh Bi Bi,چراغ بی بی
Chehal,چہل
Cheeri,چیری
Chashmi,چشمی
Chehra Khez,چہرہ خیز
Chandin,چندین
Chehr Zad,چہر زاد
Chameer,چمیر
Chaashni,چاشنی
Champaa,چمپا
Chamnia,چمنیا
Chehra Kusha,چہرہ کشا
Chhoor,چھور
Chandaan,چنداں
Chanbeli,چنبیلی
Chandeen,چندین
Cheesi,چیسی
Chehrzaad,چہرزاد
Chandraa,چندرا
Chushida,چشیدہ
Chandaa,چندا
Chaghaamah,چاغامہ
Chandii,چاندی
Cheoli,چیولی
Chameniyaa,چمنیا
Chenchal,چنچل
Chandda,چندا
Charabah,چرابہ
Chasheedah,چشیدہ
Chodaani,چودانی
Chaimaasah,چائماصہ
Chashinie,چاشنی
Channaa,چنا
Charaahah,چراہہ
Chodass,چودس
Cheeoli,چیولی
Chopahal,چوپہل
Charaabah,چرابہ
Ciara,سیارا
Choti,چھوٹی
Cali,کیلی
Cahmber,کاہمبر
Cyrine,سائرین
Chema,چیما
Chunna,چونہ
Clemira,کلیمیرا
Chahida,چاہدہ
Ciji,سیجی
Chakira,چاکیرا
Cheryn,چیرین
Chariva,چاریوا۔
Chaesha,چیشہ
Celmira,سیلمیرا
Chakila,چکیلا
Cyrille,سائرل
Cimrin,سیمرین
Casilda,کیسیلڈا
Chasmeen,چمن
Chamen,چمن
Cambar,کمبر
Cantarah,کنٹراہ
Cantera,کنٹیرا
Chiraz,چیراز
Cambra,کمبرا
Centola,سینٹولا
Chereena,چیرینا
Chahra,چہرہ
Corlissa,کورلیسا۔
Canterra,کینٹیرا
Camberli,کیمبرلی
Camberly,کیمبرلی
Canterah,کینٹیرہ
Camberlynn,کیمبرلین
Cambyre,کیمبائر
Camberlyn,کیمبرلن
Cassilda,کیسیلڈا
Camberia,کیمبریا
Cambyr,کیمبر
Casilde,کیسیلڈ
Casildah,کیسیلدہ
Cambur,کیمبر
Camberise,کیمبریز
Casyldah,کیسیلڈا
Charugna,چاروگنا
Cassylda,کیسیلڈا
Casyld,کیسائلڈ
Cantarra,کینٹرا
Camberlee,کیمبرلی
Casylda,کیسیلڈا
Canterrah,کینٹررہ
Casild,کیسیلڈ
