Name in English,Name in Urdu
Ruhi,روحی
Rumaisa,رومیسہ
Rida,ردا
Rabia,رابعہ
Rimsha,رمشا
Rubina,روبینا
Reshma,ريشما
Rifat,رفات
Rukhsar,رخسار
Razia,راضیہ
Rukhsana,رخسانہ
Rehana,ریحانہ
Reena,رینا
Rabab,رباب
Ruqayya,رقیہ
Raina,راعنہ
Rima,ریما
Rameen,رامين
Rizwana,رضوانہ
Rahat,راحت
Rafia,رفیعہ
Reem,ریم
Rania,رانیا
Ruman,رومان
Raima,رائمہ
Rifa,ريفا
Reema,ریما
Rahima,رحیمہ
Roshni,روشني
Rabeel,رابیل
Romaisa,رومیسہ
Rashida,راشدہ
Rushda,رشدہ
Raha,رہاﺀ
Rahma,رحمہ
Roxy,روکسی
Rasha,رشاہ
Ruba,روبا
Rozina,روزینہ
Ramsha,رمشہ
Raniya,رانیہ
Ramla,رملہ
Roha,روحا
Rina,رینا
Rafiya,رافعہ
Rihana,ریحانہ
Raabia,رابیعہ
Rim,رم
Rafa',رفاع
Romana,رومانہ
Roja,روجہ
Rahila,راحلہ
Rasika,رسیکا
Rija,ريجا
Rubiya,روبية
Rohi,روحي
Reham,ريهام
Rushna,رشنا
Ruqayyah,رقییہ
Ragni,راگنی
Roksana,رخسانہ
Raihana,ریحانہ
Rahmah,رحمہ
Ruhab,روهاب
Rafa,رفا
Rajni,راجنی
Roya,رُیا
Rumman,رومان
Reeda,ریدا
Raiha,رائحہ
Reeba,ریبا
Ruwaida,رويدا
Ramza,رمزہ
Ranya,رانیا
Raeesa,رئیسہ
Raheela,راحیلہ
Rawa,راوا
Raaem,رائم
Rifah,ريفاه
Rufaidah,رفيده
Razan,رازان
Resham,ريشام
Rahaf,راهاف
Roshan Ara,روشن آراﺀ
Rafat,رفعت
Reeha,ريحة
Rameesha,رمیشہ
Rakiba,راکبہ
Ruban,روبان
Radiyah,راضيه
Rafta,رافتہ
Raameen,رامين
Ramia,رمیہ
Ruhma,رحمة
Raaheel,راحیل
Rakhshanda,رخشندہ
Raghad,رغد
Rabita,رابطة
Rumi,رومی
Radwa,رادوا
Raafiah,رافعه
Radhiya,رادھیا
Rubaba,روبابا
Radifa,رديفا
Rawdah,رؤدہ
Rabiah,ربیہ
Rufayda,رفيدة
Rada,رادہ
Raahima,رحيمة
Rand,ریند
Raneem,رنیم
Rozeena,روزینہ
Rezan,رزان
Reja,ريجا
Rawza,روزا
Roobee,روبی
Rafah,رفہ
Rasheeda,رشیدہ
Rameesa,رمیصا
Rijja,رجاﺀ
Rifza,رفضہ
Ravan,رواں
Raniyah,رانیہ
Reyah,رياح
Raabiah,رابيه
Randa,راندا
Roxanne,روکسین
Rehab,رحاب‎
Romeesa,روميسا
Roohee,روہی
Ruaa,رواء
Rifqa,ريفقا
Raiqa,رايقة
Reeja,ریجا
Ramna,رمنا
Rasi,رسیع
Ruwayda,رویدا
Rawaha,رواها
Rabeea,ربیع
Resha,ريشا
Rukan,رکن
Ruqaya,رقییہ
Rozal,روزل
Raziya,رزية
Rachna,رچنا
Rufia,روفیہ
Rayya,ریا
Raja',رجاع
Roshna,روشنا
Rafif,رافيف
Raahilah,راحله
Rizwa,رضوہ
Raabitah,رابطه
Rushba,رشبہ
Ridaa,رضاء
Raidah,رائدہ
Ruksha,رقصها
Rahiba,رهيبة
Rajiya,راجيا
Ribqah,ربقة
Roxana,رخسانہ
Ruhee,روحي
Rukayat,رقية
Reyhan,ریحان
Ruwa,رووا
Rasmin,رسمین
Radhia,رادھیہ
Rizwan,ريزوان
Rudainah,ردينه
Rasia,راسیہ
Romaana,رومانا
Rafiqa,رفیقہ
Ruwaydah,رؤیدا
Robal,روبل
Rafida,رفيدة
Rahiq,راهيق
Raqia,راقيا
Roheen,رهين
Rafza,رافضہ
Reyhaneh,ریحانہ
Razina,رزينة
Roshan,روشان
Rohaan,رهان
Rabi'ah,ربیع
Rumila,رومیلا
Rasmiya,رسمية
Rubab,رباب
Ruza,روزا
Raawiya,رویہ
Raaida,رئدہ
Rajia,راجعہ
Roopa,روپا
Rizqin,ريزقين
Rosita,روستا
Rahaba,رحابہ
Rahimah,رحیمہ
Rashidah,رشیدہ
Rufqa,رفقہ
Rifaat,رفات
Rameela,رمیلہ
Ramzia,رمزية
Ridhwana,رضوانہ
Rafi'a,رافعہ
Raqiba,رقيبا
Reeshma,ریشماں
Rahifa,رهيفة
Raudah,روضه
Rafeeqa,رافیقہ
Rumeha,رميها
Radhwa,ردھوا
Radeyah,ردیہ
Ratiba,رتيبة
Raufa,رؤفہ
Ruhiya,روحية
Rashifa,راشفہ
Rawia,راويا
Rabih,رابيه
Raga,رگا
Raana,رعنا
Raeesah,ريسه
Rafidah,رفيده
Rabah,رابح
Rebm,ربم
Roshina,روشنة
Rakeeba,رکیبہ
Raheesa,رہیسہ
Rafya,رفیہ
Rafat,رافت
Raanee,رانی
Rubaa,ربا
Robabeh,روبابہ
Rashiqa,رشيقة
Raziqa,رازقہ
Raeha,رايها
Ridhwaana,ردوان
Rajla,راجلہ
Rabitah,ربيته
Raeefa,ريفا
Rumailah,رميلة
Razwa,رازوا
Rakhshinda,رخشندہ
Raihaana,ریحانہ
Raashida,رشیدا
Rozalia,روزالیہ
Rafee'a,رافیعہ
Rayann,رايانن
Raaziyah,رزية
Rida Zainab,ردا زینب
Rafraf,رفرف
Ruhaniya,روحانية
Reshman,ریشماں
Rasina,رصينة
Rasheeqa,رشیقہ
Ra'naa,راعنا
Razana,رزانة
Roudabeh,رودابہ
Rubadah,ربضة
Rakhshi,رخصه
Rasheeq,رشیق
Ramiq,رامق
Ridwaanah,رضوانه
Roshi,روشی
Ra'eesa,ریئسا
Rafda,رافدہ
Roobeena,روبینہ
Rayah,ریاح
Reshmina,ريشمينا
Rahija,رحجہ
Raqeebah,رقيبه
Raiqah,رايقه
Rashad,رشاد
Rawahah,روحه
Rohani,روحانی
Roxie,روکسی
Raushan,روشان
Rahla,رحلة
Rawdha,رؤدہ
Reyhana,ريحانة
Rameesah,رمسه
Roxanna,روکسینا
Rasida,راصدہ
Roxelana,روکسلانا
Ruwaa,رواء
Rawiyah,رویہ
Roziat,روزیت
Reyhan,ریحان
Rahimateh,رحیمتے
Radhiyaa,رادھیا
Rahmaa,رحماء
Runs,رنس
Raakiba,راكبا
Rasfia,رصفیہ
Rawiah,روعه
Raweeda,رویدہ
Rauhah,روحه
Roshanak,روشانک
Ra'isa,رعیسا
Rummana,رومانى
Rond,رند
Ruwaidah,رويده
Ruyah,رياح
Rakina,رقينا
Rukhsat,رخصت
Rafiqah,رفيقه
Reshmaan,ریشمان
Rasima,رسمة
Riqbah,رقبه
Rummanah,رومانه
Roshak,روشک
Rafiga,رفیگا
Raheeda,رہیدہ
Rafeeah,رفيعه
Rajiyah,راجيه
Roxane,روکسین
Rumeena,رومینا
Radiyyah,راضيه
Rakhsha,رخشہ
Roshan,روشن
Ramoona,رمونا
Rasee,راسي
Rashtia,رشتیاﺀ
Rukbana,رکبانہ
Rumaithah,رميثة
Raghiba,رغبة
Raghd,رغد
Rajeeyah,راجيه
Rufq,رفق
Rushdiya,رشدي
Raheemah,رحيمه
Ra'idah,رعیدہ
Rakhshee,رخشی
Raushani,روشان
Roshal,روشال
Rashidi,راشدی
Raunaa,رانا
Rasmiyah,رسميه
Rida Zehra,ردا زہرہ
Rayhanah,ريحانه
Rebiya,ربیعہ
Rasti,راستی
Rafeeqah,رفيقه
Rooha,روحہ
Rasheedah,رشيده
Robita,روبیتا
Razeenah,رزينه
Rajeha,راجحہ
Rukhshana,رخصهنا
Rakhima,رخيم
Roxine,روکسنی
Roxann,روکسین
Rozeeta,روزیتا
Roksanne,روکسینا
Rufayah,رفيعه
Rihaana,ريحانة
Rohana,روحانہ
Raqiqa,رقيقة
Ramziyah,رمزية
Raghid,رغيد
Rayhaneh,ریحانہ
Reshtina,ريشتينا
Rozinah,رزينه
Rodara,رودارہ
Roxey,روکسی
Rutbah,رتبہ
Raodah,روضه
Razaanah,رزانة
Roopla,روپلہ
Rihanah,ريحانه
Rukhailah,رخيلة
Rashaqa,رشاقة
Roxene,روکسین
Rizam,رزم
Rabaya,ربایہ
Rakhshaan,رخصها
Ranarauna,رنارونا
Ranaraunaa,رنارؤنا
Reshayal,ریشیال
Riffat,رفعت
Rameethah,رميثة
Rakheelah,رخيلة
Ranrha,رانرها
Raize,ریز
Rahsheda,راشدہ
Rodka,رودکہ
Rafsha,رفشہ
Roshan Ara,روشن آرا
Rafiah,رافیہ
Rihaa,رھاء
Rajli,رجلی
Rafqa,رافقہ
Rukhsaanah,رخصنة
Rabisa,رابیسہ
Raghidah,رغيدة
Rubab Batool,رباب بتول
Rukhaylah,رخيلة
Raghibah,رغبة
Robitaa,روبیتا
Roshane,روشانے
Rodaiyah,رودایہ
Rehani,ریحانی
Raaniya,رانیا
Rasda,راصدہ
Raghba,راغبہ
Raani,رانی
Rafsana,رفسانہ
Rimha,رمہا
Raeena,رعینہ
Rafsha,رفشہ
Rakiyah,رکیہ
Ramlah,رملہ
Ramiyah,رمیہ
Ramisah,رمیثہ
Rafaela,رفاعلہ
Raazia,راضیہ
Reshmeen,ریشمین
Raa'na,رعنا
Ramlasand,رملسند
Reeni,رینی
Rubiya,روبیہ
Raziah,راضیہ
Rashk e Zehra,رشک زہرہ
Ramizah,رمیزہ
Roshan Gohar,روشن گہر
Rameezah,رمیضہ
Raqibah,رقیبہ
Rifshah,رفشہ
Roshany,روشانے
Ramayah,رمایہ
Rafizah,رافضہ
Ramnah,رمنہ
Rudah,رودہ
Rudaabah,رودابہ
Raftah,رافتہ
Rasbah,راسبہ
Raeena,رعینہ
Roofa,روفہ
Ruqqia,رقیہ
Rabihah,ربیحہ
Roveeda,رویدہ
Ramshah,رامشہ
Rutal,رتل
Rudmira,ڑمیرا
Rakhia,رخیہ
Raffah,راففہ
Ramsah,رمثہ
Ranm,رنم
Rabanah,ربانہ
Radifah,رادفہ
Rabaid,ربید
Rimal,رمل
Rehmah,رحمہ
Razeefa,رضیفہ
Rimuna,رمونا
Rihaam,رھام
Rahlah,راحلہ
Rzia,رضیہ
Rashiqah,رشیقہ
Raeel,راعیل
Roshak,روشک
Rakibah,رکیبہ
Rahibah,راہبہ
Rahnaz,رہناز
Roheela,روحیلہ
Rahaab,رحاب
Rajiha,رجیہہ
Rifet,رفعت
Riyana,ریانہ
Rahnah,راہنہ
Roheela,روحیلہ
Riva,ریوا
Romeena,رومینہ
Riyaheen,ریاحین
Rabihaat,ربیعت
Raaziya,راضیہ
Raqat,رقت
Rushdah,رشدہ
Ramuz,رموز
Ramilah,رمیلہ
Romilah,رومیلہ
Ranaa,رانا
Rashadat,رشادت
Raqbah,راقبہ
Rohinah,روہینہ
