Name in English,Name in Urdu
Ehan,احان
Eshan,عشان
Ejaz,اعجاز
Ehsan,احسان
Eren,ایرن
Ertugrul,ارتغرل
Esa,عیسی
Emad,عماد
Eshaan,عشان
Eid,عید
Elias,الیاس
Emre,ایمر
Elyas,الیاس
Eisa,عیسٰی
Ezaan,ازعان
Emin,ایمن
Ender,اینڈر
Ezaz,اعزاز
Ebi,عبی
Esam,اسم
Emaaz,عماز
Efe,ایفی
Ebrahim,ابراہیم
Emir,امیر
Eran,ایرن
Enayat,عنایت
Ehteram,احترام
Eldar,ایلڈر
Erman,ارمان
Ediz,ایڈز
Edric,ایڈریک
Ensar,انصار
Ehtiram,إحترام
Ezan,اذعان
Eesaa,عیسٰی
Erdogan,اردگن
Emet,امت
Enver,اینور
Emmad,عماد
Erol,ایرول
El Amin,یل امین
Ergin,ایرگن
Emry,ایمری
Esfandiar,اسفندیار
Ekbal,اقبل
Ewaan,ایوان
Erach,ارچ
Eshaq,عشاق
Easau,عیسٰی
Esfandyar,اسفندیار
Encarna,انکارنا
Ervad,ارواد
E'jaaz,اعجاز
Emree,ایمری
Erag goshih,ارگ گوشہ
Etemad,اعتماد
Emaan,ایمان
Esmail,اسماعیل
Erekhsha,یرخشا
Erezu,ارزو
Eranvej,ایرانویج
Erezwa,یرزوہ
Esmaeel,اسمعیل
Ebraheem,ابراہیم
Einas,عیناس
E'temad,اعتماد
Erezata,یرزاتا
Esmaeel,اسماعیل
Ekanag,ایکاناگ
E'temaad,اعتماد
Ejad,ایجاد
Ehmad,احماد
Eradat,اردات
Ehtasham,احتشام
Eysa,عیسیٰ
Ezhar,اظہار
Esaq,ایثاق
Ehrar,حرار
Ejaaz,اعجاز
Eshin,ایشین
Emad Wasim,عماد وسیم
Eiman,ایمان
Ehtemad,اعتماد
Ehtzaz,اہتزاز
Ejaz Ahmed,اعجاز احمد
Ejaz Ali,اعجاز علی
Effendi,افندی
Eshan  Ali,عشان علی
Elhan,الہان
Eshan  Ahmed,عشان احمد
Ehsan Ali,احسان علی
Ejaz Hussain,اعجاز حسین
Ehsan Ahmed,احسان احمد
Eshan  Hussain,عشان حسین
Ezdan,ایزدان
Ehsan Hussain,احسان حسین
Essa,ایسا
Elaf,ایلاف
Emon,ایمون
Ehtesham,احتشام
Erhan,ایرہان
Esham,ایشام
Elzin,الزین
Eram,ارم
Ebadul,عبادول
Eyan,ایان
Ehaan,ایہان
Ezhaan,اذہان
Ehab,عطاء
Efaz,افاز
Ebran,ایبران
Eadan,ایڈن
Ebadat,عبادت
Easah,ایزاہ
Eahsan,احسان
Elish,ایلش
Ebadot,ایبادت
Ehtisham,احتشام
Elan,ایلان
Eajaz,اعجاز
Eyad,ایاد
Eiwa,ایوا
Emrah,امرہ
Edan,ایڈان
Edin,ایڈن
Ershad,ارشاد
Enamul,انمول
Ehsanullah,احسان اللہ
Eknoor,اکنور
Emaad,عماد
Erad,ایراد
Erfan,عرفان
Ehaam,ایہام
Ehad,احد
Eyman,ایمن
Efti,افتی
Elshan,ایلشان
Eshak,ایشک
Emaz,ایماز
Ezrah,عذرا
Eslam,اسلام
Ejas,اعجاز
Ezer,ایزر
Esmin,اسمین
El,ایل
Esak,ایسک
Ezatullah,عزت اللہ
Eifa,ایفا
Enaan,عنان
Ebin,ایبن
Eshad,اشد
Ellahi,الٰہی
Ezzat,عزت
Eihab,ایہاب
Elzein,ایلزین
Emamul,امامول
Efran,افران
Eqaan,ایقان
Ezzi,ایزی
Emran,عمران
Ertaza,ارتزا
Eliyas,الیاس
Eliyaz,الیاز
Edrees,ادریس
Ehzan,احسان
Emdad,عماد
Ehfaz,احسان
Ehsaan,احسان
Ehsanul,احسان ال
Enait,اینیٹ
Eblis,ایبلس
Efraz,افراز
Ehaad,احد
Esrafil,اسرافیل
Ekrem,اکرام
Eithan,ایتھن
Elnur,النور
Ekran,ایکران
Esmat,عصمت
Ekaan,ایکان
Emraan,عمران
Essak,ایسک
Evrad,ایوراڈ
Endadul,اینڈادول
Elaaf,ایلاف
Esmam,عصام
Eisah,عیسا
Ednan,ایڈنان
Eyaan,ایان
Eeshal,ایشال
Emtehan,امتحان
Eehaan,ایہان
Ezath,ایزتھ
Elhaam,الہام
Esaan,ایشان
Eijaz,اعجاز
Ebrin,ایبرین
Ermin,ایرمین
Emam,امام
Eshrath,ایشرتھ
Eitzaz,اعتزاز
Emarul,امرول
Eithen,یا تو
Esmael,اسماعیل
Edrish,ایڈریش
Emtiaz,امتیاز
Eleyas,الیاس
Efaaz,افاز
Elyasin,الیاسین
Eeda,ایدا
Eeda,ایدا
Ezaj,اعجاز
Eyhab,ایہاب
Eimen,ایمن
Eeman,ایمن
Eissa,عیسا
Ekhlaq,اخلاق
Eifad,ایفاد
Eithar,ایتھر
Enayath,عنایت
Enamullah,انعام اللہ
Emtiaj,امتیاز
Ezzatollah,عزت اللہ
Elsheikh,الشیخ
Esref,ایسریف
Eliash,الیاش
Eenam,اینام
Edmark,ایڈ مارک
Eqbal,اقبال
Erbin,ایربن
Ekerma,ایکرما۔
Ektiar,اکتیار
Eyazi,ایازی
Etesham,احتشام
Ejlaal,اجلال
Eeid,عید
Ewazi,ایوازی۔
Ebshaan,ایبشان
Ensimam,اینسیمم
Ebrahem,ابراہیم
Emtiyaj,امتیاز
Ebrahiem,ابراہیم
Etizaaz,اعتزاز
Ehtashamul,احتشام
Eliyash,الیاس
Eliass,الیاس
Eliahu,الیاہو
Emadudheen,امادودین
Eimam,ایمام
Elgizouli,ایلجیزولی
