Name in English,Name in Urdu
Umaima,امیمہ
Uzma,عظمیٰ
Urwa,عروا
Ulfat,الفت
Uswa,اسوہ
Umaira,أميرة
Urooj,عروج
Umm e kulsum,امم کلثوم
umme Hani,ام ھانی
Unaiza,عنیزہ
Umama,أمامة
Umm,ام
Umrah,عمره
Ubab,وباب
Ushna,وشنا
Um,ام
Ujala,اجالا
Umamah,امامہ
Uroosa,عروسہ
Umayma,عمیمہ
Ula,عُلا
Umayyah,أمايه
Uraisha,عریشہ
Umeed,امید
Ulya,عليا
Umaiza,عمائزا
ubaida,عبیدہ
Umaymah,عمیما
Urooba,أوروبا
Umri,عمری
Ureeda,اریدہ
Umya,امیہ
Ubah,أباه
Urveen,اروین
Umm kulthum,امم کلثوم
Urshia,عرسها
Ulfah,اُلفہ
Uhud,وهود
Ufq,افق
Umayrah,أميره
Unaysah,أنيسه
Udaysah,أديسة
Umaynah,أمينه
Ummulkhair,أملكهر
Urfi,عرفی
Umairah,عمیرہ
Umm e Aiman,ام ایمن
Umm e Haniya,ام ہانیہ
Usaimah,أسامه
Ulema,علما
Utefa,عطفہ
Umm e Farwa,ام فروا
Ulima,عُلیمہ
Utaybah,عتيبه
Usaymah,اسامہ
Umm e Rubab,ام رباب
Umm E Abeeha,ام عبیحہ
Udoola,عدولا
Umniya,أمنية
Umm kalthum,امم کلثوم
Ufaq,افق
Uhee,أهي
Umme Zainab,امہ زینب
Umm e Fatima,ام فاطمہ
Ullima,عُلیمہ
Utmah,اطمہ
Uswah,اُسوہ
Umm e Hani,ام ھانی
Ulwiyat,أولويات
Unquda,عنقود
Ummayyah,أممية
Uwaisah,عويصه
Umm e Abiha,ام ابیہا
Umm e Shifa,صحت، تندرستی
Ushba,عشبہ
Ufana,عفانہ
Ummkalthum,مقالتهم
Umm e Laila,ام لیلیٰ
Umm e Kulsoom,ام كلثوم
Urfah,عرفہ
Ushba,عشبہ
Ummkulthum,مقولتهم
Unsia,انسیہ
Umid,امید
Ulaa,علا
Ukht,اُخت
Uzmaa,ازما
Umaani,امانی
Uroofa,عروفہ
Umaamah,عمامہ
Uridah,اُریدہ
Unsar,عنصر
Uros,عرس
Umnaa,امنہ
Ulkah,الکہ
Usswah,اسوہ
Uzmanaa,ازمنہ
Ujlah,عجلہ
Ulyaa,علیا
Ulzah,علضہ
Umiaa,امیہ
Umhaani,اُمہانی
Urzah,عرضہ
Umniyah,امیہ
Urze,عرض
Umulnajoom,ام النجوم
Unzila,انزیلہ
Umandah,امندہ
Umme,امّے۔
Ultaah,علطہ
Umraanah,عمرانہ
Unaisa,انیسہ
Umera,عمیرہ
Ubaira,عبیرہ
Umaisha,عمائشہ
Uzaima,عزیمہ
Ummul,امول
Urbi,اربی
Uzra,عذرا
Unaizah,عنیزہ
Umi,امّی۔
Ubaab,عباب
Umaisa,عمیسہ
Ummu,امّو
Ubaitha,یوبیتھا
Uzaina,عزینہ
Unaisha,عنائیشہ
Unnisa,انیسہ
Unaisah,انیسہ
Ufairah,عفیرہ
Uroosha,عروشہ
Unisa,یونیسا
Urusha,عروشا
Unsha,انشا
Umaema,عمائمہ
Umesa,اُمیسا
Urfia,عرفیہ
Ujma,عظمیٰ
Ulfa,الفا
Uzza,عزہ
Uzaibah,عزیبہ
Umeza,عمیزا
Ursila,ارسیلا
Umah,امہ
Ummah,امت
Umaida,عمائدہ
Umaiba,امیبہ
Urfeena,عرفینہ
Umayna,عمائنہ
Uzaizah,عزیزہ
Umaizah,عمائیزہ
Urub,اروب
Umira,عمیرہ
Urusa,یوروسا
Uzmah,عظمیٰ
Ummia,امیہ
Uzifa,عزیفا
Uffra,افرا
Umaia,امیہ
Ummulvara,امولوارہ
Uzama,عزامہ
Uwaysah,اویسہ
Uzala,ازالہ
Ummid,امید
Usraat,عشرت
Umrana,عمرانہ
Usmaa,اسماء
Uzeena,عزینا
Umnia,امنیا
Umeera,عمیرہ
Uraifah,عریفہ
Umaija,عمائجہ
Ugay,اوگے
Ujama,عجما۔
Utaiqah,عتیقہ
Ulayyah,عالیہ
Umaiyah,امیہ
Ushama,اُسامہ
Umehra,عمیرہ
Ulfiya,الفیہ
Ufrish,افریش
Ulama,علماء
Umerah,عمیرہ
Uhaidah,احیدہ
Ummamah,امامہ
Umaiyyah,امیہ
Umulikhair,امولیخیر
