Name in English,Name in Urdu
Tanisha,تانیشہ
Tania,تانیہ
Tanveer,تنویر
Tasnim,تسنیم
Tuba,طُوبہ
Tabeer,تعبیر
Tamanna,تمنا
Tahreem,تحریم
Tayyaba,طیبہ
Tanzila,تنزیلہ
Tabassum,تبسم
Taiba,طیبہ
Tahsin,تحسین
Tarannum,ترنم
Tasmia,تسمية
Tooba,طوبیٰ
Tehreem,تحريم
Tahira,طاہرہ
Tahseen,تحسین
Taqwa,تقوى
Taslima,تسلیمہ
Tehzeeb,تہذیب
Tina,ٹینا
Tahmina,تحمينا
Taira,طائرہ
Taskin,تسکین
Tehmina,تہمینہ
Tuti,طُتی
Taskeen,تسکین
Tia,تییہ
Tara,تارا
Tohfa,تحفہ
Talia,طالعہ
Tayyiba,طيبة
Tanaz,طناز
Tasawar,تصور
Tahiya,تحية
Taif,طيف
Tahani,تهاني
Tasmiyah,تسميه
Tabinda,تابندہ
Tali,تالي
Tarana,ترانہ
Tahiyat,تحية
Tazeen,تزین
Tabia,تابعہ
Thana',تھانع
Tasneem,تسنیم
Tazkia,تزكية
Touran,تُرن
Teena,ٹینا
Taila,طائلہ
Tareen,ترین
Taba,طابہ
Tabitha,تابیثہ
Tazmeen,تظمن
Tala,تالا
Tannaz,تناز
Tazim,تزعم
Tair,طائر
Teen,ٹینا
Tahora,طہورہ
Touba,طُوبہ
Tamara,تمارا
Tasleem,تسلیم
Talat,طلعت
Tamkeen,تمکین
Taina,طاہنہ
Tahzib,تہزیب
Taslim,تَسليم
Tamin,تامین
Tabina,تابینہ
Tain,طین
Tabiba,طبیبہ
Tashfa,تاشفہ
Tarab,طرب
Turfa,طرفة
Thuraya,تہرایا
Taabah,تابعه
Tabeen,تبين
Tahereh,طہارہ
Thara,تھرا
Thara',تھرا
Taima,تيما
Tafida,تفيد
Tarifa,طريفة
Taahira,طاہرا
Tahirah,طاہرہ
Taqdees,تقدیس
Taaliah,تاليه
Taaj,تاج
Tafia,طافیہ
Tabana,تبنى
Teera,طیرہ
Tarfa,طارفہ
Tayyibah,طيبه
Tabani,تابانی
Tameez,تمیز
Tanjia,طنجة
Taqiyah,تقیہ
Tahzeeb,تہزیب
Taliha,طلیعہ
Tamar,طمار
Taj,تاج
Talba,طالبہ
Thana,ثنا
Tahiyah,تانیہ
Tishna,تشنہ
Taseer,تاثیر
Taibah,طيبه
Taqiya,طاقية
Taja,تجا
Taaibah,تايبه
Taiel,طائل
Tahiyya,تحٰیا
Tasbeeh,تسبیح
Taahirah,طاهره
Takseen,تسکین
Tahniat,تهنئة
Talibah,طلیبہ
Tuhoor,طہور
Taheera,طہیرا
Tuhfa,تحفہ
Tehsheem,تہشیم
Tabian,تبیان
Taban,تاباں
Tahirih,طاہری
Tharaa,تھرا
Taadeel,تعديل
Tuqa,طوقا
Taalea,تالي
Tarub,طارُب
Tazeem,تعظیم
Tayat,طیات
Taqadus,تقدس
Tarawat,طراوت
Toosa,طوسہ
Tarsa,ترسا
Thawab,تھوب
Toulin,ٹولن
Tadia,تادیہ
Tahkeem,تحکیم
Tanvir,تنویر
Tibah,طيبه
Tubba,ٹبہ
Tadeeb,تادیب
Tasheen,تشين
Tasleema,تسليما
Tirana,تيرانا
Talaba,طلابہ
Taghrid,تغريد
Tharya,ثريا
Tehsia,تحشیہ
Tarazi,طرازی
Tikia,تکیہ
Taruh,تارُح
Tawbah,توبه
Thuwaybah,ثوایبه
Talsa,طلسہ
Taraneh,ترانۂ
Talah,تلاه
Talayeh,طلیح
Tarsheen,ترشین
Talbiyah,طلبیہ
Taz-een,تزئین
Ta'abeer,تعبیر
Taroob,طروب
Tamra,تامرہ
Tawoos,طاووس
Thurayya,ثریا
Tarba,طربہ
Thuwaibah,ثويبة
Taroba,طروبہ
Tahrim,تحریم
Tarin,ترین
Takiyah,تکیہ
Tasweeb,تصويب
Tahseenah,تحسينه
Thanaa,تھنہ
Taabesh,تابش
Toqeeh,توقیع
Tahleem,تحلم
Touca,توکا
Taabenah,طابنہ
Toqie,توقیع
Taabaani,تابانی
Tuleqa,طلیقہ
Taniya,تانیا
Taabaan,تاباں
Tosif,توصیف
Taabdaar,تابدار
Tansu,تانسو
Tabasumm,تبسم
Tareera,طریرہ
Thameenah,ثمينه
Tajmeel,تجميل
Turneem,ترنیم
Taabdaaz,تابداز
Tahrat,طحرت
Tazmin,تزمین
Taosa,طاؤسہ
Tahmineh,تحمائنہ
Taufeeq,توفیق
Tamazur,تمزر
Talwasa,تلوثا
Taheerah,طہیرہ
Tabna,طابنہ
Tai'at,تاعت
Tufaylah,تفعيله
Talalah,طلالہ
Tajweed,تجوید
Tamadhur,تمدُھر
Tabsh,تابش
Thubaytah,ثبيتة
Tamador,تماضر
Tawheeda,توحيد
Thurayyaa,ثریا
Thuraia,ثریا
Tahirah taahira,طاہرہ طاہرہ
Taliba,طالبة
Tarz,تارز
Taasees,تاسيس
Tehsen,تحصن
Tamadur,تماضر
Taalluf,تالف
Tarneem,ترنيم
Taraza,طرازہ
Thabitah,ثابته
Tanizia,تانزیا
Tasiyah,تصييح
Tameka,تمك
Thwayya,ثریا
Tumadur,تمادر
Thashin,تحشين
Tauqeer,توقیر
Tahleel,تہلیل
Taufiqa,توفيق
Tofiq,توفیق
Tarazia,طرازیہ
Tahiyyah,تحييه
Taghia,طغیہ
Tahmeed,تحمید
Tofia,توفیہ
Taieb,طعیب
Tameemah,تميمه
Talihah,طلحہ
Tayyebeh,طییبہ
Talseem,تلشیم
Tamjid,تمجید
Tariqah,طريقه
Tahoona,طاحونہ
Talbashah,تلبسهة
Taleen,تلعین
Tawfiqa,توفيق
Tharwah,ثروة
Tareefa,طريفة
Tabeedah,تعبده
Tazima,تعظيما
Taaqul,تقول
Taraab,تراب
Tabahhur,تبهر
Thoraya,ثورية
Tigni,تگنی
Tanaaz,طناز
Taqwaa,تقوا
Tabalah,تباله
Tobah,توبہ
Tamrin,تمرین
Tansif,تنصیف
Tanveen,تنوین
Thuwabah,ثوبه
Tansir,تنصیر
Tareeda,طریدہ
Teema,تیما
Tahiyahortahiyat,تاهيياهورتاهييات
Tavleen,تاولین
Thubaitah,ثباته
Thurrayya,ثورية
Tharwat,تھروت
Tabahhuj,تبهج
Tawaddud,تودد
Taufeer,توفير
Tasmeekh,تصميخ
Taufa,تحفہ
Taheraortahira,تحررتهرا
Tamanni,تمني
Tahfeez,تحفیظ
Thufailah,تحفلة
Tameemiya,تميمية
Taabin,تابین
Tofir,توفیر
Tajdeed,تجدید
Tihaam,تہام
