Name in English,Name in Urdu
Wafa,وفا
Wajiha,وجیہہ
Wareesha,وریشہ
Waniya,وانیا
Warda,وردا
Wardah,وردہ
Wasifa,واصفہ
Wadia,ودیعہ
Walia,والیہ
Wajeeha,وجیہہ
Wahida,واحدہ
Warina,وارینہ
Washma,وشما
Waheeda,وحیدہ
Wirda,وردہ
Waqia,واقيا
Widad,وِداد
Wijdan,وجدان
Wafia,وافیہ
Wish,وش
Wisaal,وصال
Wafiya,وفیا
Waliyah,وليه
Wahiba,واہبہ
Wafa',وفا
Wisam,وسام
Wasiya,واسعہ
Waiza,واعظہ
Wala,ولا
Wafaa',وفا
Warisa,وارثہ
Wasia,وصیہ
Waaliyah,واليه
Wasima,وسيما
Wajd,واجد
Wajida,واجدہ
Wasila,وسیلہ
Waqi,وکی۔
Waahibah,واحبه
Wasma,واسما
Waajida,واجدة
Waaizhah,وازهة
Wabisa,وبس
Wasna,وسنة
Wasiqa,واثقہ
Waajidah,واجده
Waahidah,واحده
Waarithah,وارثه
Waseema,وسیمہ
Wajahat,وجاہت
Wadiah,وديه
Wafiyah,وفیہ
Wifaq,وفاق
Waraqa,ورقة
Wajihah,وجیہہ
Wesqa,وثقہ
Warsan,وعرسان
Wided,ويديد
Wafeeqa,وافیقا
Waziya,وازعہ
Wafiqah,وافیقہ
Walidah,والیدہ
Waliyya,والیہ
Wagma,واجما
Wania,وانیا
Waasifah,واسفه
Waheeba Ali,وحیبہ
Waiya,واعیہ
Wasama,واسامة
Waqar,وقار
Warqa,ورقة
Wordah,وردہ
Wajee,واجي
Wahibah,واہیبہ
Wafiqa,وفقا
Wadaana,ودانا
Wahidah,وحیدہ
Wabiba,وبیبہ
Wasilla,وسيلة
Wasime,وسیم
Wahuj,وهج
Wajeeda,وجيدة
Wasim un nisa,وسیم النساﺀ
Wafiyyah,وافیہ
Wasilah,وسيله
Wasimah,وسیمہ
Wadi,وادي
Wazeera,وزيرة
Wajih,وجیہ
Wafeeqah,وفیقہ
Wafiza,وفز
Wafiyya,وفي
Wajna,وجنہ
Waahag,واہگ
Wabisah,وابعثه
Wadhaa,واذا
Waasilah,واصله
Wakeela,وكيلا
Wasifah,وسيفه
Wida,ویدا
Wasfiyah,وصفيه
Wediqa,ودیقہ
Wesama,وسامہ
Wahifa,وہیفا
Waddia,ودية
Wadeedah,وعديدة
Wedida,ودیدہ
Wijida,وجیدہ
Wurud,وورود
Waheedah,وحيده
Warqah,ورقه
Widya,ودیا
Wayna,واینا
Wahbiyah,وهبية
Wadaaat,وذات
Waya,وایہ
Weejida,وجیدا
Wrashmin,ورشمن
Wateeb,وطيب
Wahabah,وهبه
Walihah,والهة
Wakalat,وكالة
Wakee,وكي
Wasfia,وصفیہ
Wia,وعاء
Waheefa,وہیفہ
Waqida,واقدہ
Wejah,وجاح
Waseela,وسیلہ
Waheebah,وهيبه
Wakeelah,وكيله
Weeda,ویدا
Werda,وردہ
Waseefah,وسيفه
Weena,وینا
Wabal,وابال
Waqeea,واقية
Washida,واشدہ
Waseeme,وسیم
Washa,وشاء
Wishma,وشمہ
Wazia,وازعہ
Wazeerah,وزيره
Wasfiyahor,وصفيهر
Wasqa,واثقہ
Wisa,ویژہ
Wasla,وصلہ
Weera,ویرا
Waldah,ولدہ
Wira,ویرا
Waba,واباء
Widha,ودھاء
Wasta,وستا
Weeta,ویتا
Warsa,وارثہ
Waleeya,والیا
Wazir Begum,وزیر بیگم
Wadida,ودیدہ
Washad,وشاد
Wareha,وارہہ
Wisama,وسامہ
Waqad,وقاد
Wasmia,وسمیہ
Wazeer Begum,وزیر بیگم
Wabis,وبیص
Wadiqa,ودیقہ
Wafda,وافدہ
Warqana,ورقانہ
Wasaya,واسعہ
Wuyan,وویان
Warfana,ورفانہ
Wazeer Begum,وزیر بیگم
Washakh,وشاخ
Wahaja,وہاجہ
Wasba,وثبہ
Wazmal,وزمل
Wajahat Ul Nisa,وجاہت النساء
Wasim Ara,وسیم آراء
Wathiqa,واٹیکا
Wardda,وردہ
Waeeah,واعیہ
Wazila,وذیلہ
Washda,واشدہ
Wiljah,ولجہ
Washada,وشادہ
Werdet Afshan,وردت افشاں
Wasim Ul Nisa,وسیم النساء
Wadeeda,ودیدہ
Wirdah,وردہ
Washt,وشت
Warih,وارہ
Waliaa,ولیہ
Wufza,وفضہ
Werqa,ورقہ
Wasamat,وسامت
Winah,وناہ
Wazimah,وزیمہ
Wazat,وضات
Wurdah,وردہ
Waqda,واقدہ
Wariqa,وریقہ
Wijha,وجہا
Waqr Ul Nisa,وقر النساء
Waqr,وقر
Waisra,ویثرہ
Walie,ولیع
Werfana,ورفانہ
Werzana,ورزانہ
Wajiza,وجیزہ
Warudah,ورودہ
Washni,وشنی
Washaqa,وشاقہ
Waqiaa,وقیعہ
Wasiqaa,وثیقہ
Washiqa,وشیکہ
Werdia,وردیعہ
Waziha,وجیہہ
Waieza,واعظہ
Wadduha,ودوحہ
Wardha,وردہ
Waafiyah,وافیہ
Waabisah,وابیسہ
Waahida,وحیدہ
Wadha,وڈھا۔
Wadad,وداد
Wariza,واریزہ
Waddaa,وڈا
Wajda,واجدہ
Wadeeah,ودیہ
Wasiha,وصیحہ
Wadiya,واڈیا۔
Walida,ولیدہ
Wahina,تنزیمہ
Wanher,وانہر
Wirsha,ورشا
Wafika,وفیکا
Waffa,وفا
Waliya,والیہ
Walina,والینا
Wazira,وزیرہ
Waelah,وائلہ
Warida,واریدہ
Wasmi,وسیمی۔
Wajma,وجمہ
Waida,وائیڈا۔
Wazna,وازنہ
Waznah,وازنہ
Wranga,ورنگا
Waleeza,ولیزہ
Walayha,ولیحہ
Wazda,وازدہ
Wazida,وزیدہ
Wosta,ووسٹا۔
Wasfah,واصفہ
Wuraidah,وریداہ
Wajia,وجیہ
Wahdah,وحدۃ
Wawrina,واورینا
Wazeenah,وزینہ
Wadiyah,وادیہ
Wazeeha,وزیحہ
Wasiyyah,وصیہ
Wuhaibah,وحیبہ
Wafqah,وفقہ
Waneesa,ونیسا
Wazeha,وازیہ
Wajidah,واجدہ
Wajira,وجیرہ
Wajibah,واجبہ
Walah,والہ
Wiqaa,وقا
Wagiha,وگیہ
Whida,وہڈا
Wardeh,وردہ
Wasamah,وسامہ
Waleena,ولینا
Wajeezah,وجیزہ
Widaad,وداد
Wajeehah,وجیہہ
Wasmaa,وسمہ
Waleeda,ولیدہ
Wardiya,وردیہ
Widjan,وڈجن
Waheda,وحیدہ
Waqra,وقارا۔
Whalieda,والیدا
Wahbah,وہبہ
Wallada,والڈا
Wahshiyah,وحشیہ
Wasifi,واصفی۔
Widdad,وداد
Wajeedah,وجیدہ
Walladah,والدہ
Wajdia,وجدیہ
Waliyyah,والیہ
Waseelah,وسیلہ
Warqaa,ورقہ
Wardiyyah,وردیہ
Waleedah,ولیدہ
Waqqaa,ورقہ
Wajdiyya,وجدیہ
Wajahah,واجہ
Wardiyya,وردیہ
Waritha,واریٹھا
Waheedha,وحیدہ
Wajeedaa,وجیدہ
Wardahorw,وردہور
Wahbiyyah,وہبیہ
Warithah,واریتہ
