Name in English,Name in Urdu
Fatima,فاطمہ
Fiza,فزہ
Faiza,فائزہ
Fabeha,فبیہا
Farheen,فرہین
Farzana,فرزانہ
Faria,فارعہ
Farah,فرح
Fareeha,فریحہ
Firdous,فردوس
Faryal,فریال
Farhana,فرحانہ
Fauzia,فوزیہ
Falak,فلک
Farwa,فروة
Fatiha,فتحیہ
Farida,فریدہ
Fatimah,فاطمه
Filza,فلزا
Fizza,فزا
Falaq,فلق
Farishta,فرشت
Feeha,فیھا
Fahmida,فحمد
Freya,فریہ
Fatima Zahra,فاطمہ ظہرہ
Fajr,فاجر
Fahima,فہیما
Faiqa,فائقہ
Fana,فنا
Farha,فارہہ
Firdaus,فردوس
Fatima Tuz Zahra,فاطمہ ظہرہ
Full,فُل
Fazila,فضیلہ
Fari,فری
Fazilat,فضیلت
Fakhar,فخر
Farhat,فرحت
Fatma,فاطمہ
Faza,فازا
Fatema,فاتيما
Feroza,فیروزہ
Farnaz,فرناز
Faika,فائقا
Farrukh,فرخ
Fara,فارا
Fasiha,فصیحہ
Farzan,فرزان
Fadwa,فدوا
Fila,فیلا
Fadia,فادیہ
Faaizah,فايزه
Fariza,فريزا
Falisha,فالعيش
Farzaana,فرزانہ
Fitrat,فطرت
Filiz,فلز
Fayza,فايزا
Fakira,فاکرہ
Faatima,فاطمہ
Faizah,فائزہ
Farwah,فرواه
Fania,فانیا
Flora,فلورا
Fakiha,فاکہہ
Faiha,فيها
Farhan,فرحان
Farzeen,فرز
Fariba,فریبہ
Fareeda,فریدہ
Farhad,فرهاد
Fawzia,فوزية
Fatin,فاتن
Farkhanda,فرخندہ
Funda,فنڈا
Furat,فرت
Fatima Batool,فاطمہ بتول
Fairuz,فیروز
Fakhra,فاخرا
Feza,فضہ
Fadila,فضيلة
Fakhta,فاختا
Faariah,فاره
Faakihah,فاكهه
Faakhira,فاخرہ
Farihah,فریحا
Faliha,فعليها
Fariah,فريح
Faaghira,فاغھرا
Faida,فائدہ
Fizzah,فضا
Fairoz,فيروز
Fatika,فاتکہ
Faqiha,فقيها
Feeza,فضا
Fari'ah,فاریعہ
Fadiya,فدیا
Fabiha,فبیہا
Fatuma,فاطمہ
Farhaana,فرحانہ
Fatemeh,فاطمہ
Fatah,فاتح
Fayda,فائدہ
Fayha,فيها
Fellah,فیلاہ
Falina,فالعين
Fathiyah,فاتحیہ
Foram,فورام
Fasla,فاصلہ
Faten,فاتن
Firyal,فریال
Fee'iza,فیعضا
Faheema,فهيمة
Fakhira,فاخرہ
Feet'in,فتعین
Faarihah,فارهة
Firdousi,فردوسی
Forouzan,فیروزن
Fehmeeda,فہمیدہ
Faatin,فاتین
Farrah,فرحا
Ferwa,فروہ
Farrin,پھریں
Farahnaz,فرحناز
Fadilah,فدہیلہ
Femida,فمضى
Fatina,فاطنہ
Fannan,فنا
Fatira,فاطرہ
Fanan,فنان
Fazeen,فزين
Faatihah,فاتحه
Fairoza,فیروزہ
Fasia,فاصیا
Firdaws,فردوس
Fatihah,فاتحہ
Fateeha,فتیحہ
Fisa,فضا
Faridah,فریدہ
Fanila,فانیلہ
Fereshteh,فریشتہ
Falaknaz,فالقناز
Forough,فوروغ
Ferheen,فرحین
Faqihah,فقیہہ
Faerie,فیری
Fratema,فراتما
Fainan,فینن
Fiddah,فددہ
Farakh,فراخ
Farani,فارانی
Faraal,فاريل
Fojan,فوجن
Farhin,فرحین
Fahimah,فہیمہ
Fatinah,فاتینہ
Faeezah,فايزه
Farideh,فریدہ
Funoon,فنون
Faidah,فائدہ
Farangis,فرانگس
Faheemah,فہیمہ
Fataha,فتاحہ
Fatimi,فاطمی
Fayruz,فیروز
Fasiya,فاسي
Farazeen,فرازین
Fairuza,فیروزہ
Fudayl,فوديل
Farhanah,فرحانہ
Fareedah,فریدہ
Fawziya,فوزیہ
Farea,فري
Fathiya,فتحية
Farhi,فارهي
Fit'in,فتن
Firdoos,فردوس
Fariqa,فارقہ
Faakirah,فاكره
Firdevs,فيرديفس
Farzaneh,فرزانہ
Fraa,فرع
Foziah,فوزيه
Fidda,فيضة
Faranak,فرانک
Faaiqah,فائقہ
Feray,فیرے
Fuada,فوضى
Faazila,فظل
Fayona,فينا
Fukayna,فکینا
Fae'iqa,فاعئقا
Fazarat,فزارت
Fadhila,فضيلة
Faakher,فاخر
Faghira,فغیرا
Faakeh,فاکہہ
Fa'izah,فائزہ
Faatina,فاتینا
Fahdah,فهده
Faakhtah,فاختہ
Firouzeh,فیروزہ
Fatima Rida,فاطمہ ردا۔
Fauqia,فوقیہ
Fakhriyya,فخیریہ
Fahmee'b,فہمہب
Falahat,فلاحة
Farkhande,فرخندے
Frasat,فراست
Faih,فیہ
Fatima Minha,فاطمہ منہا
Fadheela,فدھیلا
Fikkir,فکر
Fakeehah,فقيهة
Faatinah,فتنه
Farizah,فرزه
Feerozah,فيروزة
Forouzandeh,فیروزندہ
Fozia,فوزیہ
Fouziah,فوزيه
Fahmi'b,فہمیعب
Ferhana,فرہانہ
Fikriyah,فكريه
Fatima Jannat,فاطمہ جنت
Frayashti,فریاشتی
Fairuzah,فيروزة
Fahhama,فهما
Faghir,فاغر
Fatim,فاتيم
Fouzia,فوزیہ
Fareefta,فعرفت
Fatat,فتت
Fozhan,فوزھن
Fadiyah,فاضيه
Furaiah,فوريه
Fakhira,فاغرہ
Falak Naz,فلک ناز
Fahminda,فہمندہ
Furhat,فُرہت
Fazrah,فزراﺀ
Fawziyyah,فوزیہ
Fadyaa,فاديا
Farkhondeh,فرخوندۂ
Feeidha,فیدھا
Faqirah,فقيره
Fairooza,فيروزة
Farkhana,فرخانہ
Fakhriya,فخرية
Farzand,فرزند
Fravardin,فروردین
Falihah,فالحه
Fawza,فوزى
Fikriyyah,فكريه
Fawz,فوز
Fatima Hira,فاطمہ حرا۔
Franak,فرانک
Fadheeler,فدھیلر
Far'ah,فرحا
Futun,فوتون
Faseehah,فصيحه
Fazzilet,فظلت
Fahemah,فاهمه
Frasasti,فراسستی
Fusaila,فصيلة
Furayah,فوريه
Fahhaamat,فهمت
Faija,فائجہ
Faseaha,فسہا
Feroazia,فرازیہ
Fadhiler,فدہلر
Fiza Batool,فضا بتول
Fainata,فیتانہ
Firasah,فرصه
Falaki,فلكي
Feiyaz,فيز
Fateenah,فاتنه
Fawha,فوهة
Fareess,فارس
Farza'a,فرزعہ
Farjmand,فرجمند
Fuseelah,فصيله
Fatima Zainab,فاطمہ زینب
Fathiyya,فتحية
Fawzy,فوزي
Falakara,فالكرة
Fayrooz,فيروز
Fidyah,فدیہ
Fattana,فتنة
Filzah,فلذہ
Famia,فامیا
Firdowsa,فردوس
Fusaylah,فصيله
Fawziyah,فوزيه
Fawzah,فوزه
Fakeeaha,فقيها
