Name in English,Name in Urdu
Qasim,قاسم
Qais,قیس
Qureshi,قریشی
Qaiser,قیصر
Qalandar,قلندر
Qamar,قمر
Qaisar,قیصر
Qutub,قُطب
Qahar,قہار
Qurban,قربان
Qadir,قادر
Qazi,قاضی
Qasid,قاصد
Qadeer,قدیر
Qari,قاری
Quaid,قائد
Qudrat,قدرت
Qamber,قنبر
Qasir,قاصر
Qays,قیس
Qusay,قوصے
Qarar,قرار
Qulzam,قلزم
Qaim,قائم
Qavi,قوی
Qarib,قارب
Qatadah,قتادہ
Qayam,قیام
Qabil,قابل
Qaabil,قابل
Qabeel,قبیل
Qasar,قصار
Qateel,قتیل
Qaseem,قاثم
Qismat,قسمت
Qadim,قدیم
Qaadhee,قدیح
Qazafi,قذافی
Qahir,قاہر
Qamrosh,قمروش
Qanat,قانت
Qurbaan,قُربان
Qaahir,قاہر
Qa'an,قاآن
Qudamah,قّدامہ
Qadeem,قدیم
Qani',قانی
Qayyoom,قیوم
Qader,قدر
Qutab,قطب
Qasib,قاصب
Qazalbash,قزلباش
Qane,قانع
Qaa'im,قائم
Qa'id,قاعد
Qanait,قناعت
Qabad,قباد
Qalas,قلاص
Qaa'id,قائد
Qudas,قدس
Qa'im,قائم
Qamran,قمران
Qayyam,قیم
Qadhi,قادہی
Qaraar,قرار
Qasiem,قسیم
Qaani',قانی
Qaa-af,قاعف
Quddoos,قدوس
Qadees,قدیس
Qudasi,قدسی
Qayyum,قیوم
Qadri,قادری
Qaleem,قلیم
Qutb,قُطب
Qaadir,قادر
Qutaybah,قطابہ
Qihael,قہیل
Qalb,قلب
Qasi,قاصی
Qaabel,قابل
Qaadam,قادم
Qaabez,قابض
Qachar,قاچار
Qershi,قرشی
Qashm,قشم
Qaades,قادس
Qahi,قاہی
Qabos,قابوس
Qatin,قاطن
Quddus,قدوس
Qisqas,فسقاس
Qeehael,قاہیل
Qadirin,قادرین
Qandeel,قندیل
Qaree,قاری
Qssim,قسِم
Qamqam,قمقام
Qameen,قمین
Qosain,قوسین
Qatalaq,قتلق
Qatmeer,قطمیر
Qasim Ali,قاسم علی
Quwwat,قوت
Qaboos,قابوس
Qudoos,قدوس
Qaid,قاعد
Qarni,قرنی
Qudoosi,قدوسی
Qausi,قوسی
Qalib,قلیب
Qajeer,قدیر
Qartas,قرطاس
Qurba,قربیٰ
Qadr,قدر
Qaroon,قارون
Qaeed,قعید
Qareeb,قریب
Qudsi,قدسی
Qaba,قعبہ
Qaher,قاہر
Qudratullah,قدرت اللہ
Quds,قدس
Qeemat,قیمت
Qamis,قمیس
Qarshi,قرشی
Qidaaf,قداف
Qaran,قرن
Qawi,قوی
Qeem,قیم
Qidwah,قدوہ
Qaaz,قاز
Qamoos,قاموس
Qirwah,قروہ
Qaan,کان
Qiradul,قرادل
Qaaid,قائد
Qaaim,قائم
Qasim Mehdi,قاسم مہدی
Qirmiz,قرمز
Qenaat,قینات
Qajar,قاجار
Qaseer,قصیر
Qadha,قدح
Qasim Hussain,قاسم حسین
Qallas,قلاس
Qimaaz,قیماز
Qeharmaan,قہرمان
Qadam,قدام
Qamreen,قمرین
Qishun,قشون
Qaseeb,قصیب
Qazzafi,قزافی
Qurat,قرۃ
Qaalib,قالب
Qaifaal,قیفال
Qidoom,قدوم
Qatan,قطن
Qaafiz,قافز
Quresh,قریش
Qayaas,قیاس
Qaahi,قاہی
Qaafay,قافع
Qosum,قثم
Qizaz,قزاز
Qaafat,قافت
Qaari,قاری
Qaanis,قانص
Qatif,قطیف
Qanit,قانت
Qaamoos,قاموس
Qaasim,قاسم
Qasim Ahmed,قاسم احمد
Qayaam,قیام
Qaaref,قارف
Qayem,قیم
Qalab,قلب
Qaareb,قارب
Qaaney,قانع
Qaarat,قارت
Qasham,قشم
Qura-Tul-Ain,قرۃ العین
Qaani,قانی
Qaasif,قاصف
Qurb,قرب
Qaanat,قانت
Qaas,قاص
Quwat,قوت
Qayum,قیوم
Qaasid,قاصد
Qamees,قمیس
Qazeeb,قضیب
Qseem,قسیم
Qosi,قوسی
Qamin,قیمن
Qadah,قدح
Qaaser,قاصر
Qaim-ul-Mazaj,قائم المزاج
Qaleech,قلیچ
Qanoo,قنوع
Qaraam,قرام
Qalub,قلوب
Qawim,قویم
Qatim,قطم
Qaasi,قاصی
Qaeim,قائم
Qalich,قلیچ
Qalzum,قلزم
Qajif,قاجف
Qatir,قاطر
Qasamat,قسامت
Qadaaf,قداف
Qantar,قنطر
Qahri,قہری
Qadwa,قدوہ
Qasqaas,قسقاس
Qaneet,قانیت
Qadaam,قدام
Qadriyah,قدریہ
Qahaar,قہار
Qanbaat,قنبات
Qanber,قنبر
Qabaas,قباس
Qassamat,قسامت
Qaleeb,قلیب
Qurah,قراح
Qamrin,قمرین
Qabaad,قباد
Qani,قانی
Qaseel,قصیل
Qalander,قلندر
Qaraab,قراب
Qasaar,قصار
Qasees,قسیس
Qaazib,قاضب
Quldar,قلدر
Qamraosh,قمروش
Qadaar,قدار
Qazel,قزل
Qashim,قشم
Qashlaq,قشلاق
Qazaara,قضارا
Qatlaq,قتلق
Qasaam,قسام
Qashlaaq,قشلاق
Qamqaam,قمقام
Qandila,قندیلا
Qaryah,قریحہ
Qamer,قمر
Qaatin,قاطن
Qulqaan,قلقان
Qaatan,قاتن
Qahif,قاحف
Qairmaan,قیرمان
Qadrin,قادرین
Qareeah,قاریعہ
Qadoor,قدور
Qashqa,قشقہ
Qaatay,قاطع
Qazha,قزح
Qaasab,قاصب
Qaazi,قاضی
Qanur,قنور
Qatadeh,قتادہ
Qarbaan,قربان
Qaffaal,قفال
Qurbaani,قربانی
Qaashim,قاشم
Qayafah,قیافہ
Qudret,قدرت
Qaren,قارن
Qadram,قدرام
Qazaque,قزاق
Qasoorah,قسورہ
Qarhaan,قرحان
Qazaab,قضاب
Qachaar,قاچار
Qazaafi,قذافی
Qashoon,قشون
Qasool,قثول
Quladz,قلادز
Qazlbash,قزلباش
Qunbel,قنبل
Qarbas,قربص
Qarmaz,قرمز
Qallaass,قلاص
Qaaf,قاف
Qa,ق
Qaabeel,قابیل
Qaabis,قابیس
Qutubuddin,قطب الدین
Qaailah,قائلہ
Qaadireen,قادرین
Quan,کوان
Qusai,قصائی
Qaswar,قصوار
Qaadiroon,قادرون
Qaaimoon,قایمون
Qayamuddin,قیام الدین
Qamari,قمری
Qamari,قمری
Quwa,قوا ۔
Qutbuddin,قطب الدین
Qadirun,قادرون
Quazi,قاضی
Qairo,قایرو
Qiran,قرن
Qaishan,قیشان
Qamaruddin,قمرالدین
Qassam,قاسم
Quraishi,قریشی
Qaaniteen,قانیتین
Quaize,کوئز
Qasam,قسام
Quadir,قادر
Qazim,کاظم
Qizar,قیزر
Qaimun,کیمون
Qanitin,قناطین
Qamruddin,قمر الدین
Qirni,قرنی
Qiraan,قران
Quaiser,کوئزر
Qabus,قابوس
Qayoom,قیوم
Qasimi,قاسمی
Qawamun,قوامون
Qayyim,قیوم
Qabis,قبیس
Qimat,قمیت
Qabas,قباس
Qutaibah,قطیبہ
Qirtas,قرطاس
Qasif,قاصف
Qadi,قادی
Qaanay,قانای
Qadimi,قادری
Qasit,قصیت
Qarezni,قاریزنی
Qutbah,قطبہ
Qabir,قبیر
Qabiz,قبیز
Quraysh,قریش
Qaanit,قاانیت
Qurram,قرم
Quaisar,قیصر
Qasimuddin,قاسم الدین
Qablan,قابلان
Qutbullah,قطب اللہ
Qadoom,قدوم
Qaaniah,قانیہ
Qadiman,قادیمان
Qiyaam,قیام
Qudwah,قدوہ
Qaddar,قدر
Qasem,قاسم
Qussai,قصائی
Qiwam,کیوام
Qamrun,قمرون
Qasheeb,قصیب
Qairuddin,قیرالدین
Qamarullah,قمر اللہ
Qarrar,قرار
Qawamin,قوامین
Qiblah,قبلہ
Qayim,قائم
Qaiyoum,قیوم
Qulaib,قلیب
Qassim,قاسم
Qabbaab,قباب
Qumr,قمر
Qasidul,قاصدول
Qaswari,قصواری۔
Qatii,قتی
Quaseem,قاسم
Qawiyy,قوی
Qamrani,قمرانی
Qasmun,قاسمون
Qadamu,قدامو
Qirath,قیراط
Qawwaameen,قوامین
Qanitun,قنیتون
Qassab,قصاب
Qadiel,قادیل
Qudair,قدیر
Qiwaam,قوام
Qamarurrahman,قمرالرحمن
Qudaiman,قدیمان
Qaddur,قدور
Qaanitoon,قانیتون
Qiwamuddin,قیام الدین
Qateef,قطیف
Qurshid,قریشی
Qaweei,قویٰ
Qaseet,قصیت
Qataadah,قتادہ
Qataawah,قتاوہ
Qamarussalam,قمرالسلام
Qatawah,قتاوہ
