Name in English,Name in Urdu
Bilal,بلال
Burhan,برہان
Babu,بابو
Balaj,بالاج
Babul,بابُل
Bin,بن
Burak,برق
Bismil,بسمل
Basit,باسط
Badshah,بادشاہ
Babi,بابی
Baba,بابا
Bashar,بشر
Bayazid,بايزيد
Baabar,بابر
Baber,بابر
Binyamin,بنيامين
Bashir,بشیر
Basil,باسل
Buraq,بُراق
Bilawel,بلاول
Basharat,بشارت
Baris,بارس
Badi,بادی
Bari,باری
Behram,بہرم
Bader,بدر
Basir,بصیر
Baki,بکی
Basel,بسل
Behzad,بہزاد
Burj,برج
Billal,بالليل
Basim,باسم
Balam,بالم
Bijan,بیجن
Banna,بنّا
Badri,بدری
Behrouz,بہروز
Bahadur,بہادر
Bazil,باذل
Bani,بنی
Barakah,براکہ
Burhanuddin,بُرحان الدین
Baseer,بصیر
Basar,بسعر
Bai,بای
Baig,بیگ
Bihar,بیہار
Barir,بارير
Baqir,باقر
Basheer,بشیر
Bahram,بہرام
Baran,باران
Behroz,بہروز
Balak,بلک
Baid,بايد
Bassam,بسّم
Baani,بانی
Baaz,باز
Bahlol,بہلول
Barakat,برکات
Badir,بادیر
Bura,بُرا
Baahir,باہر
Bal,بل
Baram,بیرم
Borna,بُرنا
Bakri,بكري
Bukhari,بوخاري
Baljeet,بلجیت
Barak,بارک
Behlol,بحلول
Batal,بَتل
Badr,بدر
Bamsi,بمسی
Barna,برنا
Bakir,بکیر
Badrudduja,بدردجا
Balian,بالیان
Bakr,بکر
Barq,برق
Bedar,بیدار
Bakhtiyar,بختیار
Bilaal,بلال
Bakhsh,بخش
Borak,بُراک
Bashi,باشی
Baahi,باهي
Badiuzzaman,بدی الزمان
Berni,برنی
Bazan,باذن
Bahaa,بہاء
Basirat,بصیرت
Baasim,باصم
Bachar,بچر
Buti,بُتی
Bus'a,بسع
Bahjat,بہجت
Badr E Alam,بدرعالم
Basam,بسام
Buruj,بُرج
Bakhtiar,بختیار
Baher,باہِر
Baha,بہا
Basrah,بصره
Bisharat,بیشارت
Baadir,بادر
Buland,بولاند
Banga,بنگا
Barni,بارني
Baaligh,بالغ
Baqi,باقی
Bag,بیگ
Bahauddin,بحضن
Baadiyah,باديه
Bostan,بستان
Bekir,بیکر
Baraq,براق
Barkatullah,بركاتلله
Babrak,بابراك
Behr,بيهر
Barz,برز
Bakhoor,بخور
Baraat,برات
Bata,باٹا
Burhaan,بُرحان
Behraam,بہرام
Babak,بابک
Badee,بدیع
Batin,باتن
Barjees,برجیس
Bahir,باہر
Baseerat,بصیرت
Barkat,برکات
Bahoo,باہو
Balban,بلبن
Baryal,باريال
Birrah,بيره
Bu yahya,ابُو یحییٰ
Buhairah,بُہیرہ
Bayan,بايان
Birjis,برجیس
Bahzar,باھزر
Batish,باطش
Bayar,بیار
Behnam,بہم
Bardia,بردیہ
Badrud Duja,بدرد دوجا
Bustan,بستان
Bareed,برید
Bariq,باريق
Bikr,بِکر
Badran,بدران
Bazlur Rahman,بزلور رحمن
Baghel,باغیل
Budur,بُودر
Bilawal,بلاول
Beram,بيرام
Baidar,بيدر
Badru,بدرُو
Balach,بالاچ
Bak,بک
Balagh,بالاغ
Bahr,بحر
Beg,بیگ
Baqa,باقة
Bab,باب
Birjees,برجیس
Berkan,برقان
Badi Al Zaman,بدی ال زمان
Bakur,باکُر
Baraj,بارج
Bakkah,بکہ
Balhara,بلہارا
Bahij,بہاج
BUzurg,بزرگ
Bahera,بہیرہ
Baqil,باقل
Bahman,بہمن
Bachram,بہرام
Basem,بسیم
Bahador,بہادر
Baariq,بارق
Babik,بابك
Bahim,باہیم
Baaqir.-baqeer,باقر
Bazam,بازام
Bashari,بشاری
Bakht Rawan,بخت رواں
Badoo,بدو
Bajwa,باجوہ
Bakhtawer,بختاور
Bishr,بیشر
Bareeq,بريق
Bahis,باہس
Bakhtar,باختر
Badiul Alam,بدول عالم
Basman,بسمان
Bhutto,بھٹو
Bobak,بُبک
Baseem,بسیم
Barahim,باراہیم
Badeen,بدین
Badeel,بدیل
Baligh,بلیغ
Bahadir,بہادر
Baaqir. Baqeer,باقیر
Behrang,بہرنگ
Bahur,باہُر
Banka,بانکا
Batik,بطق
Babar Azam,بابر اعظم
Babar,بابر
Bakkar,بكار
Bechir,بیچیر
Budail,بديل
Baleegh,بلیغ
Bazir,بازير
Basha,باشا
Basiq,باسق
Bakurah,باکورہ
Bizhan,بیزہن
Bud'at,بدعات
Butrus,بطسر
Baqat,بقت
Behlole,بہلول
Bulus,بولس
Bakhat,بخت
Baljat,بلجت
Bulleh Shah,بلھے شاہ
Baheen,بهين
Badiy,بادی
Barij,باریج
Bergis,برجیس
Bashirat,بشیرت
Bashaar,بشر
Ba's,باعس
Buhaan,بُہان
Bashash,باشاش
Balay,بالاي
Bu'Ras,بُعرس
Boutros,بطرس
Badrudeen,بدرُدین
Buqrat,بقرة
Bassem,بصم
Burzin,بُرزین
Bachra,بچرا
Badraqa,بدرقہ
Bakor,بکُر
Boulus,بولس
Baht,بحت
Bairoz,بیروز
Basas,بصاص
Botros,بطرس
Bazish,بازيش
Brahin,براهين
Basat,بساط
Bahiran,بہران
Bukrat,بُکرات
Buz,بُز
Barbat,بربت
Basair,باصیر
Bakraj,بکراج
Bakhur,بخُور
Basaam,بصم
Babr,بابر
Bundar,بندر
Badar,بدر
Bashshar,بششر
Bassem,بصم
Bairbel,بیربل
Bamdad,بامداد
Badrudin,بدرُوالدین
Bagdat,بگدت
Bandak,بندک
Barqi,برقی
Bajul,بجُل
Bakhtiaar,بختاوِر
Buluj,بُلوج
Bakht rasa,بخت رسا
Buham,بُہم
Badr-aldin,بدر الدین
Bobac,بُبک
Bhsir,باصر
Bujair,بجير
Bujra,بجرا
Bazaet,بضاعت
Babgha,بابغہ
Bazl,بازل
Buhsum,بُھصم
Baree,بري
Bahrawar,بحرور
Badeeh,باديه
Busharat,بُشارت
Baihas,بئہاس
Busrat,بُصرت
Bajala,بعجلة
Buurab,بُرراب
Bouzid,بوزيد
Bahiyat,باھیت
Barakatullah,بركاتلله
Bedaruddin,بدردن
Buhur,بُہر
Butras,بُطرص
Bahuj,باہُوج
Baresham,برشام
Bozorgmehr,بوزورگمحر
Baleel,بليل
Barakaat,براقات
Basaood,باسعود
Bushur,بُشر
Bahgat,بہغت
Bahhas,بہاس
Biyan,بیان
Buzat,بُذت
Berezat,بیرزت
Bamba,بمبا
Bajih,بجیح
Balj,بلج
Buq'at,بُقعت
Barraq,برق
Batshah,باتشہ
Babal,بابل
Bahlawan,بهلوان
Bamik,بمک
Bayhas,بيحس
Banda,بندہ
Barhamat,برحامت
Bahmat,بہمت
Bahaadur,بہادر
Baghawi,بغاو
Busraq,بصرق
Busa,بسع
Barukullah,بارکاللہ
Barbut,بربط
Bursuq,بُرسق
Basan,بسن
Behrem,بہرام
Bararat,برارت
Budat,بدعات
Bahad,نوشروان
Buhmah,بہُمہ
Burayd,بورايد
Badialzaman,بديلزما
Beshatarna,بشترنا
Bukshi,بخشی
Bakhtaawar,بختاور
Bahz,باهز
Basher,بشر
Baghl,بغل
Bruhier,بروہیر
Barar,برار
Bekarys,بیکریز
Bahiyudeen,باہیادالدین
Badiuzzamaan,بادزما
Bahaudin,بہاؤالدین
Bahaaldin,بهالدن
Bazami,بزمی
Basharaat,بشارت
Balaq,بلاق
Bashsh,باشش
Badadargar,بددرگر
Beseet,بسیط
Bahbuh,بہبُو
Bariz,بارز
Bushr,بوشر
Bazgar,بيزغر
Bakeet,بقيت
Bahajat,باہاجت
Baig,بیگ
Budh,بدھ
Bar,بار
Bunesith,بنسیتھ
Bahiyud Din,بھید دن
Bahiyudin,باہیا الدین
Barozushem,بروزشم
Badgarjae,بدگرجایہ
Bazugh,بزُغ
Brinkar,برینکر
