Name in English,Name in Urdu
Zoya,زویا
Zara,زارہ
Zainab,زینب
Zonaira,زنیرہ
Zaira,زئرہ
Zoha,زوہا
Zeenat,زینت
Zayn,زین
Ziva,زوا
Zulema,ظلما
Zeba,زیبا
Zahra,ظہرہ
Zahra,زہرا
Zaina,ظاعنہ
Zohra,زہرہ
Zulekha,ذُلیخہ
Zubaida,زبیدہ
Ziya,ضیا
Zarina,زرینہ
Zina,زینا
Zaib un Nisa,زیب النساﺀ
Zobia,زویبا
Zayna,زینہ
Zakia,ذکیہ
Zarah,زارہ
Zaza,ززا
Zaynab,زینب
Zahida,زاہدہ
zirwa,ذروا
Zari,زاری
Zimal,زمل
Zaniah,زنیہ
Zoobia,زوبیا
Zubia,زوبیا
Zariya,زاریہ
Zaynah,زینہ
Zahira,زاہرہ
Zubeda,زبیدہ
Zulay,زولے
Zamil,ضامل
Zulfa,زلفہ
Zaiba,زیبا
Zakiya,زاکیہ
zimmal,زمال
Zaria,زریہ
Zia,ضیاء
Zarnab,زرناب
Zil-i-Huma,ظل ہما
Zafirah,زفیرہ
Zahia,ضاحیہ
Zainab Fatima,زینب فاطمہ
Zarmeena,زرمینہ
Zariah,زرہ
Zuhra,زُہرہ
Zonera,زونیرا
Zareena,زارینہ
Zama,ضامہ
Zenobia,زنوبیا
Zarqa,زرقا
Zaharah,زہرہ
Zada,ضادہ
Zaafira,زعفرا
Zuryab,زریاب
Zinat,زینت
Zairah,زائرہ
Zunaira,زنیرہ
Zeeva,زوا
Zauq,ذوق
Zurtash,زرتاش
Zamora,زمورا
Zabia,ظبیہ
Zarifa,ظریفا
Zafra,ضافرہ
Zakira,ذاکرہ
Zafeera,ظفیرہ
Zubaidah,زبیدہ
Zahirah,ظاہرہ
Zorah,زورہ
Zarafshan,زر افشاں
Zuleika,زلیکا
Zadi,زادی
Zaheera,ظہیرہ
Zabrina,زبرینہ
Zohreh,زُہرہ
Zaadi,ضادی
Zahraa',زہرا
Zoona,زونا
Zorina,زورینہ
Zilla,ظلہ
Zella,ذللا
Zia ul qamar,ضیاﺀ القمر
Zikra,ذکرا
Zumar,زمر
Zar,زر
Zalika,زالکہ
Zulima,ظلمی
Zuhr,ظہر
Zohb,ذہب
Zaib,زیب
Zaida,زئدا
Zoban,ذوبان
Zulakha,زلیخا
Zermin,زرمین
Zohra Jabeen,زہرہ جبین
Zeeshma,ضیشمہ
Zeeba,زیبا
Zabira,ذابرہ
Zoreza,ضوریزہ
Zoofashan,ضوفشاں
Zainab Noor,زینب نور
Zhane,زھنے
Zahera,ظاہرہ
Zorid,زورید
Zar Gul,زر گل
Zahrah,زہرہ
Zarba,ضاربہ
Zayda,زیدہ
Zawad,زواد
Zuab,ضیب
Zamna,ضامنہ
Zumard,زمرد
Zill,ظل
Zargona,زرگونہ
