Name in English,Name in Urdu
Haniya,ہانیہ
Hoorain,حورعین
Humaira,حميرا
Hafsa,حفصہ
Hareem,حریم
Hiba,ہبہ
Haram,حرم
Habiba,حبیبہ
Huda,ہدیٰ
Humna,حمنہ
Hania,ہنیہ
Hira,حرا
Hadiya,ہدیہ
Haya,ہایہ
Hina,حنا
Hadia,ہادیہ
Hamna,همنا
Heer,ہیر
Hoor,حور
Hayat,حیات
Hande,ہانڈے
Hiya,حیا
Heena,حنا
Halima,حلیمہ
Husna,حسنہ
Huma,ہما
Hajra,حاجرہ
Haifa,حاعفہ
Hana',حناع
Haleema,حلیمہ
Hajar,حجر
Hooriya,حوریہ
Helena,هيلينا
Haseena,حسینہ
Haadiya,ہادیہ
Hafiza,حافظہ
Hawa,حوا
Hooria,حورية
Heba,حبا
Hidayah,هديه
Hanan,حنان
Hoor-ul-ain,حور العین
Hasna',حُسنہ
Hadiqa,حدیقہ
Huraira,ہریرا
Hajira,ہاجرہ
Haima,ہائمہ
Haura,حورا۔
Hala,ہالہ
Haja,ہاجہ
Hanna,هنا
Hasiba,حسيبة
Hamida,حامدہ
Huriya,حورية
Hoda,ہودہ
Hur,حر
Hamda,حمدا
Haiqa,حائقہ
Hanifa,حنیفہ
Hijab,هيجاب
Hida,ہدا
Hibah,ہبہ
Hasanat,حسانت
Hannah,حنه
Hafsah,حفصہ
Hawwa,حوا
Horia,حرية
Horiya,حوریہ
Hamada,حمادہ
Halime,حلیمے
Hamra,حمرا
Habeeba,حبیبہ
Humairah,حميرة
Hada,حادہ
Huma',حما
Homa,حُما
Hasha,حاشا
Haala,ہالا
Husn,حُسن
Hazira,ہزیرہ
Hamnah,حمنة
Hafiz,حفیظ
Hibba,هيبة
Habab,حباب
Halia,حاليا
Hiam,ہیام
Hasal,حسال
Hadiyah,ہادیہ
Hind,ہند
Husn Ara,حسن آرا
Hana,حنا
Harisa,حارث
Hadeel,هديل
Hasin,حسین
Haqiqat,حقیقت
Hanam,ہانم
Hafida,حفيدة
Hessa,حیصا
Hilal,ہلال
Hayam,هايام
Hasana,حسنا
Hayah,حیا
Hafeeza,حفیظہ
Hakima,حکیما
Houda,هود
Hafizah,حفیظہ
Hawra,حورة
Hameeda,حمیدہ
Hamaira,حمیرا
Hawla,حول
Husan,حُسن
Hasina,حسینہ
Hayi,حیی
Hanaa',حناع
Hinda,ہندہ
Habla,ہابلہ
Hanfa,حنفى
Hajrah,حجرہ
Hikmat,حكمت
Hatifi,ہتیفی
Hamala,حمالہ
Hooda,هودا
Hasti,ہستی
Hadil,هاديل
Hafa,حافة
Hurain,حورین
Henna,هنا
Hil,ہل
Hashima,ہاشمہ
Havia,حاویہ
Hibat Allah,ہیبت الله
Hikmah,حكمه
Hanina,حنینا
Humayrah,حمیرہ
Husaini,حسینی
Hababah,حبابہ
Haboor,حبور
Hedaya,هدايا
Heema,ہیما
Habibah,حبیبہ
Hura,حرة
Hafra,حافرہ
Hadya,ہدیا
Hibbah,هيبه
Haajirah,هاجرة
Hubairah,ہبیرہ
Hagar,ہگار
Hariba,ہاربہ
Halimah,حلیمہ
Harma,حرمہ
Hadiah,هديه
Haafizah,حافظه
Halah,ہالہ
Heela,حيلة
Hunaydah,ہونیدہ
Hasifa,حصيفة
Hazia,حازیہ
Heyam,هيام
Hinna,حنا
Hadaya,هدايا
Hadiyyah,ہدایہ
Husaina,حسين
Hayfa,حیفا
Hoorab,حوریب
Haalah,حاله
Hijrah,هجرة
Haleh,ہلہ
Hajiba,حاجبہ
Habibeh,حبیبہ
Hetty,ہتتے
Harsa,حارثہ
