Name in English,Name in Urdu
Bushra,بشریٰ
Bareera,بریرہ
Batool,بتول
Bisma,بسمہ
Bibi,بی بی
Bi bi,بی بی
Benazir,بنازير
Bebe,بی بی
Bano,بانو
Beenish,بینش
Begum,بیگم
Bilqis,بلقیس
Bint,بنت
Bismillah,بسملہ
Bahar,بہار
Banu,بنی
Barkat,برکت
Betul,بتول
Bulbul,بُلبُل
Badar,بدر
Bismah,بسمہ
Bakhtawar,بختاور
Bilqees,بلقیس
Beena,بینا
Basma,باسمہ
Batul,بتول
Bakra,باکرہ
Bani,قمبر
Bayan,بايان
Bareerah,بريرة
Begani,بیگانی
Binish,بنعيش
Barkha,باركها
Bashira,بشیرہ
Bab,باب
Balqis,بلقیس
Badia,بدیہ
Baria,برية
Barirah,باريراه
Banafsha,بنفسها
Bethany,بطھانے
Bandi,باندی
Ban,بن
Bechara,بیچارا
Baano,بانو
Bahi,باہی
Badra,بادرہ
Bareen,برین
Barat,بارات
Bahia,باهيا
Bakht,بخت
Batrisyia,باتريسيا
Baraka,برکا
Bahiya,بہیہ
Barina,برینا
Bua,بوا
Babra,بابرہ
Binesh,بنش
Barzah,بارزاه
Beyza,بیزا
Bida,بیدہ
Basmah,بسمہ
Bismal,بيسمال
Barrah,بره
Bariah,بريه
Badla,بادلہ
Beriya,بریہ
Burcu,برکو
Barika,بريقا
Bahira,بھیرا
Badriya,بدریا
Buru,بُرُ
Bia,بیہ
Baiza,بيزا
Bibiana,بییبنہ
Barkah,برکہ
Beulah,بیلہ
Bita,بیتا
Banafsheh,بنفشہ
Bazgha,بازغہ
Basta,باسطہ
Basan,بسن
Bahiyah,بہیہ
Basira,بصيرة
Baska,باسقہ
Behnaz,بہناز
Basheera,بشیرا
Bilti,بلتی
Baraa'a,براعا
Baasima,باسمہ
Batoul,بتول
Bakhita,بخيتة
Burat,بُرت
Beeta,بیتا
Bazla,بازل
Beebee,بی بی
Baheera,بحیرہ
Banan,بنان
Bakhta,باختہ
Badai,بدي
Barja,برجا
Bahareh,بہاریں
Basharat,بشارت
Badah,بداح
Boa,بوا
Benesh,بینش
Badr,بدر
Bunita,بونیتا
Basima,بسيمة
Bahaar,بہار
Bahija,بهيجة
Basna,باسنا
Bayad,بیاد
Bisar,بيسار
Baraah,براه
Basirah,بسیرہ
Badil,بدل
Badriyah,بدریہ
Baligha,بلیغہ
Bashair,بشير
Baad,باد
Baseerat,بصیرت
Batula,بتولہ
Baqiya,باقیہ
Barinda,بارندہ
Badi'a,بدیعا
Bari'at,باریعت
Bakura,باكورا
Bareea,برية
Bahameen,بہامین
Bandia,بندیا
Baha,باها
Bashirah,بشیرہ
Baddur,بدور
Bahamin,بہامن
Bodh,بوده
Bolour,بولور
Bazm ara,بزم آرا
Basm,بسم
Bariqa,بارقہ
