Name in English,Name in Urdu
Owais,اویس
Osman,عثمان
Omar,عمر
Orhan,اورہان
Ozan,اوزان
Omair,عمیر
Omer,عمر
Othman,عتمان
Oguz,اوگوز
Okan,اوکان
Omari,عمری
Omran,عُمران
Omri,عمری
Ozge,اوزے
Osmar,اسمار
Onur,اونور
Omid,امید
Osama,اسامہ
Omeir,عمیر
Ossama,اسامہ
Omeed,امید
Orang,اورنگ
Olcay,اولی
Oud,عود
Otar,اوتار
Omarr,عمر
Omero,عمرو
Ommar,عُمَر
Ozanich,اوزانیچ
Osmen,عثمان
Osmanek,عثمانیک
Oktay,اوکتے
Omar Ali,عمر علی
Ouzar,عوذر
Oner,اونر
Omar Ahmed,عمر احمد
Ousaf,اوصاف
Osloob,اسلوب
Osman Ali,عثمان علی
Owais Ali,اویس علی
Ozegar,اوزگر
Omar Hussain,عمر حسین
Owais Ahmed,اویس احمد
Ozil,روئیدہ
Osman Ahmed,عثمان احمد
Osman Hussain,عثمان حسین
Owais Hussain,اویس حسین
Onemor,اونمور
Osaid,اوسید
Obaid,عبید
Obaida,عبیدہ
Obaidul,عبیدال
Obaidullah,عبید اللہ
Orin,اورین
Obama,اوباما
Ozain,اوزین
Ozair,اوزیر
Omais,اومیس
Orko,اورکو
Ozaif,اوزیف
Obez,اوبز
Obydul,اوبیدول
Onik,اونک
Obaydul,عبیدول
Oraib,اوریب
Omam,اومام
Olia,اولیا
Owaisi,اویسی
Ohad,اوہد
Omaid,عمید
Ornob,اورنوب
Owaid,اوید
Owaiz,اویز
Ossi,اوسی
Omor,اومور
Owan,اوون
Omed,اومید
Owes,واجب الادا
Owaish,اویش
Othmane,عثمانی
Oraibi,اوریبی
Onon,اونون
Ons,اونس
Owez,اوویز
Ossa,اوسسا
Otoniel,اوٹونیل
Osaf,اوساف
Orush,اورش
Orz,اورز
Ousama,اسامہ
Olfa,اولفا۔
Oheen,اوہین
Owaib,اویب
Omen,شگون
Oemar,عمیر
Omarion,عمریون
One,ایک
Owaisy,اویسی
Orjun,اورجن
Orbalaye,اوربالائے
Onsi,اونسی
Osamaa,اسامہ
Onslow,آنسلو
Osul,اوسول
Ozaafar,اوزافر
Omary,عمری
Omaijid,اوماجد
Ossamah,اسامہ
Olushola,اولوشولا
Omaran,عمراں
Ohrmazd,اوہرمزد
Ormazd,اورمازد
Oukesson,اوکیسن
