Name in English,Name in Urdu
Zayan,زیان
Zain,زین
Zeeshan,ذیشان
Zaid,زیاد
Zubair,زبیر
Zahid,زاہد
Zohaib,ذہیب
Zulfiqar,ذوالفقار
Zafar,ظفر
Zarif,ضارف
Zain-ul-aabideen,زین العابدین
Zakir,ذاکر
Zaroon,زارون
Zaman,زمان
Zaheer,ظہیر
Zohran,زہران
Zarin,زرین
Zakaria,زکریا
Zaheen,ذہین
Zamin,ضامن
Zarar,ضرار
Zia,ضیاء
Zunair,زنیر
Zaki,ذکی
Zaeem,زعیم
Ziyad,زیاد
Zavier,زیویر
Zakariya,زکریہ
Zuhaib,زہیب
Zaigham,ضیغم
Zameer,ضمیر
Zahir,ظاہر
Zuhayr,زُہیر
Zahoor,ظہور
Zohan,زوهان
Zawar,زوار
Zakwan,ذکوان
Zulkifl,زُلکفیل
Zahanat,ذہانت
Zak,ذک
Zayd,زید
Zaka,ذکاء
Zaib,زیب
Zaad,ضاد
Zabeehullah,ذبیح اﷲ
Zeke,زکی
Zafir,ظافر
Zarf,ظرف
Zaher,زاہر
Zani,ظنی
Zero,زیرو
Zill,ظل
Zaafir,ظافر
Zargham,ضرغام
Zubaid,زبید
Zaida,زائدا
Zee,ذی
Zamar,ضمار
Zareef,ظریف
Zabir,ذابر
Zabit,ضابط
Zook,ذوق
Zafeer,ظفیر
Zoraz,ضوریز
Zeroun,زیرون
Zamir,زمیر
Zaboor,ضبور
Zimran,زعمرن
Zulnoorian,ذوالنورین
Zoraiz,زوریز
Zurib,ظرب
Zulfi,زلفی
Ziyaad,زیاد
Zurain,زورین
Zaahir,ظاہر
Zuwail,زویل
Zaviyar,زاویار
Zaahid,زاہد
Zuhar,ظہر
Zujaj,زجاج
Zaam,ظام
Zehab,زہاب
Zaffar,ظفر
Zafer,ضافر
Ziar,زیار
Zil Allah,ظل اﷲ
Zeman,ضمان
Zidan,زیدان
Zameen,ضمین
Zoltan,زُلطان
Zarib,ضارب
Zulnoon,ذوالنون
Zihad,زہاد
Zal,ظال
Zikar,ذکر
Zil Yazdan,ظل یزدان
Zarrar,ضرار
Zeemal,زمال
Zahur,زاہُر
Zamaan,زماں
Zil Ellahi,ظل الہیٰ
