Name in English,Name in Urdu
Ghalib,غالب
Ghufran,غفران
Ghazi,غازی
Gulzar,گلزار
Gulfam,گلفام
Gulshan,گلشن
George,جارج
Ghulam,غلام
Gilani,گیلانی
Ghaus,غوث
Ghani,غنی
Ghadeer,غدیر
Ghazanfar,غضنفر
Gadi,گادئ
Gul,گل
Ghaffar,غفار
Ghiyasuddin,غیاس الدین
Ghali,غالی
Ghaus-i-azam,غوثِ اعظم
Ghafoor,غفور
Gohar Tab,گوہر تاب
Gill,گل
Ghayur,غیور
Ghaalib,غالب
Ghazan,غازان
Ghaith,غیتھ
Gulraiz,گلریز
Ghazal,غزال
Ghiyas,غیاث
Gadiel,گادیل
Ghous ul azam,غوث الاعظم
Ghanimat,غنیمت
Ghasiq,غاسق
Gul Ahmed,گل احمد
Guney,--
Ghayas,غیاث
Ghadi,غادی
Guda,جودا
Gabra,گبرا
Ghaib,غائب
Ghanim,غنیم
Ghairat,غیرت
Ghafir,غافر
Ghayoor,غیور
Ghassan,غسسان
Gul Mast,گل مست
Ghafran,غفران
Ghazwan,غزوان
Gufra,گفرا
Gamal,گمل
Ghifari,غفاری
Gharib,غریب
Ghayat,غایت
Gul E Rana,گل رانا
Gau,گاؤ
Gira,گیرا
Gairim,گریم
Gul Aftab,گل آفتاب
Gilead,گلید
Ghailan,غیلان
Gharra,غرّا
Gilad,گیلاد
Ghufair,غوفیر
Gul Zaman,گل زمان
Ghaazi,غازی
Gul Hasham,گل ہاشم
Gaevani,گونی
Gulbaz,گل باز
Ghanem,غانيم
Gaspard,گاسپرد
Galal,گلال
Ghadir,غادیر
Gogal,جوجال
Ghaida,غیدہ
Gulten,گلتن
Ghareeb,غريب
Garami,گرامی
Gonal,گونل
Gaspar,گسپر
Gahbed,گہبد
Ghaiz,غیض
Gran,جران
Ghaidan,غایدن
Ginton,گنٹن
Ghannam,غنم
Ghaa'ib,غعیب
Gasper,گسپر
Gul Baz,گل باز
Gatha,گتھا
Ghalman,غلمان
Gaan,گان
Ghabit,غابط
Ghaazee,غازی
Ghabashir,غابشیر
Gozeel,گوزیل
Galip,گالیپ
Givon,گون
Ghazali,غزالی
Ghasan,غَسَّان
Ghadra,غدرا
Giv,گو
Ghazir,غضیر
Ghor,غوری
Ghazar,غزار
Ghaur,غور
Gohar,گوہر
Gamali,گامالی
Goharbar,گوہربار
Gargar,گرگر
Gonash,گونیش
Gabang,گابانگ
Ghazarat,غضارت
Gul Rang,گل رنگ
Ghiman,غیمان
Gulbar,گل بار
Ghalb,غالب
Gileem,جليم
Ghurabat,غربت
Gunduz,گندوز
Ghiyath,غیات
Govad,گواد
Ghadef,غادف
Ghudaf,غداف
Gushtasp,گشتسپ
Gharan,غیران
Ghazil,غازل
Ghazif,غاضف
