Name in English,Name in Urdu
Taimoor,تیمور
Talha,طلحہ
Taha,طہٰ
Tauseef,توصیف
Tahir,طاہر
Tabassum,تبسم
Tayyab,طیب
Tariq,طارق
Tabish,تابش
Tauheed,توحید
Taufeeq,توفیق
Tasleem,تسلیم
Tawakkal,توکل
Talal,طلال
Tanzeem,تنظیم
Tameem,تمیم
Tashfeen,تاشفین
Tabraiz,تبریز
Taufiq,توفیق
Tasneem,تسنیم
Tipu,ثیپو
Talib,طالب
Tamjeed,تمجید
Tauqeer,توقیر
Toma,توما
Tanzeel,تنزیل
Tabarak,طبارک
Tufail,طفیل
Tarek,طارق
Taqi,تقی
Tafheem,تفہیم
Turab,تراب
Taabish,تابش
Talat,طلعت
Tajammul,تجّمل
Taj,تاج
Tarik,طارق
Tabin,تابین
Taher,طاہر
Tai,طائی
Tanis,تانیس
Tajwar,تاجور
Taab,طاب
Tawfiq,توفیق
Tahami,تہامی
Tamseel,تمثیل
Tazeem,تعظیم
Taban,تابان
Tarif,طارف
Tamam,تمام
Tabib,تبیب
Taham,تہام
Tawfeeq,توفیق
Tamir,تامر
Tasawwur,تصوّر
Taif,طائف
Taalib,طالب
Tabeeb,طبیب
Taraz,تارض
Takreem,تکریم
Turgut,ترگت
Tahoor,طہور
Taahir,طاہر
Tathir,تطہیر
Tashif,تاشف
Taysir,تیسر
Tamheed,تمہید
Tajdar,تاجدار
Tasadduq,تصدق
Taas,طاس
Taamir,تامیر
Taslim,تسلیم
Talish,طالش
Titu,ٹیٹو
Tanweer,تنویر
Taariq,طارق
Taish,طائش
Tareq,طارق
Tabari,طاباری
Tehsin,تحسین
Tanwir,تنویر
Tajamal,تجمل
Tarique,طارق
Tauqir,توقیر
Tasmir,تسمیر
Tauseeq,توثیق
Taimur,تیمور
Tayyar,طیار
Taieb,تائب
Tarkan,ترکان
Taweel,طویل
Tayseer,تیسر
Tajar,تجر
Tareef,تعریف
Talam,تالم
Talhah,طلحہ
Taheer,طاہیر
Taajwar,تاجور
Takmeel,تکمیل
Tasdeeq,تصدیق
Tahu,طاحُو
Tyrique,تیرقعے
Thabit,تحابط
Tasmeem,تسمیم
Tulaib,طلیب
Tabsheer,تبشیر
Tabaan,تاباں
Taseer,تاثیر
Toor,طور
Tafazzal,تفضل
Tasbil,تسبیل
Taial,طائل
Tabay,طابع
Tabiq,طابق
Tafazal,تفضل
Ta-a,طاع
Tashrif,تشریف
Tyreek,تیریک
Taatheer,تاتھیر
Touraj,تراج
Taqqi,طقی
Tahwar,تہور
Tabark,تبارک
Tarez,تارز
Tanju,تنجو
Tasawwar,تصور
Tabaarak,طبارک
Tasis,تاسیس
Tari,طاری
Thaqib,ثاقب
Tab,تب
"Ta,aan",طعان
Tafadhdhal,تفدھڈھال
Tarkhan,طر خان
"Ta,ab",طعب
Talawat,طلاوت
Tale,طالع
Tehfiz,تحفیظ
Tabaq,تباک
Taous,طاؤس
Tadeen,تادین
Tabdar,تابدار
Tafseer,تفسیر
"Taifi, Teefi",طیفی
Tarfan,ترفان
Tuncay,--
Tharwat,تہروت
Tarah,طراح
Tooraj,تراج
Taqaddas,تقدس
Tammam,تمام
Taleeq,طلیق
Thamar,تہامر
Talaq,تالق
"Ta,am",طعم
Tamman,تمن
Tayib,طیب
Taah,طہ
Tawaab,تواب
Taiem,طاعم
Tehleem,تحلیم
Thaaqib,تاقب
Taneer,تانیر
Timin,ٹِمین
Tihami,تہامی
Tapu,ٹاپو
Tasveer,تصویر
Tabist,تبسط
Terek,ترک
Taahid,تعاہد
Taseen,تحسین
Thaabit,تابت
Taseel,تاثیل
Taloot,طالوت
Thar,ٹھار
Tauqi,توقی
Taymullah,تیام اللہ
Taeeq,تائق
Tatam,تاتم
Taifa,طیفی
Tahmaseb,تہمسیب
Tahan,طحان
Tafada,طفادہ
Toba,ٹوبہ
Talab,طلاب
Tareed,طرید
Tijaser,تجاسر
Tehieer,طہیر
Thanaa',ثنا
Telab,طلاب
Tehran,طہران
Telam,تلام
Tassed,تصعید
Tareer,طریر
Talaq ul bidin,طلق البدین
Tazoo,تضوع
Tanzim,تنظیم
Tadbeer,تدبیر
Tarick,طارق
Takhul,تخل
Tanzil,تنزیل
Tamraz,تمراز
Tamima,تمیمہ
Taqweem,تقویم
Tamey,طامع
Tabb,تب
Tahmouress,تحمورسس
Tajeel,تاجیل
Touqad,توقد
Tolani,طولانی
Tereef,طریف
Tawaseem,طواسیم
Taqqee,طقی
Tejmil,تجمیل
Taharat,طہارت
Truong,ٹرونگ
Taram,طارم
Tengiz,ٹینگیز
Taraf,طارف
Taavi,تعاوی
Tarfah,ترفہ
Taifoor,طیفور
Tarafah,طرافہ
Tarfas,طرفس
Tiham,تہام
Taam,طاعم
Tait,طائط
Tansu,تانسو
Tafeef,طفیف
Tumar,طمار
Tafreed,تفرید
Tawasul,توسل
Talbida,طلبیدہ
Tifl,طفل
Tusa,طوسی
Tabak,تباک
Tilam,تلام
Tasheel,تسہیل
Tahmeen,تہمین
Taaif,طائف
Tar,تاڑ
Timal,طمل
Tamreen,تمرین
Taqvi,تقوی
Tasdeed,تسدید
Talay,طالع
Tasdiq,تصدیق
Tibaa,طباع
Tawakal,توکل
Tanzeer,تنضیر
Tayar,طیار
Taka,ٹکا
Tuah,توہ
Timar,تیمار
Tafhim,تفہیم
Taneem,تنعیم
Toheed,توحید
Taqabbal,تقبل
Taimoor Hussain,تیمور حسین
Tam,طعم
Tehmoores,تہمورس
Tamkin,تمکین
Taha Ali,طہٰ علی
Tayyab Ali,طیب علی
Tahmul,تحفیظ
Tabaeen,تباین
Tabish Ali,تابش علی
Tabseer,تبصیر
Tamkanat,تمکنت
Tanzir,تنظیر
Tanseef,تنصیف
Tahir Hussain,طاہر حسین
Takmil,تکمیل
