Name in English,Name in Urdu
Noman,نعمان
Nadeem,ندیم
Nihal,نہال
Naeem,نعیم
Nusrat,نصرت
Nabeel,نبیل
Nawaz,نواز
Nasir,ناصر
Nabi,نبی
Naveed,نوید
Noor,نور
Nishat,نشاط
Nazim,ناظم
Nahid,ناہد
Numan,نعمان
Nisar,نثار
Naim,نايم
Naaz,ناز
Nafees,نفیس
Noshad,نوشاد
Nawazish,نوازش
Niyaz,نیاز
Naseem,نسیم
Noori,نوری
Nafis,نفیس
Nur,نور
Nadir,نادر
Nizam,نظام
Nazish,نازش
Nazeer,نذیر
Nabil,نابل
Nail,نائل
Nazir,ناظر
Nazam,نظم
Nade,ناد
Najaf,نجف
Numair,نُومیر
Naqeeb,نقیب
Niaz,نیاز
Nibras,نبراس
Nawfal,نوفل
Najeeb,نجیب
Nidal,نیدل
Nabhan,بہان
Noor Muhammad,نورمحمد
Nasar,نصر
Nawab,نواب
Nazar,نذر
Naz,ناز
Nooh,نوح
Nima,نیما
Nasim,ناصم
Naseer,نصیر
Nawar,نوار
Namir,نمیر
Nahi,ناہی
Nawaf,نواف
Nazakat,نزاکت
Naqib,نقِب
Nagi,ناگی
Nuh,نُوح
Nuzhat,نُزہت
Nadim,نادم
Navid,نوید
Niazi,نیازی
Noureddine,نُورالدین
Nudrat,نُدرت
Nery,نِرے
Nadi,نادی
Nayyar,نیر
Nafia,نافع
Naseeb,نصیب
Najam,نجم
Naadir,نادر
Nariman,نریمان
Naqi,نقی
Nemat,نعمت
Nihar,نہار
Najib,ناجب
Nuri,نوری
Natiq,ناطق
Naib,نائب
Naadim,ندیم
Nusair,نُصَيْر
Nauroz,نؤرز
Naaman,نامان
Nu'Man,نعمان
Naqqash,نقاش
Nuruddin,نورالدین
Najm,نجم
Nasik,ناسک
Nader,نادر
Na'am,ناعم
Nashad,نشاد
Nahyan,نہیان
Nuris,نورس
Naser,ناثر
Nishtar,نشتر
Nouri,نوری
Na'il,نعیل
Nasser,نصیر
Najjar,نجّر
Nibal,نبل
Nashit,ناشط
Najmuddin,نجم الدین
Naa'il,ناعیل
Nafel,نافل
Nazeef,نظیف
Nason,نسون
Nasr,ناصر
Namdar,نامدار
Nusayr,مُوصیر
Nuwair,نویر
Niyaaz,نیاز
Naji,ناجی
Nijah,نجاح
Nami,نامی
Naseh,ناصح
Nabahat,نباہت
Nuriel,نوریل
Nabigha,نابغہ
Nabras,نبراس
Nafir,نافر
No'Maan,نعمان
Najid,ناجد
Nasih,ناصح
Nasah,ناصاح
Najal,ناجل
Nizal,نصال
Neval,نیوال
Nasib,ناصب
Nayif,نایف
Naayaab,نایاب
Now,ناوء
Nadhir,نادہر
Nasi',ناسع
Nafayh,نافع
Najabat,نجابت
Nashwan,نشواں
Noraiz,نوریز
Naa'ib,نائب
Nabar,نبار
Najee,نجی
Nawroz,نؤرز
Naweaz,نوایز
Naaji',ناجی
Nishaat,نشاط
Nathim,ناتھم
Nijaz,نجاز
Nabeeh,نبح
Naqqad,نقّقاد
Naazir,نازیر
Nouis,نویس
Naweed,نوید
Naazim,ناظم
Naasir,ناصر
Nur-al-din,نورالدین
Nomi,نومی
Naadi,نادی
Naeeman,نعیمان
Nasheel,نشیل
Nabeh,نبیح
Nawid,ناوید
Na'ib,ناعیب
Nakhil,ناخل
Nabih,نبح
Naji',ناجیع
Ni'mat,نعمت
Noshab,نوشاب
Nauman,نعمان
Najeed,نجید
Naaem,نائم
Nadr,نادر
Nazih,نزیح
Naabil,نابل
Nezahat,نزاہت
Noorani,نورانی
Naaber,نابر
Naabit,نابت
Naafayh,نافع
Nasif,ناصف
Naqvi,نقوی
Nair,نیر
Naajy,ناجے
Nabi-ulmalhamsh,نبی المالحمش
Nasikh,ناسخ
Nuraiz,نریز
Noorudeen,نورالدین
Noor Elahi,نور الیٰ
Naasik,ناصک
Na'im,نعیم
Namvar,نامور
Nuraz,نوراز
Nauroze,نؤرز
Nathar,نطہر
Nehar,نحر
Naqad,ناقد
Nadwat,ندوت
Nafil,نفل
Namoos,ناموس
Naam,نام
Na'eem,نعیم
Nahij,ناحج
Nazaam,ناظم
Naasi,ناصی
Nima,نیما
Nassor,نصور
Naish,ناعش
Nooruddeen,نورُالدین
Naasih,ناصیح
Nazaret,نضارت
Nadar,نادر
Nazr,نظر
Nasooh,نصوح
Najee',نجی
Neham,نحام
Nathir,ناثر
Natheer,ناطر
Niyoosha,نیوشا
Naazeer,نزیر
Nayyir,نییر
Nouman,نعمان
Nofel,نوفل
Naathim,ندیم
Naashaad,نشاد
Naasah,نصاہ
Nawaazish,نوازش
Nazeeh,نظیح
Nadbim,ندبم
Norin,نورین
Nakhshib,نخشب
Nazal,نزال
Noor Ahmed,نور احمد
Naqqi,نقی
Najy,نجے
Nad,ناد
Nezamet,نظامت
Noor Hussain,نور حسین
Naqqaash,نقاش
Numrah,نمرہ
Najmuddeen,نجم الدین
Naqqee,نقی
Najad,ناجد
Nosherwan,نوشیرواں
Noushzad,نوشزد
Niroop,نروپ
Niayesh,نیائش
Natir,ناطر
Noor Ali,نور علی
Nijat,نجات
Naqqaad,نقاد
Nafeel,نفیل
Naem,نعیم
Nassiruddin,نصیر الدین
Nawwaab,نواب
Nabid,نبید
Nameer,نمیر
Niji,نجی
Nibaar,نبار
Naheel,نہیل
Naqash,نقاش
Nawwab,نواب
Nazeem,نظیم
Niaaz,نیاز
Najashi,نجاشی
Naah,ناہ
Nabet,نابت
Nosher,نوشیر
Nassiruddeen,ناصرالدین
Nathaar,ناطہار
Nadman,ندمان
Niaazi,نیازی
Nubras,نبراس
Nibraas,نبراس
Nirwan,نروان
Nashid,نشید
Narwan,نروان
Naail,نائل
Nisar Ahmed,نثاراحمد
Nafey,نافع
Nasir Hussain,ناصر حسین
Nosha,نوشہ
Neymat,نعمت
Naveer,نویر
Naveed Ahmed,نوید احمد
Noman Ali,نعمان علی
Naahi,ناحی
Nashar,نشر
Naseef,نصیف
Nasir Ali,ناصر علی
Nosharwaan,نوشروان
Numaar,نمار
Niyabat,نیابت
Nasir Ahmed,ناصر احمد
Nazhat,نضحت
Nazir Hussain,ناظرحسین
Nashim,نشیم
Najiz,ناجز
Nafie,نفیع
Naaik,نیک
Noze,نوز
Naiyer,نیر
Najjah,نجاح
Naiem,ناعم
Nawaz Ali,نواز علی
Nadam,نادم
Nazeel,نزیل
Nizam ud din,نظام الدین
Nakhshab,نخشب
No Names,کوئی نام نہیں۔
Nakhuda,ناخدا
Naafir,نافر
Naveed Ali,نوید علی
Nusret,نصرت
Nater,ناطر
Nores,نورس
Neering,نیرنگ
Nafaa,نفاع
Nihal Ahmed,نہال احمد
Nesfet,نصفت
Noman Ahmed,نعمان احمد
Naqabat,نقابت
Nawaaz,نواز
Nizamat,نظامت
Nahaj,ناحج
Nazahat,نزاہت
Naymat,نعمت
Neelak,نیلک
Neloferi,نیلوفری
Nawaz Ahmed,نواز احمد
Nabeel Ahmed,نبیل احمد
Nabigh,نابغ
Nashib,ناشب
Nabiz,نبیذ
Naaif,نائف
Nadeem Ali,ندیم علی
Nahyaan,نہیان
Nadee,نادی
Nisar Ali,نثارعلی
Nadeem Ahmed,ندیم احمد
Naveed Hussain,نوید حسین
Nassia,ناصیہ
Nabaan,نبان
Naeem Ahmed,نعیم احمد
Naazil,نازل
Nafees Ahmed,نفیساحمد
Nafah,نافح
Nayalash,نیالش
Nihan,نیہان
Nazer,نظیر
Nasuh,نصوح
Nasi,ناسی
Natey,ناطع
Naaib,نائب
Nayaab,نایاب
Naami,نامی
Nihaad,نہاد
Nazim Ali,ناظمعلی
Nadeem Hussain,ندیم حسین
Nasay,ناصع
Namat,نمط
Nazaan,نازاں
Najeeh,نجیح
Najeez,ناجز
Naeem Hussain,نعیم حسین
Nashaad,ناشاد
Naahij,ناحج
Namood,نمود
Nazeed,نضید
Naashit,ناشط
Nasakh,نصاخ
Nadeed,ندید
Nargas,نرگس
Nizaal,نضال
Naqus,ناقوس
Naasat,ناسط
Nizafat,نظافت
Nafus,نفوس
Nisar Hussain,نثارحسین
Nafeer,نفیر
Naazid,نازید
Naeem Ali,نعیم علی
Nazim Hussain,ناظمحسین
Nayer-e-Azam,نیراعظم
Nazirat,نظیرت
Naheek,نہیک
Nihal Ali,نہال علی
Nashoor,نشور
Najrat,نجرت
Naffah,نفاح
Najjam-Ul-Saqib,نجم الثاقب
Noman Hussain,نعمان حسین
Naheeb,نہیب
Numan Ali,نعمانعلی
Nizaar,نضار
Nisaar,نثار
Nasem,نسیم
Nayel,نائل
Nazir Ahmed,ناظراحمد
Nashet,ناشط
Nor,نور
Norose,نوروز
Naba-a,نبع
Naajil,ناجل
Nahayan,نیہان
Nazim Ahmed,ناظماحمد
Naqeer,نقیر
Nahid Ali,ناہد علی
Nijabat,نجابت
Nahid Hussain,ناہد حسین
Natay,ناطع
Nawazish Ali,نوازش علی
Nazzarat,نضارت
Naweer,نویر
Nizaam,نظام
Numan Ahmed,نعماناحمد
Nasak,ناسک
Nabegha,نابغہ
Nazzer,نظر
Naqar,ناقر
Naajo,ناجو
Nihal Hussain,نہال حسین
Naqaash,نقاش
Nawaab,نواب
Nusrat Ali,نصرت علی
Numan Hussain,نعمانحسین
Nobita,نوبیتا
Nahid Ahmed,ناہد احمد
Naaim,ناعم
Nabeel Hussain,نبیل حسین
Natees,نطیس
Najeef,نجیف
Naazam,ناظم
Nafees Ali,نفیسعلی
Naaji,ناجی
Nakoi,نکوئی
Nasiq,ناسق
Nuree,نوری
Nawader,نوادر
Nawaz Hussain,نواز حسین
Nabeel Ali,نبیل علی
Nazamat,نظامت
Naazal,ناضل
Naasikh,ناسخ
Naqee,نقی
Nawaal,نوال
Nieshan,نیشان
Nahrir,نحریر
Nur-ul-Ain,نورالعین
Nazoor,نظور
Nazoor,نظور
Naseq,ناسق
Naqawat,نقاوت
Naseeh,نصیح
Naajed,ناجد
Nijaat,نجات
Naqaad,نقاد
Nisaah,نصاح
Noshad Ali,نوشادعلی
Naseeri,نصیری
Naseh-Ul-Habeeb,ناصح الحبیب
Nishter,نشتر
Nyyar,نیار
Nazzar,نضر
Nidman,ندمان
Nazir Ali,ناظرعلی
Nathaa,نتھا
Nihaas,نحاس
Nawees,نویس
Nifasat,نفاست
Nawaaf,نواف
Naaqid,ناقد
Naseb,ناصب
Nashiq,ناشق
Naffees,نفیس
Nusrat Hussain,نصرت حسین
Najey,نجیع
Noshee,نوشی
Naazish,نازش
Naase,ناسی
Nishaaj,نشاج
Naatiq,ناطق
Naais,ناعس
Nazrul,نذر
Nazaal,نزال
Najjaf,نجف
Nazesh,نازش
Nouras,نورس
Nazzir,نظیر
Nadeer,ندیر
Nabalat,نبالت
Naseeq,نسیق
Naashi,ناشی
Nahmar,نہمار
Naasar,ناصر
Nehan,نیہان
Nazzaar,نظار
Naakhil,ناخل
Nashaq,نشق
Naatir,ناطر
Nazaar,نزار
Namdad,نامداد
Nazaafat,نضافت
Nisaaj,نساج
Nateef,نطیف
Nourus,نورس
Noshad Ahmed,نوشاداحمد
Naazar,ناظر
Nadahil,نداحل
Nusrat Ahmed,نصرت احمد
Najjam,نجم
Nishat Ahmed,نشاطاحمد
Nazinda,نازندہ
Nimaal,نمال
Najjmi,نجمی
Nutaf,نطف
Nawwaq,نواق
Nijaah,نجاہ
Nazaahat,نزاہت
No Roz,نو روز
Nafaasat,نفاست
Nabalif,نبالف
