Name in English,Name in Urdu
Ayesha,عائشہ
Anabia,انابیہ
Ayat,عیات
Aaira,آئرہ
Aiza,عائزہ
Abeeha,ابیھا
Ayra,ايرا
Anam,انعم
Amyra,امیرا
Aqsa,اقصیٰ
Arya,عاریہ
Afreen,آفرین
Alisha,علیشا
Aiman,ایمن
Anita,انیتا
Arisha,عريسها
Anaya,عنایہ
Aliza,علیزہ
Alina,الينا
Arfa,ارفعہ
Areeba,أريبا
Ayaat,أيات
Arshiya,عرشي
Areesha,عریشہ
Afnan,افنان
Asma,اسماﺀ
Ana,انا
Aaima,أئمة
Amina,آمنہ
Aafiya,عافية
Anahita,انہتا
Abeera,عبیرہ
Aleeza,أليز
Ariba,اریبہ
Aliya,علیا
Aania,آنيا
Afiya,عافیہ
Aisha,عائشہ
Amal,عمل
Aleena,الینا
Amna,امنہ
Afifa,عفیفہ
Asiya,آسیہ
Alia,عالیہ
Arshi,عرشی
Arsh,عرش
Alisa,الیسا
Anum,انعم
Alishbah,علشبہ
Aabirah,عبيره
Azra,عذرا
Ariana,ارینا
Adiba,ادیبہ
Aabish,آبش
Afroz,أفرز
Arshia,عرشیہ
Alishah,علیشہ
Asma',عاصمہ
Alishba,الشبہ
Aina,اعینہ
Aabroo,عبرو
Arwa,مطمئن، خوشگوار، تازہ
Alaia,علیا
Afreen,آفرین
Amara,عمارہ
Ashraf,اشرف
Aaliyah,علیہ
Adira,ادیرا
Asra,اسراﺀ
Aabida,عابدہ
Ajwa,اجوا
Asifa,آصفہ
Abrash,ابرش
Atika,عاتکہ
Afshan,افشاں
Amelia,عملية
Afia,عافية
Adeeba,ادیبہ
Arifa,عارفہ
Aabir,عابیر
Aroush,عروش
Afsheen,افشین
Amber,امبر
Adeena,عدینہ
Arzoo,آرڑو
Areej,اریج
Anjum,انجم
Anila,انیلا
Aaila,عائلة
Alyan,اليان
Alara,الارا
Aabdar,آبدار
Ashi,عاشی
Abida,عابدہ
Amirah,امیرہ
Alesha,العشا
Ayleen,عائلین
Aalia,عالیہ
Aria,آریہ
Atifa,عاطفہ
Alifa,آلفہ
Az Zahra,از زہرا
Aakifa,اقفى
A'ira,آئرہ
Aafa,عافہ
Aida,عاہدہ
Aara,آرا
Aabidah,عبيده
Anisa,انیسہ
Aaina,انا
Asfiya,اصفیا
Aifa,عائفہ
Aabis,آبص
Abal,ابل
Aapa,آپا
Ava,اوا
Alam,عالم
Aatifa,عطيفة
Ameera,امیرہ
Ahlam,اہلم
Aila,عيلة
Alibaba,علی بابا
Aakifah,اكفه
Aleisha,علیشا
Anya,انيا
Abira,عابرہ
Afroza,افروزہ
Ambreen,عمبرین
Afra',افراع
Amama,امامہ
Afrah,افرہ
Afra,افرا
Alizay,علیزے
Alveena,ألفينا
Asmara,أسمرة
Almas,الماس
Ashna,اشنہ
Amira,عامرہ
Afsa,أفصى
Alfa,علفہ
Aaeedah,ايده
Aamira,أميرة
Aadab,ادب
Asha,عائشہ
Ahbab,احباب
Aleena,علینہ
Aadila,أدلة
Afsar,افسر
Ayesha Siddiqa,عائشہ صدیقہ
Aasmaa,اسماء
Ashira,عاشرہ
Azka,اذک
Anjuman,انجمن
Aimal,ایمل
Asjad,اسجد
Amora,عمورہ
Afza,افزہ
Ammara,أمرا
Abha,ابھا
Asia,عاسیہ
Aa'ishah,عائشہ
Afaf,عفاف
Aaidah,أيده
Aena,عینا
Anza,عنزہ
Abia,ابیا
A'baloch,آبلوچ
Aamirah,اميره
Asna,اسنا
Ameena,امینہ
Aneesa,انیسا
Aylin,آئلن
Aani Fatimah Khatoon,آنی فاطمه خاتون
Amra,عمرا
Aroosh,عروسه
Atiya,آتیہ
Amberly,عمبریلی
Aaiqa,عائقہ
Azmat,عظمت
Abra,عبرہ
Aanisah,انيسه
Aan,آن
Anal,انال
Alima,علیمہ
Anoosha,أنوش
Aala,آلا
Almirah,المیرا
Ara,آرا
Arij,عرِج
Aaleyah,عالیہ
Aniqa,عنیقہ
Asli,اسلي
Asmat,أصمت
Aneeqa,انیقہ
Arissa,عريسا
Arooba,عروبہ
Ayanna,آیاننا
Alika,عليك
Aasia,آسيا
Alya,اليا
Aarifah,عارفه
Azwa,عزوة
Ayeza,آئزہ
Aura,اورا
Aamaal,اعمال
Aziza,عزیزا
Arima,عارمہ
Anamta,انعمتا
Areena,عرینہ
Arzu,أرز
Aska,اصقہ
Anzila,انزیلہ
Aleeha,علیھا
Atiqa,عاتقہ
Abraj,ابرج
Adila,عادلہ
Amel,اميل
Anan,عنان
Arba,عربہ
Adab,اداب
Aishah,عائشہ
Aysha,عائشہ
Aram,عرم
Aima,آئمہ
Aruba,عروبا
Alea,علیہ
Ajia,اجیہ
Ayani,عیانی
Anoosh,أنوش
Anoshay,انوشے
Aman,امن
Afrida,آفریدہ
Asfa,عاصفہ
Ayah,اياه
Aliah,الياه
Afifah,عفیفہ
Ameerah,امیرہ
Adiva,عدوی
Ambar,عنبر
Aalimah,اليمه
Armin,ارمين
Aleeya,علیہ
Alma,الما
Aseel,أسيل
Aaraa,آرا
Aab Baaz,آب باز
Arah,عرہ
Aamilah,اميله
Araj,عرج
Amani,امینہ
Aneeza,انیسہ
Atia,عطیہ
Adeela,عدیلہ
Alam ara,عالم آراﺀ
Asrar,اسرار
Aasira,أسيرة
Ari,ایری
Areebah,اریبہ
Aatiqah,اطيقه
Aabdaar,آبدار
Abqari,عبقری
Amana,امانہ
Aini,آئینی
Aymen,أيمن
Asima,عاصمہ
Amila,عميلة
Ahmadi,احمدی
Azeen,اذین
Andleeb,عندلیب
Ashwa,عشوہ
Ashtar,اشتر
Anna,اننا
Aabgina,آبگینہ
Abla,عبلہ
Afsana,افسانہ
Aafreeda,آفریدہ
Akhtar,اختر
Aza,عزا
Aabadi,آبادی
Aiyla,عائلہ
Arfia,ارفعیہ
Aliyah,عالیہ
Ayda,ایدا
Akifa,أقفى
Anah,اناه
Adara,عدارا
Ajra,اجرہ
Ayesha Noor,عائشہ نور
Aminah,امینہ
Amayra,امیرا
Adra,عدرا
Almeera,المیرا
Amsal,امثال
Akila,عکیلا
Afana,عفانہ
Aidah,أيده
Afizah,فيزه
Adeel,عديل
Amrah,امرحہ
Arma,ارما
Ajla,اجلہ
Almira,المیرا
Abda,ابدا
Ansara,أنصار
Afeefah,عفيفه
Amyrah,امیرہ
Aroosa,عروسة
Alhena,الحینہ
Arjumand,ارجمند
Azza,عزا
A'ila,آئلہ
Aasimah,اسیمہ
Azia,عزیہ
Arus,عروس
Aeni,عینی
Aatirah,اطرح
Aqeela,عقیلہ
Azima,عظیمہ
Aml,امل
Aamanee,أماني
Azin,ازن
Aaqilah,عقيله
Aabshar,آبشار
Aabder,آب در
Attia,عطیہ
Akbari,اکبری
Almaz,المظ
Afsoon,افسون
A'nia,آنیہ
Asilah,أسئله
Aleah,عالیح
Aira,آئرہ
Aki,اکی
Aadina,آدینہ
Ashok,اشوک
Anasa,آنسہ
Aadhina,آدھینہ
Aafaaq,آفاق
Aabloch,آبلوچ
Aykiz,آئزک
Armaghan,ارمغان
Anaan,عنان
Aabisah,عابثہ
Atiqah,عطیقہ
Afya,افیا
Athara,اطہرہ
Aiela,عائلہ
Amaara,أمارة
Aadilah,عادلہ
Adeema,عدیمہ
Azah,أزاح
Asa,اسا
Atufa,اتفہ
Aabraa,آبرہ
Ashya,اشیا
Almaas,الماس
Anwari,انوری
Afaaf,عفاف
A'eera,اعیرہ
Arwah,أرواح
Almera,المیرا
Adifaah,أضيفه
Abanhir,ابنھر
Araa,آراء
Adeeva,أضيف
Akhtari,اختاري
Aroob,ارُوب
Amera,امیرا
Anusheh,انوشہ
Akida,اكيدا
Aadirah,عادرہ
Aadna,آدنہ
Aafda,آفدہ
Anida,عنيدة
Atala,اطالہ
Amapola,اماپولا
Abila,عبیلہ
Afraa,افرا
Asifah,آصفہ
Aadla,آدلہ
Aatiq,عتیق
Amala,عمالہ
Aafeh,عافہ
Aicha,ايشا
Anisah,انیسہ
Aleyah,عالیہ
Azera,عذرہ
Alaya,علايا
Amima,أميمة
Ashika,آشکا
Aflak,افلک
Azeema,عظیمہ
Abidah,عابدہ
Ajib,عجب
Ablaj,ابلاج
A'inoor,آئینور
Afshaan,افشاں
Anizah,عنيزه
Abrish,ابرش
Amada,عمادہ
Anashrah,انشراح
Afresham,افریشم
Asta,استا
Asmia,عاصمہ
Adela,آدلہ
Azala,ازالہ
Aniya,آنیہ
Alev,الیو
Azrah,أزره
Aesha,عائشہ
Ahd,احد
Afraha,افرحہ
Anwar,انور
Afareen,آفرین
Ammaarah,عمارہ
Afera,عافرہ
Afsaneh,افسانۂ
Ajila,عاجلہ
Amreen,امرین
Ashia,عائشہ
Ain Alsaba,این الصبا
Ashbah,اشباہ
Aleema,علیمہ
Ain-un-Noor,عین النور
Akifah,كيفه
Adibah,--
Andalib,عندلیب
Asal,اصل
Aqiba,عقبة
Arzo,أرز
Alhan,الهان
Aroona,ارونا
Aflaq,افلق
Addeva,ادیوا
Araza,عرازہ
Affat,عفت
Anoosheh,انوشہ
Atun,آتون
Areefa,عریفہ
Albash,الباش
Abrid,عبرد
Aergul,ایرگل
Adala,أدلة
Anfal,انفال
Ansharah,انشرح
Azkia,ازکیہ
Aatoon,آتون
Aatun,آتون
Asiyah,آسیہ
Adaj,--
Alja,الجا
Asmaa,اسما
Atra,عترہ
Ashtalfa,اشتلفہ
Akia,عكا
Abhaj,ابھج
Aroos,عروس
Aneesah,انیسہ
Aribah,أرباح
Alamara,الأمارة
Asrah,اثرہ
Abanna,ابننا
Adilah,عدلیہ
Anbar,انبار
Abasah,عبسة
Afsha,افشاء
Azusa,آزُسا
Aysun,آیسن
Abannah,ابننہ
Abdah,ابداه
Ahdia,أحذية
Alnisa,النسا
Asalah,اصلاح
Atirah,اتیرہ
Afzaa,افضاﺀ
Asmah,اسما
Anjla,انجلا
Aixa,آذیہ
Azla,عاذلہ
Armish,امرش
Ahlem,أحلم
A'lia,اعلیہ
Adla,عدلہ
Azizah,عزیزہ
Altaf,الطاف
Arezoo,آرزو
Azra,عذرا
Alimah,الیمہ
Arshama,ارشمع
Abashsh,اباشش
Awala,اوالہ
Asah,اصح
Aseela,أصيلة
Aeesha,عائشہ
Abazir,ابازر
Auj,انوج
Ahlaam,--
Abarr,ابار
Ablah,ابلہ
Ayisha,عائشہ
Alyana,الیانا
Aneezah,عنيزه
Areta,عرتا
Azhar,ازہر
Aqila,عاقلہ
Almyra,المیرا
A'idah,اعدہ
Ataf,عطاف
Amerah,امیرہ
Akilah,اکیلہ
Afroze,افروز
Azali,ازلی
Awarish,آورش
Ainain,عینین
Affra,افرا
Ashwaq,اشواق
Afif,عفیف
Azeeza,عزیزہ
Alaleh,الٰہی
Amla,عاملہ
Azmah,ازمہ
Asghari,اصغری
Abhar,ابہار
Arika,اریکہ
Ambra,امبرا
Adhra,عدرا
Anwara,أنوار
Arshad,ارشد
Aiesha,عائشہ
Abreshmina,أبرزهمنا
A'la,اعلہ
Ateefa,عطیفہ
Azita,ازیتا
Anat,أنت
Atma,اطمعہ
Aafin,عافین
Anqa,عنقا
Asnam,اصنام
Aani,آنی
Almash,الماش
Anmar,انمار
Almeria,المیریہ
Afet,افیٹ
Abushams,عب الشمس
Ahdaf,أهداف
Atoosa,اتوسا
Ayesha Gul,عائشہ گل
Alvira,الویرا
Atira,عاطرہ
Aeedah,أيده
Alam Efroze,عالم افروز
Amberin,عنبرین
Asmr,اسمر
Abeedah,عبيده
Ahoo,آہو
Ablaa,ابلا
Ashalina,سحالينا
Amah,اماه
Arghavan,ارغوان
Azzah,ازہ
A'yan,عیان
Angbeen,انگبین
Ansam,انسام
Azferene,اذفرین
Aftan,افتان
Abbasah,اباسہ
Afkar,افكار
Aqda,عاقدہ
Azreen,عضرین
Alzahra,الزهرة
Abqurah,بقره
Afraima,افریما۔
Ammarah,أمره
Ayten,آئٹین
Aymelek,ایملیک
Ahmareen,احمرین
Affera,افریرہ
Ayla,عائلہ
Aliyan,الیان
Amberlyn,عمبریلی
A'isha,عائشہ
Akleema,أقليمى
Ayeesha,عائشہ
Anmol,انمول
Akara,اکارا
Aamna,آمنہ
Amilah,أمله
Asa'bat,اصابت
Ameer,امیر
Asadah,اسدہ
Ahliyat,اہلیت
Awada,عودہ
Amrozia,امروز
Altaira,الطیرا
Atmos,عطموس
Anaum,أنام
Aliye,عالیا
Alzubra,الزُبرا
Amtullah,امت اللہ
Alfiya,الفیہ
Aieeda,اییدہ
Aaniyah,عانیہ
Aafiyah,عافیہ
Amsah,أمسح
Atla,اعتلہ
Asmer,اسمر
Azmina,ازمنہ
Atqa,اتقا
Alamiy,الامیہ
Ahwad,احواد
Araam,أرام
Alzina,الزینا
Asiah,عائشہ
Afsu'n,افسوں
Aariyah,عاریہ
Akhba,اخبا
Atefeh,اتیفہ
Ahmreen,آحمرین
Arusi,عروسی
Awaisa,عویسہ
Azadeh,آزادہ
Annissa,انیسا
Abroud,عبرود
Alyaa,الياء
Alzeena,الزینہ
Aieshah,عائشہ
Ameenah,امینہ
Aeshah,عائشہ
Abdiqani,بضيقن
Amberina,عنبرینہ
Ansa,انسہ
Arub,ارُب
Aleaseya,علسیہ
Azlafah,اذلفہ
Aarikah,عارکہ
Atalaya,اتالیہ
Ahlala,اہلالہ
Asimah,اسیمہ
A'sia,آسیا
Adlai,عدلیا
Ayeesa,عائشہ
Alzena,الزینا
Aailah,عائلہ
Aageena,آگینہ
Azhara,اظہرا۔
Avizeh,آویزہ
Atyab,عتیب
Auzgul,اوزگل
Ashek,اشک
Abdaorabeedah,عبدربدة
Azade,آزادی
Azraa,عضرا
Atarat,اطارت
Aairah,آئرہ
Ayeh,ایہ
Allmera,المیرا
Asli,اسلی
Areeha,اریحہ
Aarsah,آرسہ
Abbaasah,باسه
Agha Meena,آغا مینا
Aseema,اسیما
Aatya,آتیہ
Aailaa,آئلہ
Aasma,آثمہ
Ayshah,عائشہ
Aallam,عالم
Aanishah,عانشہ
Aaraish,آرائش
A'mla,آملہ
Ayesha Kanwal,عائشہ کنول
Aasah,آسہ
Asmaan,آسمان
Aansa,آنسہ
Asucena,اسکنا
Ahu,آہو
Arusah,عروسہ
Alzan,الزن
Arfi,ارفی
Atrah,اطرہ
Aainah,عائنہ
Aarifa,عارفہ
Aasfi,آصفی
Aknan,اکنان
Aaraaz,آراض
Aalam Afroze,عالم افروز
Aarela,آریلہ
Amwaz,امواز
Aaimah,آئمہ
Aashaam,آشام
Awez,آویز
Aajra,آجرہ
Aghigh,اغغ
Akhlaqi,اخلاقی
A'sma,آسمہ
Aafiyat,"Health, freedom from illness."
Athir,اثير
Abrish,ابرش
Aarsee,آرسی
Aamiyah,عامیہ
Aamerah,عامرہ
A'ishah,عائشہ
Aarmah,عارمہ
Alim,عالم
Ajradah,جراده
Aajilah,عاجلہ
Aghsan,أغصان
Amaider,عمیدر
Aaroolah,آرولہ
Ahla,احلاء
Aafrida,آفریدہ
Aleemah,عالیمہ
Amat-Ul,امتاُل
Aaramish,آرامش
Aphra,افرا
Aqilah,عقيله
Aaraindah,آرائندہ
Awinah,اوینہ
Aalam Tara,عالم تارا
Aghla,آغلہ
Aghla,آغلہ
Amalillah,عمليلله
Aisia,عائشہ
Amberlynn,عمبریلی
Allmeera,المیرا
Aamerzish,آمرزش
Arria,ارریا
Azucena,آزکنا
Aliyyah,الیہ
Akasma,اکسمہ
Aahinah,آہینہ
Aarbel,آربل
Atbal,عطبل
Aameer,امیر
Aaniba,انیبا
Akay,آکے
Alleyah,عليه
Ainalsaba,نلسبا
Aaranda,آرندہ
Aandah,آندہ
Aroub,عروب
Ahou,آہو
Asheeqa,عشیقہ
Aalam-Aaraa,عالم آراء
Aamdah,عامدہ
Azhaar,اَظہار
Adaa,ادا
Aziman,أزمان
Afzun,افزوں
Ambara,أمبر
Ammat-Ul,امّتال
Alihat,الیہت
Aaires,آئرس
