Name in English,Name in Urdu
Qurat ul AIn,قراۃ العین
Qirat,قيرات
Qudsia,قدسیہ
Qaswa,قصواء
Quraisha,قريشا
Qandil,قندیل
Qamar,قمر
Qanita,قانتہ
Qaria,قاریہ
Qara,قرہ
Qasida,قاصدہ
Qahira,قاهرة
Qabila,قبيلة
Qaila,قائلہ
Qaima,قائمہ
Qaifa,قائفہ
Qaisra,قیصرہ
Qurrat,قرة
Qadira,قادرہ
Qarah,قارہ
Qismat,قسمت
Qamri,قمری
Qudsiyah,قدسیہ
Qanaat,قناة
Qania,قنیہ
Qailah,قايله
Qabra,قبرہ
Qasima,قاسمہ
Quddusiyah,قدسيه
Qabtia,قبطیہ
Qabool,قبول
Qaabilah,قابله
Qanwa,قنوا
Quadriyyah,قدرية
Qamra,قمرا
Qasira,قاسرہ
Qudwa,قودوا
Qadera,قدیرہ
Qariba,قاربہ
Qaylah,قايلاه
Qamir,قمیر
Qantara,قنطرة
Qismah,قسمه
Qisaf,قيساف
Qader,قدر
Qaseema,قسيمة
Qubilah,قبیلہ
Qazalbash,قزلباش
Qabilah,قبيلة
Qateen,قتین
Qaysar,قيصر
Quddoos,قدوس
Quddoosiyyah,قدسيه
Qarba,قربہ
Qaniah,قناه
Qandeela,قندیلہ
Qadriyyah,قدرية
Qareer,قریر
Qaaim Ul-Mazaj,قائم المزاج
Qaaherah,قاحرہ
Qaaifah,قائفہ
Qaachaar,قاچار
Qaadrin,قادرین
Qadva,قدوہ
Qutaylah,قتيله
Qaadmah,قادمہ
Qaadehah,قادحہ
Qameer,قمير
Qasiba,قاصبہ
Qareha,قارعہ
Qiyyama,قيمة
Qateela,قتیلہ
Qazla,قزلہ
Qaraah,قراه
Qasoomah,قصومه
Qanturah,قنطرة
Qarsafah,قرصفة
Qadar,قدر
Qaribah,قريبه
Qamayr,قاماير
Qareebah,قريبه
Qausia,قوسیہ
Qudsiya,قدسیہ
Qayuma,قیومہ
Qurat-Ul-Ain,قراۃ العین
Qaveema,قویمہ
Qasmeea,قسمیہ
Qarasafahl,قرصفهل
Qareena,قرینہ
