Name in English,Name in Urdu
Naira,نيرة
Neha,نیہا
Noor,نور
Nisha,نشا
Namar,نامار
Nazia,نازیہ
Nida,ندا
Nusaiba,نسيبة
Namra,نمرہ
Nargis,نرگس
Nafisa,نفیسہ
Neelam,نیلم
Nasreen,نسرین
Nabila,نبیلہ
Naila,نائلہ
Nikhat,نکہت
Nusrat,نصرت
Nadia,نادیہ
Naima,نائمہ
Noor ul Ain,نورالعین
Namira,نمیرہ
Nayab,نایاب
Nawal,نوال
Nabiha,نبیہا
Nora,نورا
Nazli,نازلی
Nilofar,نیلوفر
Nigar,نگار
Naina,نينا
Najma,نجمہ
Noor Fatima,نور فاطمہ
Nabiya,نبیہ
Nuzhat,نزہت
Naba,نابا
Nuha,نُحا
Nasrin,نسرین
Nani,نانی
Noreen,نورين
Naznin,نازنین
Nadira,نادرہ
Noor jahan,نور جہاں
Nasra,نصرا
Niloufar,نیلوفر
Nini,نینی
Nahid,ناہید
Nisa,نساء
Nasima,نسیما
Naz,ناز
Noushin,نوشین
Noora,نورا
Nadine,نادینے
Nosheen,نوشین
Nighat,نگہت
Naureen,نورین
Nitasha,نتاشہ
Nurin,نورین
Nishat,نشاط
Nazma,نظما
Naimat,نايمات
Nihad,نهاد
Nazifa,نظيفة
Najat,نجت
Nausheen,ناصحين
Numa,نُما
Noor Ul Huda,نورلهدا
Nasha,ناشہ
Nihal,نہال
Nour,نور
Namrata,نمرتا
Najwa,نجوا
Neda,ندا
Naheed,ناہید
Nura,نورا
Naseema,نسیمہ
Noor Us Saba,نورسبة
Nabeela,نبیلہ
Nabeeha,نبہیہ
Nazira,نظیرا
Nashwa,نشوہ
Nasheed,نشيد
Naif,نايف
Nabira,نبیرا
Nouf,نؤف
Naghma,نغمہ
Najla,نجلا
Naazneen,نازنین
Nala,نالا
Nada,ندا
Nahla,نحلہ
Nabia,نابیہ
Naveen,نوین
Nagina,نگینہ
Najiya,ناجیہ
Nayeli,نیلی
Nazila,نزيلا
Niki,نیکی
Nain,ناين
Nahal,نہال
Nusaybah,نصیبہ
Nafeesa,نفیسا
Naija,نئجا
Nazakat,نزاکت
Naja,نجا
Noor E Haram,نورِ حرم
Nilam,نیلم
Nailah,نائلہ
