Name in English,Name in Urdu
Kiara,کیارا
Khadija,خدیجہ
Kashaf,کشف
Kainaat,كائنات
Kinza,کنزا
Kausar,کوثر
Komal,کومل
Khatun,خاتون
Kiran,کرن
Khushbu,خشب
Kubra,كوبرا
Kiswa,قيسوا
Kenza,كنزة
Khadeeja,خدیجہ
Kaina,کائنہ
Kamila,کاملہ
Khurshid,خورشید
Kaneez,كنيز
Khansa,خنثى
Kashifa,کاشفہ
Karima,کریمہ
Kanwal,كانوال
Kabira,کبیرہ
Khalida,خالدہ
Kohinoor,کوہنور
Khola,خولہ
Khalwat,خلوت
Kalsoom,كلثوم
Khadijah,خدیجہ
Khirad,خيراد
Karen,کرن
Kashfia,کشفیہ
Khani,خانی
Kamali,کمالی
Kaylee,کیلی
Khair-un-Nisa,خیرالنساﺀ
Khaliqa,خلیقہ
Keisha,کاشا
Kailey,کیلی
Khulood,خلود
Kashmala,كشملا
Kaifiya,كيفية
Khawlah,خولہ
Kalin,کالیں
Kasturi,كاستر
Khanom,خانم
Kamala,کمالہ
Kalima,کلیما
Kiah,كيه
Kaliyah,کلیہ
Khuld,خولد
Koshi,کوشی
Kanza,كانزا
Kaly,کیلے
Kaif,كايف
Khaira,خيرا
Kawtar,كوتر
Kabra,کبریٰ
Kyna,كينا
Khush Bakht,خوش بخت
Khanam,خانم
Kalila,کلیلہ
Kamla,کملا
Kally,کالے
Khair,خیر
Khira,خیرہ
Kokab,کوکب
Khairulwara,خیرالوریٰ
Kimiya,کیمیہ
Kasra,کسریٰ
Khatoon,خاتون
Kawthar,کوثر
Kinana,كنانة
Khaula,خولة
Kashfa,کشفہ
Kadri,قادری۔
Khadra,خضرة
Khalisa,خالصة
Kanz,كانز
Kamra,کمرا
Khuban,خوباں
Khulud,خُلد
Kobra,کوبرا
Khunsa,خنساﺀ
Khalisah,خالیصہ
Khalilah,خلیلہ
Khaalida,خالدہ
Korina,قورينا
Kadijah,خدیجہ
Kareema,کریمہ
Kania,کنیا
Kifah,كيفاه
Kabshah,كبشة
Kamilah,کاملہ
Karma,كارما
Khan Zadi,خان زادی
Kasira,کاثرہ
Karam,كرم
Khunsha,خنشاﺀ
Kaadiha,قاضيها
Khazeena,خزینہ
Kamni,کامنی
Kakuli,كقول
