Name in English,Name in Urdu
Dua,دعا
Dania,دانیا
Daneen,دانین
Dahlia,دہلیہ
Diya,دیا
Darakhshan,درخشاں
Doha,ضحى
Diba,دیبا
Dilara,ديلارا
Deena,دینا
Duha,دوحہ
Daima,دائمہ
Dami,دمی
Dilshad,دلشاد
Dina,دینہ
Daliya,دلیہ
Dariya,ضارية
Dunia,دونيا
Daena,دینہ
Dunya,دونيا
Dasia,دسیعہ
Dima,ديما
Dilkash,ذلكش
Donya,دنیا
Dahab,دہاب
Dhuha,دُھا
Daina,دائنہ
Dalia,دلیہ
Dur Afshan,درافشاں
Darya,دریا
Dujanah,دجانه
Durdana,دردانہ
Daria,داریاء
Defne,ڈیفنے
Dilraba,دلرُبا
Damiya,دامیہ
Dabistan,دبستان
Doaa,دواء
Dena,دیناء
Deema,ديمة
Daiya,داعية
Dur-i-Nayab,درنایاب
Dafiya,دافعية
Deeba,اپراج
Daisa,داعصہ
Durrah,درّہ
Dounia,دنيا
Damsa,دمسہ
Dalila,دلیلا
Dibi,دیبی
Deyana,دیانہ
Damas,دماس
Dil Shagufta,دل شگفتہ
Dil Aram,دل آرام
Daiba,ديبا
Del,دیل
Daajiyah,داجية
Diwa,دعوة
Damina,دمینا
Dil Ara,دل آرا
Dema,ديما
Dafiyah,دافيه
Damla,دملہ
Deebaa,ديبا
Dil Efroz,دل افروز
Diyanah,دينه
Danyah,دنياه
Doga,ڈوگا
Daroj,دروج
Douha,دوحة
Dama,داما
Daema,دیما
Dananeer,دنانیر
Dasa,داثا
Dil Kusha,دل کشا
Delaram,دلارام
Darsameen,درثمین
Dicle,ڈائکل
Dilkusha,دلکشا
Darra,درّا
Durriya,دورية
Deniz,ڈینیز
Dildar,دلدار
Dimah,دیمہ
Dara,دارا
Dur-e-Shahwar,درشہوار
Delbar,دلبر
Daliyah,دلیہ
Durra,دورة
Durriyah,دوريه
Deebe,دیبا
Duhr,دہر
Diqrah,ضيقرة
Dariyah,داريه
Dhuka,ذوق
Dorri,دوری
Dilshaad,دلشاد
Damik,دمک
Dunyana,دنيانا
Durr,دورر
Dhakirah,ذكره
Dafeenah,دفينه
Djamila,دجيملا
Dhakiyah,دھاکیا
Durdaana,دردانہ
Daaliyah,دالیہ
Darrah,داره
Dil-Ara,دلآراء
Dur E Najaf,دور نجف
Daanesh,دانش
Delkash,دل کش
Daajan,داجن
Dawha,داوها
Daamlah,داملہ
Dashtagni,دشتگنی
Daabrah,دابرہ
Dardana,دردانہ
Dhakiyyah,ذكيه
Dhaakirah,ذاكرة
Daamaan,دامان
Daadbakhshi,دادبخشی
Darkhshanda,درخشندا
Dayfah,ضيفه
Durruya,دورية
Darkhshinda,درخشندہ
Dira'a,درع
Durre Shahwar,درشہوار
Dilafroze,دلافروز
Durriyyah,دوريه
Daieba,ديبا
Dameetha,دميتها
Dawud,داوود
Dhia,دھیا
Dilawaiz,دل آویز
Daniyah,دانیہ
Dawlatkhatoon,دولتخت
Dastiaar,دستر
Dinaz,دیناز
Dubur,دبور
Durdanah,دردنة
Duri,دُری
Dibaaj,دیباج
Durnaz,درناز
Dibaru,دیبارو
Dukhtar-e-Imran,دختر عمران
Durain,ڈرین
Dikhaass,دخاس
Dalam,دلام
