Name in English,Name in Urdu
Sana,ثنا
Sara,سارا
Sadia,سعدیہ
Saniya,سنیا
Sidra,سدرہ
Saira,سائرہ
Saba,صباء
Sofia,صوفيا
Saima,صائمہ
Sumaiyaa,سُمیئا
shazia,شازیہ
Sadaf,سدف
Sonia,سونیا
Sanam,صنم
Sarah,سارہ
Sania,ثانیہ
Shifa,شفاء
Samreen,ثمرین
Shabana,شبانہ
Shaista,شائستہ
Sumaira,سمیرا
Sehrish,سحرش
Safa,صفا
Sabiha,صبیحہ
Sahar,سحر
Salma,سلمی
Shabnam,شبنم
Seher,سحر
Shagufta,شگفتہ
Shahnaz,شہناز
Sameera,سمیرا
Sabaat,ثبات
Sahiba,صاحبہ
Shahida,شاہدہ
Sanjida,سنجیدہ
Sadiya,سادية
Sabrina,سبرینا
Sajida,ساجدہ
Sharmin,شارمين
Sultana,سلطانہ
Sakina,سکینہ
Shiza,شيزا
Samina,ثمینہ
Samia,سامعہ
Sheza,شیزہ
Sabina,صبینہ
Sheeba,شیبا
Shumaila,شمائلہ
Safiya,صفیہ
Samara,سمارا
Saleha,صالحہ
Sapna,سپنا
Shafaq,شفق
Sanaya,سنایا
Sundas,سندس
Shahina,شاہینہ
Sharon,شیرون
Saiba,ثائبہ
Shaheen,شاہین
Safia,صفیہ
Suraiya,سوريا
Sahara,سہارا
Siara,سیرا
Sitara,ستارہ
Sumayya,سمية
Salwa,سلوا
Sasha,ساشا
Shadman,شادماں
Shireen,شیرین
Sama,سماﺀ
Shanza,شانزا
Samira,سمیرا
Sharara,شرارا
Saman,سمن
Sabeeha,صبیحہ
Sherin,شیرن
Star,ستارہ
Shakira,شکیرا
Seema,سیما
Sufia,صوفيا
Syeda,سیدہ
Sobia,ثوبیہ
Shabab,شباب
Sibel,سیبل
Shahzadi,شہزادی
Sisi,سیسی
Saida,سیدا
Safeena,سفینہ
Suha,سوہا
Shahana,شاہانہ
Shirin,شریں
Sophia,صوفیا
Seerat,سیرت
