Name in English,Name in Urdu
Yasin,یاسین
Yasir,یاسر
Yusuf,یوسف
Yahya,یحییٰ
Yousuf,یوسف
Yazan,یزان
Yunus,یُونس
Yazdan,یزدان
Yamin,یامن
yusha,يوشع
Yaman,یمن
Yazid,یازد
Yazeed,یازید
Yasar,یاسَر
Yusef,یوسف
Yameen,یمین
Yawar,یاور
Yanni,یانی
Yaqoob,یعقوب
Youness,یونس
Yasrab,یژرب
Yaqub,یعقوب
Yashar,یشر
Yacoub,یعقوب
Yazdaan,یزدان
Yunis,یونِس
Yafir,یافر
Yaqeen,یقین
Yaasir,یاسر
Yahyaa,یحیٰ
Yadullah,ید اﷲ
Yaameen,یامین
Yash'er,یشعر
Yar,یار
Yousef,یوسف
Yusif,یوسف
Yaaseen,یاسین
Yazar,یازر
Yagana,یگانہ
Yaseer,یسیر
Yushua,یُوشنا
Yaawar,یاور
Yawer,یاور
Yasher,یاشر
Yureed,یرید
Yasem,یاسم
Yasmine,یاسمین
Yasmina,یاسمینہ
Yuaan,یوعان
Yoonus,یُونس
Yaunis,یونس
Yasmeena,یاسمینہ
Yariq,یارق
Yesal,یسال
Yaab,یاب
Yashal,یشل
Ya'qoob,یعقوب
Yoosuf,یُوسف
Yousef,یوسف
Yaghoub,یغحوب
Yadgar,یادگار
Yasuh,یسوع
Yashem,یاشم
Yasaar,یاسر
Yazdani,یزدانی
Yusef,یوسف
Yash'ed,یشعد
Yaqtan,یقطان
Yasat,یساط
Yaamin,یامین
Yaaft,یافت
Yaafer,یافر
Yemina,یمینہ
Yaafay,یافع
Ya'qub,یعقوب
Younas,یونس
Yaamen,یامن
Yaaqoob,یعقوب
Yaminah,یمینہ
Yasima,یاسمہ
Yasmene,یاسمین
Yaseen,یسین
Yesoob,یعسوب
Yoza,یوضا
Yurid,یرید
Yergha,یرغا
Yesreb,یثرب
Yasmena,یاسمینہ
Younus,یونس
Yousaf,یوسف
Yusuf Ali,یوسف علی
Yusuf Raza,یوسف رضا
Yuza,یوضا
Yoaan,یوعان
Yamaan,یمان
Yalmaz,یلماز
Yermaya,یرمیاہ
Yujanaa,یوجنا
Yazaan,یازان
Yasal,یسال
Yasham,یشم
Yorash,یورش
Yasoob,یعسوب
Yusuf Ahmed,یوسف احمد
Yamim,یمیم
Yafat,یافت
Yusuf Hussain,یوسف حسین
Yunus Ali,یُونسعلی
Yaksu,یکسو
Yaday,یدے
Yaasar,یاسر
Yadaan,یدان
Yaqin,یقین
Yadeen,یدین
Yamun,یمن
Yaariq,یارق
Yehya,یحیا۔
Yaasaj,یاسج
Yameem,یمیم
Yaldrem,یلدرم
Yeseen,یاسین
Yashim,یاشم
Yashrah,یشرح
Yousam,یوسم
Yaasem,یاسم
Yaser,یا سر
Yaasin,یاسین
Yoraaj,یوراج
Yermghan,یرمغان
Yashir,یاشر
Yalnaz,یلناز
Yaariz,یارز
Yawar Abbas,یاور عباس
Yaten,یتن
Yasir Ali,یاسر علی
Yunus Hussain,یُونسحسین
Yerghaa,یرغا
Yagona,یگونہ
Yaasha,یاشا
Yamam,یمام
Yafar,یافر
Yadhuman,یدھمان
Yaghus,یغوث
Yaruq,یارق
Yaraq,یارق
Yassar,یسار
Yunus Ahmed,یُونساحمد
Yaqoot Ahmar,یاقوت احمر
Yarbash,یارباش
Yalduz,یلدز
Yaasham,یاشم
Yagaana,یگانہ
Yaasmoon,یسمون
Yazdan Ali,یزدان علی
Yahya Ali,یحییٰ علی
Yahya Hussain,یحییٰ حسین
Yamaam,یمام
Yasir Ahmed,یاسر احمد
Yaasher,یاشر
Yamaak,یماک
Yasin Ali,یاسین علی
Yareed,یرید
