Name in English,Name in Urdu
Casper,کاسپر
Choudhary,چودھری
Chishti,چشتی
Chacha,چچا
Can,--
Chahal,چہل
Caleb,کالب
Chand,چاند
Cid,سد
Cyrus,کیروس
Cal,کال
Chan,چان
Chaman,چمن
Chohan,چوہان
Charagh,شرجه
Chughtai,چغتائی
Chanda,چندا
Cass,کاسس
Changez,كينجز
Chiragh,چراغ
Cale,کیل
Chisti,چشتی
Chanan,چانن
Coman,کومن
Cadi,سادی
Chambeli,چنبیلی
Cenk,سنک
Ciro,کرو
Chabuk,چابک
Cahil,کاہیل
Cher,چر
Chamali,چمالی
Chaini,چینی
Ceyhun,سیہون
Cyd,سید
Chaman Gul,چمن گل
Cetin,سیٹن
Chessy,چیسی
Candana,کینڈانا
Chiyan vitarg,چین وترگ
Cheragh,چراغ
Caspar,کاسپر
Candon,کینڈن
Choudhary,چودھری
Candanin,کینڈینن
Cirrus,کرروس
Cheeda Khan,چیدہ خان
Chakhra,چاخرہ
Changeez,چنگیز
Changaz,چنگیز
Chawish,چاوش
Charlesh,چارلش
Chiraagh,چراغ
Chiraghdin,چراغ دین
chanandin,چنن دین
Chopra,چوپڑا
Chamana,چمانا
Chakhshnusha,چخشنشا
Chithrazat,چترازت
Chouj,چوج
Chashida,چشیدہ
Changez Khan,چنگیز خان
Chashana,چشانہ
Chegamag,چگماگ
Chaheel,چہیل
Chand Khan,چاند خان
Chaheer,چہیر
Chandal,چندل
Chahl,چہل
Choge,چوج
Choba,چوبا
Chandwa,چاندوا
Changaiz Khan,چنگیز خان
Chash,چاش
Chanan Din,چنن دین
Choban,پاسبان
Chash Gull,چاش گل
Chash Gul,چاش گل
Changaiz,چنگیز
Charaghdin,چراغ دین
Charaba,چرابہ
Chiraghan,چراغاں
Choj,چوج
Chavash,چاوش
Chahour,چہور
Chitah,چیتا
Charkhab,چرخاب
Chawash,چاوش
Chogla,چوگلا
Chiragha,چراغا
Chambarlane,چمبر لین
Chatterman,چترمان
Charghab,چرغاب
Chamanara,جمن آرا
Cheeestan,چیستاں
Chomass,چوماس
Chidakhan,چیدہ خان
Chashidah,چشیدہ
Chamaray,چمارے
Chehrakusha,چہرہ کشا
Chamangul,چمن گل
Caden,کیڈن
Caeli,کیلی
Cai,کی
Cabir,کبیر
Cham,چم
Chakir,چاکر
Cyon,سائیون
Chams,چمس
Choyon,چوئیون
Cash,نقد
Chief,چیف
Chafik,شفیق
Captain,کپتان
Carim,کریم
Chait,چٹ
Cassim,قاسم
Chaker,چاکر
Cayman,کی مین
Cowie,کاوی
Careem,ارقم
Cruinn,کرون
Changaze,تبدیلی
Cheik,چیک
Chawki,چوکی ۔
Cyriac,سائریک
Cassem,کیسیم
Chargul,چارگل
Casildo,کیسیلڈو
Challita,چلیتا
Camran,کیمرہ
Chelem,چیلم
Chahid,چاہد
Chezihan,چیزیہان
Cheekoo,چیکو
Codei,کوڈی
Cheherazad,چہرازاد
