Name in English,Name in Urdu
Arham,ارحام
Ayan,آیان
Ayaan,آیان
Aryan,آریان
Anas,انس
Azlan,ازلان
Ali,علی
Aayan,عایان
Arish,عریش
Adnan,عدنان
Asif,آصف
Asad,اسد
Abdullah,عبداللہ
Ahad,احد
Aaron,ارون
Arabi,عربی
Ayaz,ایاز
Ahmed,احمد
Afan,عفان
Abrar,ابرار
Aman,امان
Ahmad,احمد
Arsalan,ارسلان
Ahil,آہل
Abaan,ابان
Adyan,ادیان
Arif,عارف
Azhar,اظہر
Aamir,عامر
Azaan,آزان
Azan,اذان
Ammar,عمار
Arshan,ارشن
Arshad,ارشد
Abu-Turab,بوتراب
Atif,عاطف
Abir,عابر
Azhaan,أذهان
Ahnaf,أحنف
Abeer,ابیر
Abbas,عباس
Arab,عرب
Ayman,ایمن
Ahsan,احسن
Aabid,عابد
Ashar,اشعر
Adan,عدن
Arafat,عرافات
Aban,ابان
Aasim,عاصم
Ahtisham,احتشام
Arslan,ارسلان
Ameen,امین
Aftab,آفتاب
Aadil,عادل
Aqib,عاقب
Abid,عابد
Adil,عادل
Alam,عالم
Aaqib,عاقب
Amaan,امان
Altamash,التمش
Anwar,انور
Akhtar,اختر
Ariz,عریض
Aslam,اسلم
Aahid,عاہد
Armaan,ارمان
Abu Zar,ابو زر
Arfan,عرفان
Amir,عامر
Aafeen,عافین
Abdul,عبدل
Arash,عرش
Arbaaz,أرباز
Abad,عباد
Afzal,افضل
Alif,آلف
Aafi,عافی
Aakif,آکف
Altaf,الطاف
Akram,اکرم
Amjad,امجد
Azeem,عظیم
Arman,ارمان
Abu hurairah,ابُو ہریرہ
Aadam,آدم
Ashfaq,اشفاق
Aarib,عريب
Asim,آثم
Arshman,عرشمان
Aslan,اسلان
Arsal,ارسال
Abdul-hadi,عبد الحادی
Al Amin,ال امین
Abdul Ahad,عبدل احد
Ayyan,آیان
Afaq,آفاق
Aziz,عزیز
Aabinus,آبنوس
Abu,ابو
Abraham,ابراہیم
Ashiq,عاشق
Ansari,أنصاري
Akhi,آخی
Aadeel,عدیل
Ashir,عاشر
Akbar,اکبر
Akhil,آخیل
Areeb,اریب
Afraz,افراز
Aabideen,عابدین
Anis,آنیس
Afridi,آفریدی
Abdul Hannan,عبدل حنان
Azad,آزاد
Abu-bakr,ابوبکر
Azam,اعظم
Adib,ادیب
Ayyash,أيش
Abdul-rahman,عبد الرحمان
Athar,اطہر
Aas,عاص
Azim,عازم
Anees,انیس
Aarzam,رزم
Aswad,أسود
Al,ال
Antar,عنطر
Al Faiz,ال فیض
Abubakar,ابُو بکر
Adeel,عدیل
Abdul Rafay,عبد الرافع
Abdur-rahman,عبد الرحمان
Ababil,ابابیل
Ajmal,اجمل
Aafreen,عفرین
Ahmar,احمر
Azal,عزال
Ayub,ایوب
Ansar,انصار
Amin,امین
Ali Raza,علی رضا
Aftar,أفطر
Arqam,ارقم
Aalam,عالم
Aun,عون
Almir,المير
Aaid,آيد
Adam,عدم
Ahyan,أحيان
Anjum,انجم
Aarif,عارف
Aurangzeb,اورنگ زیب
Ashura,عشورہ
Aqeel,عقیل
Aadroop,اڈروپ
Ab'ab,اعباب
Ali Hassan,علی حسن
Altan,التان
Amad,عماد
Abdul Rehman,عبدالرحمان
Aydin,یدین
Abdul Mannan,عبدل مننان
Arbab,ارباب
Ahmadullah,حمدلله
Aafsar,عافسر
Adrish,آدرش
Arsel,أرسل
Aleem,علیم
Awais,اويس
Aameen,آمین
Adeeb,ادیب
Abdul-basit,عبد الباسط
Anzar,عنضر
Alauddin,الدين
Azar,آزر
Abdul-samad,عبد الصمد
Aish,ایش
Afif,عفیف
Abu Talha,ابو طلحہ
Aaiez,عائز
Aatazaz,اعتزاز
Arad,ارد
Aasil,اصیل
Alim,عالم
Adal,عدل
Akif,عاکف
Aamin,آمین
Aazam,اعظم
Ali Haider,علي حيدر
Aalif,آلف
Ateeq,عتیق
Aaien,عاہن
Alamgir,عالمگیر
A'azz,اعاز
Ashab,عشب
Aamer,آمر
Aisa,عیسیٰ
Abdul-bari,عبد الباری
Aamad,عامد
Amanullah,أمانلله
Arhaam,ارحام
Aaaqil,آقیل
Aalim,عالم
Abdul muttalib,عبد المُطلب
Aaghaa,آغا
Abdul Qadir,عبدالقادر
Atik,عاتک
Azmi,عزمی
Awan,اعوان
Aafaq,آفاق
Ashrafi,اشرافی
Arkan,اركان
Aamil,اعمل
Armin,ارمین
Aabbaz,آب باز
Abdul-muiz,عبدالمعز
Afiyat,عافیت
Abdul-wahab,عبد الوہاب
Abdel,عبدل
Arafah,عرفہ
Aati,عاطی
Atiq,عاتق
Asadullah,أصدلله
Abd manaf,عبد المناف
Aayed,عاید
Adad,عداد
Aasaf,آصَف
Ali Hamza,علی حمزہ
Adi,عدی
Ayad,ایاد
Akil,اکیل
Aaess,عائث
Abdul Waase,عبدل واسع
Ashaz,شاذ
Ain,عین
Aabaad,عباد
Aliyar,عالیار
Anayat,عنایت
Abdul-muhaimin,عبدالمہیمن
Aaki,عاکی
Akmal,اکمل
Aahil,آہل ۔ آحل
Asmar,اسمار
Amal,عمل
Aabes,عابس
Areesh,عریش
Abdul-aziz,عبد العزیز
Aaied,عائد
Arib,آرب
Aabed,عابد
Abdul Qayyum,عبدل قیوم
Aadar,عادر
Abdul-rehman,عبد الرحمان
Amil,عامل
Abar,عبر
Arfeen,عارفين
Amer,امر
Akhlaq,اخلاق
Araiz,أرز
Abyan,أبين
Ali Sher,علی شیر
Aasaal,اسال
Ada,ادا
Asgar,اصغر
Abbasi,عباسی
Aulad,اولاد
Aly,اعلے
Ali Akbar,علی اکبر
Abdul Rahim,عبدالرحیم
Aafien,عافین
Auliya,اولیاء
Abdi,عبدی
Aarzu,آرزو
Abadi,آبادی
Ara,عرا
Aagha,آغا
Ali Asghar,علی اصغر
Aazaad,آزاد
Afshin,افشین
Asghar,اصغر
Aqdas,اقدس
Abis,آبص
Alman,المان
Asaf,آصف
Aladdin,الادین
Asel,عاسل
Aaeze,عائز
Abaid,عبید
Asar,عصر
Aafandi,آفندی
Absar,ابصار
Abdul-rauf,عبد الرؤف
Abdul razzaq,عبدالرزاق
afi,عفی
Aaghaa,آغا
Azab,عزب
Aoun,عون
Abul Kalam,ابل کلام
Adham,ادھم
Ayyub,ایوب
Abdul Sattar,عبدل ستار
Amatullah,عمات اللہ
Abdul-mateen,عبد المطین
Avir,اویر
As'ad,اسعد
Alp,الپ
Arsham,ارشام
Afham,افہام
Ayar,ایار
Areez,عریض
Abul bashar,ابُل بشر
Ayoub,ایوب
Ahkam,احکم
Abul hasan,ابُل حسن
Arjan,ارجن
Asam,اعصام
Abu Talib,ابو طالب
Arvin,عروین
Aaqaa,آقا
Abdal,عبدل
Aibak,ایبک
Asil,اصیل
Ali Shan,علی شان
Arifin,عارفين
Alhan,الهان
Arhab,ارهاب
Abadullah,عباد اﷲ
Aslihan,اسلیحان
Azfar,اظفر
Adalat,عدالت
Asaad,اسعد
Askar,عسکر
Arda,اردہ
Asmir,آژمیر
Abu Saeed,ابو سعید
Aza,عضہ
Amr,امر
Aalamgeer,عالمگیر
Abd,عبد
Abaj,آبج
Aahin,عاہن
Atlas,اطلس
Arya,عریا
Abdul-wahid,عبد الواحد
Ashmal,اشمل
Ayur,ایّور
Asir,اصیر
Alai,علیہ
Awad,اواد
Abdul-majid,عبد الماجد
Amiri,امیری
Ataur Rahman,عطا الرحمن
Aufar,اوفار
Abdaal,ابدال
Afandi,آفندی
Aniq,انیق
Atish,آتش
Afzaal,افضال
Abdul-salam,عبد السلام
Azain,أزين
Alva,الوا
Aban,ابن
Anif,عنيف
Ausaf,اوصاف
Abdan,أبدا
Ashkan,اشکن
Azmeer,أزمير
Abdul-hameed,عبد الحمید
Ajwad,اجود
Aiz,ایز
Ata,عطاء
Abadah,عبادہ
Abba,ابا
Asbah,عصبہ
Amanat,امانت
Azizi,عزیزی
Al-yasa',الیاسا
Afeef,عفیف
Akay,آکے
Azil,عازل
Aneeq,عنیق
Abu lahab,ابُو لہب
Anosha,انوشہ
Ataullah,عطالله
Ajim,اجیم
Abd-al-jabbar,عبد الجبار
Abdar,آبدار
Ameer,امیر
Abdal-hadi,عبدالحادی
Abdul-ghaffar,عبد الغفار
Awaiz,أوز
Abdul-jabbar,عبد الجبار
Ariq,آرق
Allama,علامة
Al Rafi,ال رفیع
Alvi,علوی
Aron,ارون
Arz,عرض
Azzam,عزام
Arwah,اروه
Abu darda,ابُو دردا
Auf,اُف
Abraz,ابراز
Aqil,عاقل
Aqidah,عقیدہ
Abdu,ابدُ
Adim,آدِم
Abdul Muqeet,عبدل مقیت
Afsar,افسر
Abaravand,اباراوند
Abdul-majeed,عبد المجید
Allah Bakhsh,الله بخش
Aseer,أصير
Abdul Kabir,عبدل کبیر
Asham,آشام
Aqrab,عقرب
Asadi,اسادی
Abdul-khaliq,عبد الخالق
Abdul-quddus,عبد القدوس
Abu'  bakr,ابُو بکر
Al Burhan,ال برہان
Abadard,ابدرد
Ajab,عجب
Ali Abbas,علی عباس
Abdul-karim,عبد الکریم
Abu Huzaifah,ابو حذیفہ
Ansab,انسب
Ahraz,أحرز
Aaliyan,عالیان
Abdul Ali,عبدل علی
Abdul-haseeb,عبد الحسیب
Aimer,عوئمر
Adeem,عدیم
Abdul-raheem,عبد الرحیم
Aidh,ايده
Armeen,ارمین
Abdul-alim,عبدالعلیم
Abdul-matin,عبد المتین
Asmad,اصمد
Akhyar,اخیار
Ab Ul Hasan,ابو الحسن
Alaa,اعلٰی
Abasin,بسين
Abdul-latif,عبد الطیف
Abedin,عابدین
Ammarah,عمارہ
Ashta,اشتا
Abdul Musawwir,عبدل مصویر
Azib,آضب
Abed,عابد
Aabid Ahmed,عابد احمد
Aabid Ali,عابد علی
Abeel,عبیل
Abd-al-bari,عبد الباری
Amat,عمات
Ateeb,اطیب
Ahda,احد
Ayash,عیاش
Abdul-kadir,عبد الکادر
Aufa,اُوفا
Abadilat,عبادلت
Abdel-hadi,عبدالحادی
Al Safi,ال صفی
Aaghir,آغر
Abdul munim,عبد المُنیم
Ahzab,عہزب
Abasi,عباسی
Altair,الطیر
Avan,اون
Arjiya,عریجیہ
Abood,عبود
Abbasiyah,عباسیہ
Abdul Wali,عبدل ولی
Aram,ارم
Abdul-muqtadir,عبد المقتدر
Abdul-haq,عبدالحق
Azm,عظم
Aimal,اېمل
Abab,اعباب
Afreed,آفرید
Abdul Mueed,عبدل معید
Ahsanullah,أحسنلله
Abdul-rasheed,عبدالرشید
Abann,ابن
Aadil Ali,عادل علی
Aabid Hussain,عابد حسین
Aarab,عارب
Ajda,اجدا
Aslan,اسلان
Affan,عفان
Abu Hanifa,ابو حنیفہ
Abdul-ghani,عبد الغنی
Aster,اسطر
Aisar,ایثار
Akid,اکید
Abdallah,عبداللہ
Aseem,عصیم
Adel,عدل
Abanus,آبانوس
Aarat,آرت
Abdul Adheem,عبدل ادھیم
Abbar,ابار
Abdal-jabbar,عبد الجبار
Atem,عاتم
"Arim, Aram",عارم
Abd-al-sami,عبدالسمی
Abanjar,ابنجر
Afrasiyab,افراسیاب
Atin,اتن
Aadil Ahmed,عادل احمد
Abdul Rafi,عبدل رفیع
Agha,آغا
Abdulla,عبداللہ
Abs,ابس
Azaam,عظام
Abdul-kareem,عبد الکریم
Afgan,افگن
Abdul Qadeer,عبدالقدیر
Abdul Wasi,عبدل وسیع
Abdus Subhan,عبدل سبحان
Azraq,أزرق
Abarin notavan,عبران نوٹوں
Abay,ابے
Aafeen Hussain,عافین حسین
Aqa,آقا
Anoush,انُش
Artin,عرتن
Aran,ارن
Abdal-ati,عبد العطی
Aqdam,عقدام
Abyad,أبيض
Abdul Wajid,عبدل واجد
Aiel,عائل
Artan,عرتن
Ayyaz,ایاز
Afrad,افراد
Akeem,أقيم
Absaar,ابصار
Abdul-malik,عبد المالک
Awin,آِوٰن
Akal,اکل
Azli,ازلي
Albara,البارا
Atfal,اطفال
Azmat,عظمت
Armiya,ارمیا
Askari,عسکری
Anwaar,انوار
Afshar,افشار
Abarunkohuntavan,ابارونکوہونتاوان
Ashhar,عشر
Adar,ادار
Aqeeb,عقیب
Amro,عمرو
Aflah,أفلح
Abdalla,عبداللہ
Abakhtar,اباختر
Abdul Muntaqim,عبدل منتقم
Aqish,اقش
Amadi,عمادی
Abdul Mumin,عبدل مومن
Aadil Hussain,عادل حسین
Aryana,ارینانہ
Anahid,اناهيد
Abdur Rab,عبدل رب
Alamat,علامت
Abdul malik,عبد المالک
Afrasiab,افراسیاب
Aissa,عيسى
Asef,اصیف
Altin,التین
Aawan,آوان
Abul fazl,ابُل فضل
Avik,اویک
Abdul-jalil,عبد الجیل
Abahh,أباه
Amam,امام
Anfas,عنفاص
Ajir,آجر
Abiyah,ابییہ
Al Abbas,ال عباس
Abdeel,عبدیل
Ajeeb,أجيب
Armughan,ارمغان
Abul qasim,ابُل قاسیم
Azif,ازیف
Abi,ابی
Aula,اولیٰ
Aafeen Ahmed,عافین احمد
Altaf Hussain,الطاف حسین
Awatif,عواطف
Abbud,ابُد
Abdul rashid,عبد الراشد
Abdul-wadud,عبد الودود
Abdul hafiz,عبد الحفیظ
Afkar,افكار
Aazeen,آذین
Abd-al-matin,عبدالمتین
Abd Al Ala,عبد الاعلی
Abdul Hayy,عبدل حئی
Azraf,أذرف
Asur,اسور
Amid,امد
Abdul-hafeez,عبد الحفیظ
Ajij,اجیج
Abdus,عبدص
Awwab,أواب
Abdul Mutakabbir,عبدل متکببر
Anser,عنصر
Arsalaan,ارسلان
Abdul Nafi,عبدل نفی
Abdul hamid,عبد الحامد
Al Siddiq,ال صادق
Abdul ghani,عبد الغنی
Atar,عطار
Abdul Nasir,عبدل ناصر
Atir,أطير
Abannak,آبَننَک
Abdul-ghafoor,عبد الغفور
Abdul-azeez,عبد العزیز
Abu' ali,ابُوعلی
Abdur-rahim,عبد الرحیم
Anouar,أنوار
Asal,اصل
Asem,عاثم
Abdus Sami,عبدل سمیع
Aafeen Ali,عافین علی
Abdul Waris,عبدل وارث
Abdul Muid,عبدل مئید
Abdul karim,عبد الکریم
Abdul majid,عبد الماجد
Adheen,آدھین
Abdul-fatah,عبدالفتح
Abdul-shakur,عبد الشکور
Atash,اتاش
Aref,عارف
Atam,عاطم
Afdal,أفضل
Ainullah,عین اللہ
Aawez,آویز
Aydin,آیدین
Awwal,اول
Altamish,الطماش
Aiesh,عائش
Abrak,ابراک
Abyaz,ابیاض
Abdel-hamid,عبد الحامد
Aria,عریہ
Ardalan,اردلان
Abul Khair,ابل خیر
Abdel-fattah,عبد الفتح
Abul Hassan,ابل حسسان
Alvan,الوان
Abdur-rehman,عبد الرحمان
Abdul-azim,عبد العظیم
Anjam,انجم
Abdul-wadood,عبدالودو
Abu' abdullah,ابُوعبدلله
Abdul-azeem,عبد العظیم
Abdul-mughni,عبد المغنی
Abdal-hamid,عبد الحامد
Azid,آزد
Aqleem,اقلیم
Abbudin,عابدين
Amahl,اماہل
Abubaker,ابوبکر
Aus,عُص
Abdul latif,عبد الطیف
Abdel-adir,عبد العدیر
Aaron Shah,ارون شاہ
Abadiya,أبدية
Abdul Muqsit,عبدل مقست
Asharab,عشارب
Amail,أميل
