Name in English,Name in Urdu
Yusra,یسریٰ
Yasmin,یاسمین
Yumna,یمنہ
Yara,یارا
Yasmeen,یاسمین
Yamini,یامینی
Yoan,یوعان
Yamna,یمنہ
Yasira,یاسرہ
Yasmeen,یاسمین
Yasna,يثنى
Yildiz,یلدز
Yashfeen,يشفين
Yadira,یدیرا
Yaasmin,یاسمین
Yasra,يسرا
Yusma,یوسما
Yamina,یامنہ
Yass,یس
Yusairah,يسيره
Youmna,يومنا
Yafiah,یافہ
Yalda,یلدہ
Yaqoot,یاقوت
Yelda,يلدا
Yusraa,یُسرا
Yasim,يسم
Yeganeh,یگانہ
Yasirah,یاسرہ
Yafera,یافرہ
Yamama,یماما
Yaani,ياني
Yasaman,یاسمن
Yumn,یُمن
Yusayrah,يسيره
Yuhnna,یوحنا
Yasmina,یاسمینہ
Yamen,یمن
Yekta,یکتا
Yaasmeen,یاسمین
Yemina,یامینہ
Yashfa Noor,یشفہ نور
Yarah,يراه
Yasmine,یاسمین
Yaaqoot,ياقوت
Yasamin,یاسمینہ
Yamha,یمہا
Yaminah,یامینہ
Yaaqoo',یاقع
Yazmin,یاسمین
Yasmeena,یاسمینہ
Yasharah,يشرح
Yakta,يقطع
Yafita,یافتہ
Yamsheen,یامشین
Yusur,يصور
Yakootah,یکوتہ
Yaqu',یاقوع
Yameema,یمیمہ
Yariqa,يرقى
Yiesha,یایشہ
Yamamah,يمامه
Yameenah,یامینہ
Yalaa,يلا
Yusriyah,يسرية
Yieshah,یایشہ
Yeghman,یغمان
Yasmia,یاسمیہ
Yasmoon,یاسمون
Yasmene,یاسمین
Yusriyya,يسرية
Yasmena,یاسمینہ
Yesmin,یاسمین
Yalqoot,يلقط
Yaqaazah,يقظه
Yurgha,یرغا
Yasma,یاسمہ
Yemaghan,یرمغاں
Yehya,یحیا۔
Yassin,یاسین
Yafta,یافتہ
Yasala,یسالہ
Yasharah Batool,یشعرہ بتول
Yasheera,یعشیرہ
Yasarat,یسارت
Yashla,یشلہ
Yaraa,یراعہ
Yasrana,یسرانہ
Yameeha,یمیحہ
Yaspara,یسپارہ
Yazeeda,یزیدہ
Yasooba,یعسوبہ
Yaqu,یاقوع
Yameeha,یمیحہ
Yaala,یاالہ
Yaara,یارا
Yashma,یشمہ
Yazrin,یزرین
Yazlin,یزلین
Yalina,یالینا۔
Yaania,یانیا
Yousra,یوسرہ
Yaz,یاز
Yaafiah,یافیہ
Yashfi,یاشفی
Yaaqoo,یاقو
Yahana,یحنا
Yanaya,یانیا
Yahna,یحنا
Yunisha,یونیشا
Yooha,یوہا
Yamani,یامانی۔
Youssra,یوسرہ
Yashira,یاشیرہ
Yashara,یاشارہ
Yalna,یلنا
Yushma,یوشما
Yeda,یدہ
Yahaira,یحیرہ
Yesna,یسنا
Yumina,یومینا
Yelin,ییلن
Yadiris,یادرس
Yusaira,یوسیرہ
Yumnah,یومنہ
Yakeen,یاکین
Yaseera,یاسیرہ
Yair,یایر
Yazia,یزیہ
Yesra,یسرہ
Yamana,یمانہ
Yusrah,یسرہ
Yazwa,یزوا ۔
Yoosha,یوشا
Yubina,یوبینا
Yamila,یمیلا
Yeasmin,یاسمین
Yasmi,یاسمی۔
Yameena,یامینہ
Yesenia,یسینیا
Yafeen,یافین
Yusrat,یسرت
Yeasha,یشا
Yaira,یائرہ
Yeshara,یشرہ
Yaiza,یایزہ
Yashina,یاشینا
Yafia,یافیہ
Yaqout,یاقوت
Yasina,یاسینہ
Yazlyn,یازلین
Yunaliya,یونالیہ
Yafit,یافت
Yalena,یالینا
Yaqeena,یقینہ
Yakuta,یاکوٹا
Yuzza,یوزا
Yaseena,یاسینہ
Yashrin,یشرین
Yumnaa,یومنا۔
Yusriya,یوسریہ
Yousriya,یوسریہ
Yunamila,یونامیلا
Yamilex,یاملیکس
Yusnifarina,یوسنیفرینا
Yumnaat,یومنات
Yusria,یوسریہ
Yifat,یفت
Yedia,یدیہ
Yaseerah,یاسیرہ
Yashfiqa,یاشفیقہ
Yemini,یمینی
Yasemin,یاسمین
Yamilet,یاملیٹ
Yaelle,یایل
Yalka,یالکا
Yamileth,یامیلتھ
Yesmina,یسمینا۔
Yesmine,یسمین
Yurfana,یورفانہ
Yumnia,یومنیہ
Yediyah,یدیہ
Yaqiza,یاقیزہ
Yazeedah,یزیدہ
Yazmina,یزمینہ
Yashmeen,یشمین
Yamille,یمائل
Yasera,یاسر
Yamaamah,یمامہ
Yecenia,یسنیہ
Yasria,یاسریہ
Yasminah,یاسمینہ
Yazmine,یزمین
Yusraat,یسرت
Yamilla,یاملا
Yaquta,یاقوطہ
Yasameen,یاسمین
Yasheena,یاشینہ
Yazmeen,یزمین
Yasmain,یاسمین
Yeasria,یسریٰ
Yashmin,یاشمن
Yasmeenah,یاسمینہ
Yazidal,یزیدال
Yasfeen,یاسفین
Yashirah,یاشیرہ
Yameenaa,یامینا۔
Yashmine,یشمین
Youzrha,یوزرہ
Yasm,یاسم
