Name in English,Name in Urdu
Faizan,فیضان
Fahad,فہد
Farhan,فرحان
Faisal,فیصل
Faiz,فیض
Faraz,فراز
Faris,فارس
Farooq,فاروق
Farooqui,فاروقی
Falak,فلک
Furqan,فرقان
Fayaz,فیاض
Fardeen,فاردين
Fahim,فہیم
Feroz,فیروز
Fazal,فضل
Fazil,فاضل
Faliq,فالق
Faheem,فہیم
Fida,فدا
Fawad,فواد
Farman,فرمان
Farhad,فرہاد
Fateh,فاتح
Faiq,فائق
Farid,فرید
Fuzail,فُضیل
Falah,فلاح
Fawaz,فواز
Farouk,فاروق
Fazle Rabbi,فضلِ ربی
Farhat,فرحت
Fareed,فرید
Fahham,فہم
Fariz,فاريز
Faraj,فرج
Fairuz,فیروز
Fajr,فجر
Fouad,فاؤد
Fardan,فردان
Fatir,فاطر
Firas,فیراس
Faizi,فیضی
Fariq,فارق
Fasih,فصیح
Fadil,فاضل
Faaz,فاز
Faheel,فحیل
Faid,فايد
Feroze,فیروز
Faysal,فیصل
Fayyad,فياض
Fazer,فازر
Fuad,فواد
Farzin,فرزین
Fayyaz,فیاض
Fidaa,فدا
Fakhruddin,فخر الدین
Firaq,فیراق
Faizul Anwar,فیضل انور
Fahmi,فہمی
Farzad,فرزد
Faraaz,فراز
Fatih,فیتح
Fahid,فہد
Farzeen,فرزین
Faseeh,فصیح
Fawzan,فوزان
Fasil,فاصل
Faeq,فايق
Fakhir,فاخر
Fursat,فُرست
Fatin,فاطن
Fakir,فاکر
Farag,فرغ
Farooqi,فاروقی
Farit,فارِت
Ferhad,فرہاد
Fazeel,فضیل
Farz,فرض
Fawwaz,فواز
Faakih,فاقه
Fayyadh,فیادہ
Farzam,فرزام
Faizullah,فعزله
Farasat,فاراست
Fuhad,فہد
Fraz,فراز
Faruq,فاروق
Fazi,فاضی
Farjad,فرجد
Fattah,فتاح
Fatik,فاتک
Farran,فران
Fakher,فخر
Fikri,فکری
Farrokh,فرروخ
Fathi,فاتح
Fahm,فاہم
Fatim,فاطم
Ferran,فِران
Fazli,فازلي
Farmaan,فرمان
Fahis,فاہس
Faridun,فريدون
Firdausi,فردوسی
Farees,فریس
Fard,فرد
Farez,فارز
Faraq,فراق
Fateen,فطین
Faaiz,فائز
Fidvi,فدوی
Fakih,فاخی
Fawz,فواز
Fani,فانی
Furqaan,فرقان
Fasih Ur Rahman,فصیح و رحمن
Farhaan,فرحان
Fasahat,فصاحت
Fudail,فودیل
Futuhat,فُطُہت
Fouz,فوز
Farhang,فرہنگ
Faseel,فصیل
Faiz E Rabbani,فیض ربّانی
Ferman,فرمان
Farshid,فرشید
Farshad,فرشاد
Fakhri,فخری
Fairoze,فیروز
Fahmeed,فہمید
Faqeer,فقیر
Fadlallah,فضللله
Fazle Ilahi,فضل الہی
Fakhitah,فاخته
Fata,فتا
Faaris,فارس
Fazl,فضل
Farooq-e-Azam,فاروق اعظم
Fareeq,فريق
Fayiz,فایض
Farnas,فرناس
Fariduddin,فریدالدین
Faidh,فیدہ
Faradis,فرادس
Fakhr,فخر
Ferdows,فردوس
Faqih,فقیہ
Fidayan,فدایان
Farahan,فراحان
Fariqat,فراقت
Faaiq,فانق
Faqir,فاقر
Fatan,فتن
Farjam,فرجام
Fatahat,فاتاحت
Fayek,فيك
Fatiq,فاتق
Fadlullah,فضللله
Farjat,فرجت
Frasat,فراست
Fuwad,فُواد
Fiaz,فیاض
Faahim,فاحم
Fawzi,فوزی
Fakhrat,فخرت
Firouz,فیروز
Fereydoon,فریدون
Faakir,فاک
Firoze,فیروز
Farsad,فرساد
Falaah,فالح
