Name in English,Name in Urdu
Maira,مائرہ
Mahira,ماہرہ
Maryam,مریم
Mahnoor,ماہ نور
Muntaha,منتہا
Muskan,مسکان
Maria,ماریا
Maheen,مہین
Mehwish,مہوش
Maham,ماہم
Madiha,مدیحہ
Manahil,مناهل
Minha,منحہ
Minahil,مناہل
Mishal,مشعل
Mahek,مہک
Mariam,مریم
Manal,منال
Mirha,مرحا
Manha,مانها
Mahreen,مہرین
Mimi,مِمی
Maha,ماہا
Miral,ميرال
Mysha,ميشا
Mariya,ماریہ
Michelle,مشیل
Melek,ملک
Musfirah,مصفرہ
Mahjabin,مہجبین
Meera,میرا
Meena,مینا
Mehnaz,مہناز
Momina,مومنہ
Mona,مونا
Maliha,ملیحہ
Misha,مشا
Mehar un Nisa,مہر النساﺀ
Moomal,مومل
Mira,میرا
Maimuna,میمونا
Munazza,منزہ
Marwa,مروة
Malaika,ملائکہ
Maidah,مائدہ
Mumtaz,ممتاز
Malika,ملکہ
Mastura,مصتُرا
Maya,مایہ
Maahjabeen,مہجبیں
Mina,مینا
Mehak,محق
Medina,مدینہ
Myesha,میشا
Mah jabeen,مہ جبین
Mahrukh,ماہ رخ
Mera,میرا
Muniba,منیبہ
Maisa,میسا
Ma,ما
Mubashara,مبشرہ
Musarrat,مسارات
Mishel,ميشيل
Madeeha,مدیحہ
Murshida,مرشدة
Memona,میمونہ
Marvi,ماروی
Maysa,میسا
Maimoona,میمونہ
Mahdiya,مهدية
Manahal,مناہل
Marina,مرینا
Mohsina,محسنة
Marwah,مارواه
Manaal,منال
Munia,مُنیہ
Myra,میرا
Minhal,مِنهال
Midhat,مدحت
Mahveen,محف
Mahrosh,مهروسه
Menaal,منال
Mehrish,مهرش
Munira,منیرہ
Masooma,معصومہ
Mahbuba,محبوب
Mirah,میرہ
Mubina,مبینہ
Monir,مُنیر
Mahtab,مہتاب
Maleeha,ملیحہ
Maram,مرم
Manar,منارا
Maahirah,ماهره
Maizah,مائزہ
Masira,ماثرہ
Mah para,ماہ پارہ
Mehr,ميهر
May,مئی
Maab,مآب
Marziya,ميرذيا
Mushtari,مشتری
Mahnaz,مہناز
Mah,ماہ
Mitra,مترا
Madha,مدحہ
Maisara,ميسرة
Majida,ماجدہ
Meeram,میرم
Mani,مانی
Mandal,مندل
Manara,منارا
Martha,مرتہ
Mehndi,مهند
Myrah,میرا
Miriam,مریم
Marjan,مرجان
Muznah,مزناہ
Muslima,مسلمہ
Mawiyah,معاویہ
Munawara,منورہ
Midha,مدھا
Mahem,ماہم
Mata,متاع
Mazia,مازیہ
Maaarifa,معاريف
Mushk,مشک
Mubeena,مبینہ
Marib,ماريب
Maymunah,میمونہ
Mayeda,ميدا
Madihah,مدیحہ
Mariyah,ماریہ
Ma as sama,ماس سما
Meh,مہ
Mana,منا
Minsa,میںسا
Mouna,موئنہ
Mahum,ماهوم
Manhal,مانهال
Mawiya,معاویہ
Maisarah,ميسره
Marella,مریلا
Mantasha,منتاشا
Maja,ماجہ
Mahsa,ماحسا
Martina,مرتنی
Muneera,منیرا
Majda,ماجدا
Malalai,ملالي
Malka,مالكا
Maryam Fatima,مریم فاطمہ
Mah Laqa,ماہ لقا
Mardhiah,مرضيه
Monir,مُنیر
Mahibah,مهيبة
Mada,مادا
Manva,منوہ
Masifa,ماصفہ
Muska,موسقى
Marda,ماردہ
Mahala,محالہ
Mounia,موئنہ
Muhabbat,موهبة
Muizza,ميزة
Mahdiyah,مهديه
Merah,میرہ
Mufeeda,مفیدہ
Masabih,مصابيح
Mariha,مریحہ
Mahna,ماہنہ
Mahro,ماہ رو
Mughira,مغیرہ
Marsia,مارسیا
Mahbubi,محبوبی
Manab,ماناب
Mocha,موچا
Masia,مسیا
Mashfiq,مشفق
Manal manaal,منال منال
Mahroz,محرز
Merjan,مرجان
Mamoona,مامونہ
Muzaina,مزينة
Marta,مرتا
Maimunah,میمنہ
Mawadda,مودة
Mashal,مان
Maysoon,میسوں
Merzia,مرضیہ
Masroor,مسرور
Maa'sma,معصومہ
Mutiba,مطیبہ
Mahmooda,محمودہ
Masheera,مشیرہ
Mubeen,مبین
Maheena,ماہینہ
Mushahida,مشاهدة
Mahalia,مہلیہ
Manel,مانيل
Munifa,منيفة
Maysa',میساع
Maysam,مايسام
Magda,مگدا
Malaha,ملاحہ
Mubaraka,مباركة
Meltem,میلٹیم
Marah,مره
Mahvash,مہوش
Munirah,منیرہ
Maysun,میسُن
Mawrah,ماوراﺀ
Mala,مالا
Marab,ماراب
Malak,ملک
Maisah,مايسه
Mihri,مهري
Musarat,مسارات
Mahasti,مہستی
Moattar,مطار
Meeza,ميزة
Masoumeh,مَعصُوم
Monera,منيرة
Maritza,مریتزا
Maryam Noor,مریم نور
Mariet,مریت
Muhibbah,موهبه
Mohaddisa,محادثة
Mawaddah,موضه
Muyassar,ميسر
Marufa,معروفہ
Minoo,مینو
Melike,میلک
Musheera,مشیرا
Mashia,ماشيا
Mabrouka,مبروك
Musawat,موسوعة
Mansoora,منصورہ
Mandana,مندانا
Mah bano,ماہ بانو
Mah Talat,ماہ طلعت
Malikah,ملکہ
Muminah,مومنہ
Maissa,مايسة
Maajida,ماجدہ
Mutahhara,مطهرة
Marzieh,مرضیہ
Mawar,ماوار
Mehrnaz,مہرناز
Makarim,مکارم
Mersiha,ميرسيها
Maraam,مرام
Muriel,مریل
Muazzama,معظم
Matti,مٹی
Masma,مسماﺀ
Masooda,مسعودہ
Miraal,میرال
Munisa,منيسى
Manizheh,منزہہ
Madhat,مدحت
Mushira,مشيرا
Misaal,مثال
Mahia,ماہیہ
Mawara,مورا
Merab,میرب
Muazah,موزه
Maysaa,میسا
Madaniya,مدنية
Moneeba,منیبہ
Muazza,ماذا
Muzainah,مزينه
Mahrokh,مہروخ
Makkiyah,مكيه
Mayameen,ميامين
Mabrooka,مبروك
Malala,ملالہ
Marth,مارت
Mujahida,مجاہدہ
Mohisa,محيصة
Majeeda,مجیدہ
Manzoor,منظور
Mukarrama,مكرمة
Mah Peekar,ماہ پیکر
Mah Seema,ماہ سیما
Mayesa,مايسة
Maqsooda,مقصودہ
Mehmal,محمل
Mubashirah,مباشره
Mujiba,مجیبہ
Mushtaree,مشتری
Mas'ouda,مسعودا
Mubarika,مُبارک
Maryam Batool,مریم بتول
Mehrin,مہرین
Munawwara,منوّرہ
Mateen,متین
Mozhgan,موزھگن
Mahzala,مهزلة
Maliheh,ملیہہ
Mutia,مطية
Mahabbah,محبه
Mu'azzama,معظم
Maisoon,ميسون
Marmar,مرمر
Mahta,مہتا
Meeran,میراں
Mehriban,مهربا
Mahfuzah,محفوظة
Meahpaara,مہپارا
Mansurah,منصوره
Maahekaan,ماہیکان
Mehala,محالہ
Mashiyat,مشیت
Mohsana,محسنة
Marmareen,مرمرین
Mahlagha,مہلآغا
Mehreen,مہرین
Mahelia,محالیہ
Mahr bano,مہربانو
Musaddas,مسدس
Mawah,موه
Moneer,مُنیر
Mawada,مودة
Manar manaar,منار منار
Mysa,میسا
Mufidah,مفیدہ
Ma'isah,ماعیسہ
Mahalfa,محالفہ
Ma'rufa,معروفہ
Maah Para,ماہ پارا
Muhja,مہجہ
Maader,مادر
Malakah,ملكه
Masla,ماثلہ
Mawahib,مؤہب
Marlisa,مرلیسا
Manaar,منار
Myeshia,میشا
Maah-e-Talat,ماہ طلعت
Merwa,مروة
Marty,مرتے
Maysan,ميسان
Marziyah,مرزیہ
Muazzaz,معزز
Maziyah,مزيعه
Mehrunisa,مہرالنساء
Matty,مٹتے
Matloob,مطلوب
Mahr Angez,مہر انگیز
Meantuna,مینطعنہ
Madaniyah,مدنية
Mushirah,مشایرہ
Mahneerah,مهنيرة
Mozhdeh,موزھدہ
Munaam,منام
Mahsina,محصنہ
Mashkoora,مشکورہ
Madkha,مادخہ
Mehry,مہرے
Musnah,مصنعه
Munya,مونيا
Mahdokht,مہدوخت
Mashhuda,مشہودہ
Marzia,مرزیا
Mehru,مہرو
Mawhiba,موهبة
Makeesa,مکیثہ
Mufiza,مفیزا
Muneerah,منيره
Manzoora,منظورة
Mutarba,مطربہ
Mulayka,مليكة
Mohga,مهجة
Muneeza,منیزہ
Mastaneh,مستانی
Mujeeba,مجیبا
Manee,مانی
Majidah,ماجدہ
Mahbubah,محبوبہ
Muna'h,منحہ
Meantoona,مینتونہ
Musharrifa,مشررفا
Munisah,منصة
Muhjah,مُہجہ
Mahgul,مہگل
Mahsheed,مہشید
Mahfooza,محفوظة
Mughirah,مغيره
Muzaynah,مزينه
Musharraf,مشرف
Marzuqah,مرزوقه
Muqaddasa,مقدّسہ
Mahd,مہد
Mirafda,مرافدہ
Muhsana,محسنہ
Mareera,مريرة
Marit,مرت
Mehrangiz,مہرانگز
Muntahi,منتهي
Majeedah,مجیدہ
Mahal,محل
Marti,مرتی
Malakeh,ملکہ
Mastoora,مستورہ
Moufida,مفيدة
Meshia,میشیہ
Muhsinah,محسنه
Musaddiqa,مصادقة
Mahbasah,محبسه
Mo'mina,مومنہ
Musaykah,موسيقاه
Mehvesh,محفش
Matana,متانة
Muriha,مريحة
Makhdooma,مخدومہ
Muzama,مضامزہ
Mah-i-Muneer,ماہ منیر
Martita,مرتیتا
Mallika,ملکہ
Mattie,مٹٰی
Mustahi,مستہی
Masrurah,مسروره
Marjaneh,مرجانہ
Manfoosah,منفصة
Monireh,مُنیرہ
Mays,مايس
MehrMah,مہرماہ
Msarrat,مسرت
Malmal,مالمال
Mahalah,محالہ
Makhra,ماخرہ
Makhduma,مخدوم
Mahbouba,محبوبة
Masudah,مسودة
Mas'udah,مسعودہ
Muzeeba,مذیبہ
Mahr Nighar,مہر نگار
Mahboobe,محبوبی
Masha'al,مشعل
Maeen,معین
Mugheesah,مغزاه
Mubaarika,مبارکہ
Maridah,مريضه
Muhayya,محييا
Mukhlisa,مخلصة
Muqadaas,مقدس
Marqooma,مرقوم
MehJabeen,مہ جبین
Mayyada,میادہ
Marwarid,مروارید
Marmarin,مرمرین
Mahparah,محبرة
Martella,مرتیلہ
Muruj,موروج
Museel,مثیل
Mushafiqa,مشفقہ
Masjah,مسجہ
Mubaarakah,مباركه
Medhat,مدحت
Mimah,میمہ
Musfira,مصفرہ
Maruff,معروف
Maymouna,ميمونة
Marzooqa,مرزوقة
Muhammadi,محمدی
Mazeela,مزیلہ
Manhalah,منحالہ
Maisoora,ميسورة
Mufiah,معفية
Martie,مرتی
Mubashshirah,مباششرة
Mahbubee,مہببے
Muakhir,موخر
Maslama,مَسْلَمة
