Name in English,Name in Urdu
Laiba,لائبہ
Lubna,لبنیٰ
Liza,لیزا
Laraib,لاریب
Lucy,لوسی
Lamia,لامیہ
Liyana,لينا
Latifa,لطیفہ
Laila,لیلیٰ
Luna,لونا
Lula,لُولا
Leena,لينا
Lubaba,لبابہ
Liba,ليبا
Labiba,لابیبا
Lu'lu,لوعلو
Lily,للی
Lilian,لِلیاں
Lilith,لیلتھ
Lalita,للیتا
Laaibah,لاعبه
Lili,لیلی
Lee,لی
Layan,لاين
Linta,لینتا
Lana,لانا
Layla,لیلہ
Leela,لیلا
Lumia,لمیا
Lamis,لامس
Lunara,لونارا
Lyana,ليانا
Lisha,لیشا
Lyla,لیلہ
Lujain,لوجين
Lilia,لیلہ
Lilah,لیلہ
Lila,لیلہ
Lyn,لین
Lala rukh,لالہ رخ
Landa,لندا
Lida,لیدا
Layali,لیلی
Laiqa,لائقہ
Laraib,لاریب
Lamisa,لميس
Lahya,لہیہ
Lazim,لازيم
Ladan,لدن
Laibah,لعبه
Leema,لیما
Leila,لیلہ
Lesha,لایشہ
Lateefa,لطیفہ
Lamya,لمیا
Labeeqa,لبیقہ
Laily,لیلے
Lela,لیلہ
Lakisha,لکیشا
Lillah,لیلہ
Laiha,لائحة
Leily,لیلی
Labeeba,لبیبا
Lubab,لوباب
Lail,لايل
Lo'loo,لوعلو
Layyah,ليه
Latifah,لطیفہ
Lamees,لمیس
Labisha,لابشہ
Lafiza,لافظہ
Leyla,لیلا
Labibah,لبیبہ
Laleh,لیلہ
Lamisah,لمسه
Lubena,لبنى
Lahna,لہنہ
Larien,لورین
Lubabah,لبابہ
Lailah,لیله
Lylah,لیلہ
Lubaaba,لبابہ
Lutfiyah,لطفیہ
Lamya',لمیاع
Lanika,لانكا
Lelia,لیلہ
Layaan,ليان
Leasha,لایشہ
Laveeza,لویزا
Lailaa,لیلا
Leem,لیم
Leilah,لیلہ
Lutfiya,لتفيا
Lasca,لسکہ
Lahifa,لاحفہ
Leelah,لیلہ
Lailie,لیلہ
Lorinda,لورندا
Luja,لوجى
Lutaf,لطف
Lakeisha,لکایشا
Lublubah,لبلبه
Loelia,لیلہ
Lasani,لاثانی
Lillis,لیلس
Layina,لينا
Lal,لال
Latif,لطیف
Latima,لطیمہ
Lekisha,لکیشا
La'abat,لعبت
La'aeen,لعین
Losinda,لوسندہ
Lashirah,لشرح
Lelah,لیلہ
Limees,لمیس
Lalam,لالام
Lameaa,لامعہ
Lunah,لونه
Lakhta,لخطة
Laahfah,لاحفہ
Laahab,لاہب
Laahizah,لاحظہ
Laabsah,لابثہ
Lutfiyya,لتفییا
Lujaina,لوجين
Labbaanah,لبانه
Laabtah,لابتہ
Leilia,لیلیٰ
Lutfana,لطفانہ
Luloah,لولوہ
Lakeesha,لکایشا
Laqa,لقا
Leshah,لایشہ
Lakeysha,لکایشا
Laoob,لعوب
Lalzari,للزرع
Lekeesha,لکایشا
Lakicia,لکیسیہ
Layly,لیلی
Lajwerd,لاجورد
Lakecia,لکیسیہ
Lakitia,لکتہ
Lutf,لوتف
Laketia,لکتیہ
Leeza,لیزا
Latimah,لطمه
Lekeisha,لکیشا
Lawahiz,لوحظ
Lraaz,لرز
Laseef,لصيف
Lalen,لالن
Lorain,لورین
Laiba Batool,لائبہ بتول
Lubnah,لبنہ
Lilaa,لیلا
Lalma,للما۔
Lolah,لولہ
Laall,لال
La'alin,لعلین
