Name in English,Name in Urdu
Parveen,پروین
Poonam,پونم
Parvin,پروین
Paro,پارو
Paras,پارس
Pakiza,پاکیزہ
Palwasha,بعلوشة
Parisa,پیرسہ
Parishey,پریشے
Pari,پری
Pareesa,پریسا
Para,پارہ
Pola,پُلا
Parizad,برذاذ
Parihan,پریہان
Pashmina,باشمينا
Purnoor,پرنور
Pat,پٹ
Perveen,پروین
Pukhraj,پکھراج
Palin,پالین
Panra,بانرا
Pharsa,فارسہ
Patasa,بطاسة
Pari Gul,پری گل
Paila,پائلہ
Pak Daman,پاک دامن
Pinar,پنار
Parastoo,پراستو
Parvaneh,پروانہ
Pooneh,پونہ
Poupak,پؤپک
Polla,پولا
Parto,پرتو
Pouran,پورن
Padideh,پادیده
Paree,پری
Pariwish,پریوش
Parasa,پارسا
Peyvand,پیوند
Pazeer,پذیر
Pouneh,پونہ
Pembe,پیمبے
Parivish,پری وش
Parigul,پریگل
Parand,پرند
Pareevash,پروش
Parizaad,پری زاد
Permaz,پرمز
Pattie,پٹے
Peymaneh,پیمانۂ
Pouri,پوری
Perkha,برقها
Perdagh,پرداخ
Paadaash,پاداش
Paain,پائین
Paaik,پایک
Paailah,پائلہ
Paaboos,پابوس
Paaendah,پایندہ
Pouran-dokht,پوران-دوخت
Paaghar,پاغر
Paabast,پابست
Pardaj,بارداج
Pareerou,پریرو
Pareechehr,پریچہر
Pariwash,پری وش
Paša,پاسا
Prihaan,پریہان
Punchi,پونچی
Parghunda,برغندا
Parveena,پروینہ
Pari Roo,پری رو
Parm,پرم
Pari Wish,پری وش
Pari Gull,پری گل
Payan,ےایان
Perbeen,پربین
Pervin,پروین
Purah Gull,پرہ گل
Paaliya,پالیہ
Purnur,پرنور
Pemrah,پمرہ
Paaraa,پارا
Putli,پتلی
Permalaa,پرملا
Perbas,پرباس
Pervasha,پروشا
Pern,پرن
Paalin,پالین
Paamar,پامر
Pariti,پریتی
Pubbie,پئبی
Pukhraaj,پکھراج
Pigaani,پیگانی
Pujaar,پجار
Panaar,پنار
Paakizah,پاکیزہ
Paraan,پران
Paaindah,پائیندہ
Paaiz,پایز
Paarsa,پارسا
Paeel,پایل
Pashmeena,پشمینہ
Paamoz,پاموز
Paziresh,پزیرش
Padmani,پدمنی
Paaina,پائینہ
Peravar,پرآور
Paaizah,پائیزہ
Puzhaan,پژہان
Paakdaman,پاک دامن
Piyaari,پیاری
Papni,پپنی
Paaranj,پارنج
Paalaar,پالار
Paantree,پانٹری
Pervaiz,پرویز
Paryaa,پریا
Paamila,پاملہ
Panaa,پنا
Paarkhi,پارکھی
Pusmaan,پژمان
Paakzadah,پاک زادہ
Parina,پارینہ
Paarah,پارہ
Paarbani,پاربنی
Paayaab,پایاب
Paloo,پالو
Pidraam,پدرام
Pyaa,پیا
Primaa,پریما
Payaan,پایان
Paeree,پائری
Parisha,پریشا
Pakdaman,پاک دامن
Paareenah,پارینہ
Pashna,پاشنہ
Pernoon,پرنون
Paares,پارس
Paasakh,پاسخ
Permiz,پرمز
Paymaan,پیمان
Paziri,پزیری
Pridarakht,پری درخت
Pagaah,پگاہ
Paridukht,پری دخت
Pakdaman,پاک دامن
Paashna,پاشنہ
Padeed,پدید
Pagoay,پگوئے
ParAawar,پرآور
Pezwak,پژواک
Paraalak,پرالک
Pakzadi,پاک زادی
Pertaab,پرتاب
Parooti,پاروتی
Pamla,پاملہ
Parichehra,پری چہرہ
Pambay,پمبے
Paritaa,پریتا
Paastaan,پاستان
Partaas,پرطاس
Pakob,پاکوب
Perwala,پروالہ
Pertupialaa,پرتوپیالہ
Pazira,پزیرہ
Pardaakh,پرداخ
Pazuhend,پژوہند
Pabesta,پابستہ
Parwaash,پرواش
Partaabi,پرتابی
Pervash,پرواش
Paawaar,پاوار
Pardakh,پرداخ
Parnamood,پرنمود
Pariza,پریزا
Pareesha,پریشا
Parween,پروین
Priom,پریوم
Parvina,پروینہ
Priam,پریم
Pakeeza,پاکیزہ
Pareeza,پریزا
Parwana,پروانہ
Parinaz,پریناز
Pratisha,پرتیشا
Palwashah,پلوشہ
Parnaz,پرناز
Peridot,پیریڈوٹ
Parvana,پروانہ
Persa,پرسا
Pakeezah,پاکیزہ
Parmida,پرمیدا
Parey,پارے
Preesa,پریسا
Parwin,پروین
Paniz,پانیز
Prishaa,پریشا
Pareeya,پاریہ
Phoenyx,فینکس
Polita,پولیٹا۔
Pakhija,پکھیجا
Payeez,پائیز
Parasto,پیراسٹو
Phrah,فرح
Pakizaa,پاکیزہ
Purvajha,پورواجھا
Pakizah,پاکیزہ
Pakeeja,پاکیجا
Propspure,پراپسپور
Parastu,پارستو
Parveneh,پروینح
Piroeta,پیروٹا
Pasmina,پسمینہ
Pareesima,پریسیما۔
Pareezaad,پریزاد
