Name in English,Name in Urdu
Rehan,ریحان
Rayan,ریعان
Rohaan,روحان
Rizwan,رضوان
Rayyan,ریان
Rahul,راہول
Rakib,راکب
Rashid,راشد
Rahman,رحمان
Raqeeb,رقیب
Raza,رضا
Riaz,ریاض
Rafay,رافع
Roshan,روشان
Raheel,راحیل
Rahi,راہی
Rahim,راحم
Raees,رئیس
Richard,رچرڈ
Rana,رانا
Raihan,ریحان
Ramzan,رمضان
Rafiq,رافق
Rayhan,ریحان
Ranjha,رانجھا
Rohan,روحان
Rizvi,رضوی
Rabbi,ربْ
Reza,ریزہ
Ridhwan,رضوان
Rafi,رفیع
Roshan,روشن
Riyaz,سوربھ
Rohail,روحیل
Ruhaan,روحان
Riyad,ریاد
Rafi',رفیع
Reda,ریدا
Raja,راجہ
Rauf,روئف
Rahmat,رحمت
Rani,رانی
Ramesh,رامش
Rahib,راہب
Ravi,راوی
Rameez,رمیض
Rooh,روح
Rustam,رستم
Rihab,راہب
Rami,رمی
Ramiz,رمیز
Rehman,رحمن
Rafaqat,رفاقت
Rasool,رسول
Raheem,رحیم
Rabi,ربیع
Raziq,رازق
Rigel,ریجل
Ridha,ریدہ
Raahat,راحت
Rasheed,رشید
Riyan,ریان
Raj,راج
Rajab,رجب
Rafid,رافد
Raji,راجی
Reyhan,ریحان
Riasat,ریاست
Raghib,راغب
Razi,رضی
Raed,راید
Rimon,ریمن
Rafat,رفعت
Rad,رد
Rais,رئیس
Rafeeq,رفیق
Razeen,رازین
Razzaq,رزاق
Raqib,راقب
Raaef,راعف
Rashad,راشد
Riyadh,ریادھ
Ramadan,رمضان
Rabani,ربانی
Radwan,ردوان
Ronaq,رونق
Radi,ردی
Rangeela,رنگیلا
Ramzi,رمزی
Rushad,رشد
Rasul,رسول
Rafee',رفیع
Raamiz,رمیز
Ratib,راتب
Raouf,راؤف
Raffy,رافع
Rakin,رکین
Raz,رازی
Rifaqat,رفاقت
Ra'is,راعس
Reebal,ریبال
Rahil,راحل
Raushan,روشن
Raana,رعنا
Rabb,رب
Rabeet,ربیط
Rabah,رابہ
Rubas,روباص
Ramy,رامے
Raaghib,راغب
Radhi,ردیح
Rabid,رابد
Rishaad,ریشاد
Raakin,راکین
Rushdi,رشدی
Raad,راد
Reyan,ریان
Roozbeh,روزبہ
Raffi,رفی
Rasa,رصا
Rehber,رہبر
Raheeb,رحیب
Raashid,راشد
Rabi',ربیع
Ruken,رکن
Roomi,رومی
Raihaan,ریحان
Raqim,راقم
Ragheb,راغب
Rubat,رباط
Ridhaa',ریدہ
Ra'ed,راعید
Rif'at,رفعت
Rushd,رُشد
Risan,رسان
Rasikh,راصخ
Rasab,رسب
Rabee',ربیع
Raaziq,رازق
Rostam,روستم
Rasem,راسم
Raatib,راطب
Radhwan,رادہون
Raasikh,راسخ
Ramazan,رمضان
Rakhshan,رخشاں
Ra'id,رعید
Riaasat,ریاست
Rashidi,رشیدی
Rahid,رہید
Rehiq,رحیق
Rahin,راہین
Rahimat,راحیمت
Raab,راب
Risalat,رسالت
Rabit,رابط
Raaqeem,رقیم
Rafil,رافیل
Raahil,راحیل
Rakan,رکان
Roufi,روفی
Rufi,رُوفی
Raajih,راجیح
Rumzi,رمزی
Raee,راعی
Rabiah,رابیح
Raafi,رعافی
Rabee,ربی
Ra-ad,رعد
Rabbani,ربانی
Roshan,روشن
Rehal,رحل
Rabigh,رابغ
Rean,ریعان
Raghab,راغب
Raif,راعف
Rishad,رشاد
Raaqim,رقیم
Raateeb,رطیب
Rassa,رساﺀ
Robel,روبل
Rifaaqat,رفاقت
Ribal,ریبال
Rateeb,رطیب
Ra'ees,رائیس
Ragheeb,رغیب
Raheen,رحیں
Rawal,راول
Rushaan,روشان
Rehaan,ریحان
Rasid,راسد
Ramey,رامے
Rashaad,راشد
Rehmat,رحمت
Rajih,رجیح
Radhee,رضٰی
Rashod,راشھود
Raeey,رائع
Rasib,راسب
Ramadhan,رمضان
Raid,رعید
Riyasat,ریاست
Radhwaan,رضوان
Romaan,رومان
Rafique,رفیق
Rahbar,رہبر
Rasam,رسام
Risa,رسا
Radbert,ردبرت
Ramish,رامش
Rumaan,رُمان
Roshan Zameer,روشن ضمیر
Raneen,رعنین
Rasal,رسال
Rahet,راحت
Razin,راذن
Riash,ریاش
Risa,رسا
Ruwaid,روید
Rukshan,رخشان
Roshaan,روشان
Razvi,رضوی
Rifaat,رفعت
Revi,روی
Roohan,روحان
Rajea,راجع
Rudad,روداد
Risal,رسال
Riada,رعاد
Rafaz,رفاض
Riyash,ریاش
Ramil,رمل
Rahazi,راحاضی
Robas,روباص
Rufail,روفائیل
Raza Ali,رضا علی
Rasheyd,راشید
Rasheid,راشد
Rehan Ali,ریحان علی
Raham,رہام
Ramaz,رماز
Rahen,راہن
Rehan Ahmed,ریحان احمد
Reeban,ریباں
Roshan Jabeen,روشن جبیں
Rodab,روداب
Rabat,رابط
Raza Asif,رضا آصف
Raza Abbas,رضا عباس
Rofaiel,روفائیل
Rajput,راجپوت
Raamis,رامس
Raise,ریز
Raheb,راہب
Reshaeel,ریشائل
Reehab,ریحاب
Risam,رسام
Rehan Abbas,ریحان عباس
Rayet,رائت
Rahee,راہی
Rizwan Ahmed,رضوان احمد
Ramah,رمہ
Rooh-Ul-Ameen,روح الامین
Rizwan Ali,رضوان علی
Rehan Hussain,ریحان حسین
Robad,روبد
Raahim,راحیم
Rijab,رجاب
Ramooz,رموز
Raza Hassan,رضا حسن
Rukham,رخام
Rakeen,رکین
Rukban,رکبان
Riaad,رعاد
Rasim,راسم
Reekhtah,ریختہ
Rahbaan,رہبان
Rasil,رسیل
Raseef,رصیف
Rizvi,رضوی
Rajee,رجعی
Ratim,راطم
Romaan,رومان
Rail,رعیل
Rassan,رساں
Rafet,رافت
Rahson,راہسن
Roshan Ali,روشان علی
Raseen,راسین
Rameel,رمیل
Rashid Ali,راشد علی
Rahala,راحلہ
Rahman Ali,رحمان علی
Razeem,رضیم
Rahij,راحج
Raqeem,رقیم
Rans,رنس
Rafal,رفال
Rukhsar,ڈخسار
Rawasi,رواسی
Rawasi,رواسی
Rafed,رافد
Riaz Ali,ریاض علی
Rubbab,رباب
Riaz Ahmed,ریاض احمد
Raza Haider,رضا حیدر
Ruwail,رویل
Rakib Hussain,راکب حسین
Raza Ahmed,رضا احمد
Rakeb,راکب
Ramzan Ali,رمضانعلی
Raqab,راقاب
Raeem,رائم
Rakib Ahmed,راکب احمد
Rohaan Ali,روحان علی
Rajel,راجل
Raza Mehdi,رضا مہدی
Rohan Ali,روحانعلی
Raus,رعوس
Raoof,رعوف
Rift,رفت
Risman,ریسمان
Rashiq,راشق
Raza Taimoor,رضا تیمور
Rayyan Ali,ریان علی
Roofi,روفی
Remia,ریمیا
Ramaq,رمق
Rahul Ali,راہول علی
Rind,رند
Rizwan Hussain,رضوان حسین
Raza Rayan,رضا ریان
Rakib Ali,راکب علی
Riaz Hussain,ریاض حسین
Rashid Ahmed,راشد احمد
Rajay,راجع
Rewali,ریوالی
Rounaq,رونق
Rohan Ahmed,روحاناحمد
Raasi,راصی
Rabis,رابیس
Rafaq,رفاق
Ruwa-a,رواع
Rakaz,رکاز
Raees Ahmed,رئیس احمد
Rukhshan,رخشاں
Rusab,رسب
Rahes,رہس
Rayan Ali,ریعان علی
Radeed,ردید
Rakham,رخام
Roodar,رودار
Raij,رائج
Raza Abbas,رضا عباس
Roheel,روحیل
Raza Taimoor,رضا تیمور
Rakhim,رخیم
Rashid Hussain,راشد حسین
Rafaf,رافف
Rukn,رکن
Rahul Ahmed,راہول احمد
Rabwah,ربوہ
Rojani,روجانی
Rohaan Ahmed,روحان احمد
Rakhis,رخیص
Rabiz,رابض
Rayee,راعی
