Name in English,Name in Urdu
Kiyan,کایان
Kaif,کیف
Kashif,کاشف
Kabir,کبیر
Khalid,خالد
Khizar,خضر
Kamran,کامران
Kamal,کمال
Khalifa,خلیفہ
Kehkashan,کہکشاں
Kashan,کاشان
Khan,خان
Kia,کیا
Khuzaima,خزیمہ
Kamil,کامل
Khurram,خرم
Khalil,خلیل
Kabeer,کبیر
Khwaja,خواجہ
Khaled,خالد
Kareem,کریم
Kaleem,کلیم
Keyaan,كيان
"Khabeeb, Khubaib",خبیب
Khair,خیر
Kafi,كافي
Kaleb,کلب
Kazim,کاظم
Kenan,کینن
Kishwar,کشور
Kian,کاین
Karim,کریم
Kalim,کلیم
Kafeel,کفیل
Kaniz,کنیز
Kumar,کومار
Kadir,قادر
Kasam,کسام
Khairul Bashar,خیر البشر
Kaneez,کنیز
Khusro,خسرو
Kasim,کاسم
Kibria,کبریا
Khalid Bin Walid,خالد بن والید
Kalam,کلام
Karem,کرم
Khairat,خیرات
Khawar,خاور
Kifayat,کفایت
Ka'ab,کعب
Kader,قادر
Khalif,خالف
Kaden,کادین
Khaliq,خالق
Kalb,قلب
Khadim,خادم
Kunwar,کنور
Kulsom,کلثوم
Kaan,کان
Keyvan,کیون
Kibriya',کیبریا
Khayam,خیام
Khayr,خیر
Kashfi,کشفی
KaleemUllah,کلیم اﷲ
Karrar,کرار
Kalbi,كالبي
Khawaja,خواجہ
Khattab,خطاب
Khaleel,خلیل
Kaisan,كيسان
Khursheed,خورشید
Kashi,کاشی
Kedar,کیدر
Kaysan,کیسن
Karam,کارم
Kafil,کفیل
Kamish,كاميش
Khalilullah,خليللله
Khabib,خبیب
Kadin,کادن
Kaifi,كيفي
Khayyam,خیام
Kasib,کاسب
Khulus,خلص
Kiani,کیانی
Kaamil,کامل
Kathir,کثیر
Kassim,کاسم
Kauthar,کوثر
Kashir,کاشر
Khabbab,خباب
Khuda Bakhsh,خدا بخش
Kadar,کدر
Kabar,کبار
Khalis,خالص
Khyber,خيبير
Khalaf,خلاف
"Khalifa,Khaleefa",خلیفہ
Kaashif,کاشف
Kayani,كياني
Kasir,کاثر
Khalaq,خلاق
Korin,کورین
Khaista,خاصتا
Kalimullah,كالإملله
Khateeb,خطیب
Khatib,خاطب
Karamat,کرامت
Kumail,کمیل
Kufi,کوفی
Kharim,خارم
Kaseem,کاسیم
Khaqan,خاقان
Khatir,خاطر
Khaleeq,خلیق
Kasper,کاسپر
Konain,کونین
Kamaluddin,كاملدن
Khushnood,خوشنود
Katif,کاتف
Kasha,کشاء
Kazeem,قاظم
Kourosh,کوروش
Khatam,خاتم
Kadeem,کدیم
Khaan,خان
Kaukab,کوکب
Khattar,خاطر
Khurshid,خورشید
Khaldun,خلدُون
Kaadih,قاضيه
Kalil,کلیل
Kahil,كاهيل
Kaleel,کلیل
Khushal,خوشال
Kamaal,کمال
Khasif,خاشف
Khuzaimah,خزيمة
Kameel,کمیل
Kaliq,کالق
Karif,کارف
Kaab,کعب
Khadeer,خضير
Kareef,کریف
Kamyar,کمیار
Kianoosh,کیانوش
Khafid,خافيد
Kardam,کردم
Kauser,کوثر
Khairy,خیرے
Kardar,کاردار
Kayvan,کیون
Kambiz,کمبض
Kirmani,کرمانی
Khuzaymah,خزیمہ
Kaveh,کویہ
Kafalat,کفالت
Khaalid,خالد
Khannas,خناس
Kaazim,کاظم
Kushna,کشنہ
Kram,کرم
Khaazin,خازن
Khoda Daad,خداداد
Kharouf,خرعوف
Kaber,کابر
Kahlil,کہلیل
Karobi,کروبی
Khaadim,خادم
Kaseeb,کثیب
Kutaiba,قُو طیب
Khabeer,خیبر
Kadeen,كدين
Khaawar,خاور
kans,کانس
Khawer,خاور
Khaldoon,خلدون
Khushtar,خشتر
Kiumars,کیومرس
Khasan,خاصان
Khushnud,خوشنود
Kahraman,کہراماں
Kurayb,كورايب
Khadin,خدین
Kasra,كاسرا
Kaka,کاکا
Khayri,خیری
Khaatir,خاطر
Karmani,كرماني
Khazin,خزن
Kiazand,کیازند
Khisal,خصال
Kaizer,کیزر
Khuda buksh,خدا بخش
Khoury,خؤری
Kais,کیس
Khidash,خداش
Kaaber,کابر
Khateer,خطیر
Khayyat,خیات
Kaafel,کافل
Ka-ab,کاعب
Kanifa,کنیفہ
Khak,خاك
Khafiz,خافيز
Kabaark,كبارق
Kaadah,کادح
Khosrow,کھوسروو
Kaabed,کابد
Khashayar,خشیار
Kibriyaa',کبریہ
Khidhr,خیدہر
Khalifah,خلیفہ
Karamullah,قرمله
Kavoos,کووس
Khasa,خاصا
Katheer,کیثر
Keykhusru,کخیسرو
Khidr,خيدر
Kifah,كيفاه
Koakab,کواکب
Kifaayat,کفایت
Keleman,کلیمان
Khaliquz Zaman,خلیقززمان
Koosha,کوشا
Khales,خالص
Khalaf Hasan,خلاف حسن
Kaseer,قصير
Khairuddin,خردن
Khubib,خیب
Kamshad,کمشاد
Kateb,قطیب
Khanh,خانہ
Khuraym,خورايم
Khanz,خانز
Kahdim,خادم
Khunays,خنيس
Khal,خال
Khairaat,خیرات
Kambar,بہاد
Kiral,کرال
Kaspar,کاسپر
Kardal,کردل
Kaneef,کنیف
Khaliqus Subhan,خلیقوس سبحان
Key-ghobad,کغوباد
Kajji,كج
Kahleil,کہلیل
Kosar,کوثر
Khan Sahib,خان صاحب
Khasib,خصيب
Khariq,خارق
Khara,خارا
Key-khosrow,ککھوسروو
Khairudin,خیر الدین
Khatif,خاطف
Kalim Ud Din,کلیم الدین
Khubaib,خبیب
Khashi,خشي
Khaleefa,خلیفہ
Khan,خان
Kareeman,کریمان
Khalas,خلاص
Khajir,خجیر
Karaamat,کرامت
Khatri,خطری
Kanoom,کنوم
Khair Al Din,خیر الدین
Kahill,كحيل
Khairulbashar,خیرالبشر
Karamah,كرامه
Keyumars,کومارس
Kayid,قيد
Kaiqad,کیقاد
Khuder,خضر
Khoda-dad,خداداد
Khayyaam,خیام
Kibriyyah,کبریہ
Khog,خوج
Kehaan,کیہان
Kiyani,کیانی
Kashili,کاشلی
Karoobi,قروب
Khadim Hussain,خادم حسین
Kaykaus,كايكوس
Khudeesh,خدیش
Khumar,خمار
Karz,کارز
Khasiay,خاصع
Khabaz,خباز
Khattaab,خطاب
Khalil Ur Rehman,خلیل آر رحمان
Karraar,کرّار
Kafayat,کفایت
Khail,خیل
Khel,خیل
Khairudeen,خیر الدین
Khdyo,خدیو
Khizr,خضر
Karawan,کاروان
Khomeini,خمینی
Khallad,خالد
Khallaq,خلق
Kharijah,خارجه
Khurami,خرمي
Khabay,خبی
Khawli,خولي
Kasool,کسول
Khirash,خيراش
Kodak,کودک
Khabir,خبیر
Khulaidah,خليدة
Khayrullah,خيرلله
Khairaldin,خيرالدين
Kunan,خنان
Khwazun,خوزن
Khati,خاطی
Khadir,خدیر
Khulayd,خليد
Khedeem,خدیم
Khushhaal,خصهال
Khaleef,خلیف
Khanakhanan,خانخاناں
Khushab,خوشاب
Khawwas,خواص
Khor,خور
Kanif,کنیف
Khalilalallah,خليلللله
KhairBuksh,خیر بخش
Khan Zada,خان زادہ
Khalique,خالق
Kanaan,کنعان
Khandawar,خندور
Keif,کیف
Khird,خرد
Keyhan,کیہان
Khawwat,قهوة
Khuraymah,خريمة
Kaafia,کافیہ
Ke-Khusro,کیخسرو
Kufan,کوفان
Kabir Ahmed,کبیر احمد
Kassab,کثاب
Khurd,خرد
Kharam,خرام
Kharif,خریف
Khadeen,خدین
Kham,خام
Kaaram,کارم
Kunf,کنف
Kalim-Ullah,کلیم اللہ
Koser,کوثر
Kiaaf,کیاف
Khalid Hussain,خالد حسین
Kokeb,کوکب
Khitab,خطاب
Khayaban,خیابان
Khimar,خمار
Khatim,خاتم
Khasham,خشام
Kashaan,کاشان
Kilf,کلف
Kedaan,کیدان
Khusravi,خسروی
Khajesta,خجستہ
Khamil,خمیل
Kodek,کودک
Kaahan,کاہن
Kiazend,کیازند
Khanya,خنیا
Khalil Ahmed,خلیلاحمد
Khush Khoram,خوش خرام
Khalid Ahmed,خالد احمد
Kashif Ali,کاشف علی
Kunaam,کنام
Kakal,کاکل
Khush Iqbal,خوش اقبال
Khasir,خاسر
Kabir Hussain,کبیر حسین
Kafat,کفات
Khuda Afreed,خدا آفرید
Khair Ul Wra,خیرالوریٰ
Khayar,خیار
Kabir Ali,کبیر علی
Khilat,خلعت
Kokeltaash,کوکلتاش
Kamus,کاموس
Khamra,خمرا
Khitan,ختان
Kamur,کامور
Khan-e-Khanan,خانخاناں
Khashan,خشان
Khamees,خمیس
Khazina,خزینہ
Khalid Ali,خالد علی
Khadam,خادم
Khazen,خازن
Khair Ul Bashr,خیرالبشر
Kaarab,کارب
Khalf,خلف
Khinda,خندہ
Kaaman,کامن
Kamran Ali,کامران علی
Kaamel,کامل
Khush Gull,خوش گل
Kanooz,کنوز
Khial,خیال
Khajeer,خضیر
Kashif Hussain,کاشف حسین
Kolaab,کولاب
Kafah,کفاح
Khair Buksh,خیر بخش
Khush Khuram,خوش خرام
Kaif Ali,کیف علی
Khalifa-Tullah,خلیفتہ اللہ
Kaikaus,کیکاؤس
Khasm,خصم
Kohcha,کوہچہ
Katman,کتمان
Khilaal,خلال
Kaaib,کائب
Kotek,کوتک
Khadeem,خدیم
Khaiber,خیبر
Khursand,خرسند
Kunum,کنوم
Khuram,خرم
Kashif Ahmed,کاشف احمد
Kanaf,کنف
Kamran Ahmed,کامران احمد
Khudam,خدام
Khurshid Sawar,خورشید سوار
Kamal Hussain,کمال حسین
Kaanes,کانس
Kaseef,کسیف
Khulfa,خلفاء
Khasal,خصال
Kashli,کاشلی
Kewaan,کیوان
Kaanb,کانب
Khatat,خطت
Kaajeb,کاجب
Khudaish,خدیش
Khizry,خضری
Kordeen,کوردین
Kalid,کلید
Khyam,خیام
Kinza Hashmi,کنزا ہاشمی۔
Khatab,خطاب
Kashan Ali,کاشان علی
Kamal Ahmed,کمال احمد
Kaardaar,کاردار
Kashood,کشود
Kalj,کلج
Khizar Ali,خضر علی
Khushnam,ٖخشنام
Kamal Ali,کمال علی
Kan Hayya,کنہیا
Khaseem,خصیم
Kaif Hussain,کیف حسین
Koshaar,کوشار
Khinsha,خنشا
Khafeer,خفیر
Kharooj,خروج
Kazim Ali,کاظم علی
Kaazib,کاذب
Karkhi,کرخی
Khudah Bakhsh,خدا بخش
Kazie,کاذی
Kaif Ahmed,کیف احمد
Koukab,کوکب
Khirmen,خرمن
Khazoo,خضوع
Khadish,خدیش
Khasais,خصائص
Kamach,کماچ
Kibriya,کیبریا
Khamna,خامنہ
Khirt,خرت
Khilt,خلت
Khafir,خفیر
Khulq,حلق
Khizar Hussain,خضر حسین
Kizn,کنز
Kiyan Ali,کایان علی
Kaheen,کہین
Kharooss,خروس
Khading,خدنگ
Kaiqbad,کیقباد
Khalil Hussain,خلیلحسین
Kaazmin,کاظمین
Kareem Ali,کریم علی
