Name in English,Name in Urdu
Umar,عمر
Umair,عمیر
Usman,عثمان
Uzair,عزیر
Usama,اسامہ
Ubaid,عبید
umer,عمر
Ummi,امّی۔
Ubaidullah,عبید اﷲ
Uwais,اویس
Uday,اودے
Umayyah,امیّہ
Uqbah,عقبہ
Ubaidah,عبیدہ
Umran,عُمران
Urwah,عروہ
Umar Farooq,عمر فاروق
Umayr,عمیر
Ubay,عُبے
Usam,عصام
Uthman,عتمان
Umarah,عمرہ
Usamah,اوسامہ
Unas,انس
Ubadah,عبُید
Utbah,عُتبہ
Urais,عریس
Umais,اومیس
Ubaydullah,عبیداللہ
Uzmi,عزمی
Umaarah,عمرہ
Umaid,اُمید
Ukasha,عکاشہ
Ubaadah,عبیدہ
Uzbik,اذبک
Usaber,عسابر
Usaamah,اسما
Usman Ghani,عثمان غنی
Ushter,اشتر
Ulugbek,اللو بیک
Ubaid Allah,عبیداللہ
Ulkifl,الکفل
Umair Chaudhry,عمیر چوہدری
Urid,ارید
Upraj,چاندنی
Umar Ali,عمر علی
Ubaid Ali,عبید علی
Urmy,ارمی
Uzbah,عذبہ
Umer Draz,عمر دراز
Ulwan,علوان
Usaam,عصام
Umer Khayam,عمر خیام
Usman Ali,عثمان علی
Ubaid Ahmed,عبید احمد
Usmad,اثمد
Unaid,عنید
Unser,عنصر
Umair Ali,عمیر علی
Umr,عمر
Umer Ullah,عمر اللہ
Ubaid Hussain,عبید حسین
Umoor,عمور
Usharim,عشارم
Ureed,عرید
Uzafir,عذافر
Umar Hussain,عمر حسین
Umair Ahmed,عمیر احمد
Ullaa,علاء
Uzafer,عذافر
umer Ali,عمرعلی
Ujyala,اُجیالا
Umair Hussain,عمیر حسین
Umdan,عمدان
Urfaan,عرفان
Umar Ahmed,عمر احمد
Urbaan,عربان
Urdsher,اردشیر
Uzbak,ازبک
Urees,عریس
Umaz,عماز
umer Hussain,عمرحسین
Urdsher,اردشیر
Ureef,عریف
Umeel,عمیل
Umroot,عمروط
Usharab,عشارب
Uyoon,عیون
Urdab,اردب
Uzroot,عضروط
Uzroot,عضروط
Usama Ali,اسامہ علی
Ugher,عغر
Usman Ahmed,عثمان احمد
Urdam,اردم
Ukerma,عکرمہ
Uzair Ali,عزیر علی
umer Ahmed,عمراحمد
Uroof,عروف
Usama Ahmed,اسامہ احمد
Urzam,عرزم
Utaf,عتاف
Utaaf,عتاف
Usman Hussain,عثمان حسین
Uzair Ahmed,عزیر احمد
Usama Hussain,اسامہ حسین
Uzaif,عزیف
Urjab,عرجب
Urhan,ارحان
Ussaan,عثان
Usaid,تم نے کہا
Uzair Hussain,عزیر حسین
Uvesh,اویش
Unais,انیس
Uzain,عزین
Ubai,ابائی
Ullah,اللہ
Ubada,عبادہ
Umaiz,عمیز
Ushan,اُشن
Ubad,عباد
Urba,اربا
Umara,عمارہ
Ur,یور
Umam,اماں
Uzman,عثمان
Uvais,اویس
Ubaed,عبید
Ubayd,عبید
Ubayda,عبیدہ
Uzaim,عزیم
Ubaidh,عبیدہ
Uroosh,عروش
Uzzaman,عزمان
Ubaydah,عبیدہ
Uzaib,عزیب
Usain,یوسین
Umraz,عمراز
Uzzal,عزل
Usaf,یوسف
Uzef,عزیف
Urfan,عرفان
Ustad,استاد
Urush,عرش
Uboud,عبود
Udaina,اُدینا
Uli,اولی
Umraiz,عمریز
Ummer,عمر
Uzima,عزیمہ
Umrez,عمریز
Ubyathulla,عبیت اللہ
Udail,اُدیل
Uzran,عزران
Uhaan,اہان
Ummar,عمر
Urmia,ارمیا
Uzaam,عزام
Unays,انیس
Umare,عمرے
Uraif,یورف
Udaif,عدیف
Uzayr,عزیر
Usmaan,عثمان
Uzmir,ازمیر
Urrab,اُرب
Umaez,عمیز
Umaik,عمیق
Ukashah,عکاشہ
Uhaid,احید
Uwaymir,عویمیر
Ujab,اجاب
Usool,اسول
Umary,عمری
Uqaab,عقاب
Uwaiz,اویز
Umairi,عمیری
Usuf,یوسف
Umaith,امیت
Uksem,یوکسیم
Udayl,عدیل
Uzaiz,عزیز
Umdah,عمدہ
Utaif,یوطیف
Ulmar,المار
Uwain,یووین
Umaijid,امیجد
Uthal,اتھل
Umarr,عمر
Uthmaan,عثمان
Ushmangani,عشمنگانی
Urfee,ارفی
Ummiyy,امّی
Ushman,عثمان
Urwatuwusqa,اروتوواسقہ
Ukkashah,عکاشہ
Usaama,اسامہ
Uzmaan,عثمان
Uzunu,ازونو
Ukrumah,عکرمہ
Uwayam,عویام
Urvakhsha,اروخشا
Umdatuddawlah,عمدہ الدولہ
Uzaafar,اظفر
Uthmann,عثمان
Uhdawi,احدوی
